irrational,"n. 无理数
a. 无理性的, 不合理的"
flout,"vt. 嘲笑, 愚弄
vi. 表示轻蔑
n. 嘲笑, 愚弄, 轻视"
satire,"n. 讽刺文学, 讽刺"
satirize,"vt. 讽刺, 挖苦
vi. 写讽刺作品"
resurrect,"vi. 复活
vt. 使复活, 复兴, 恢复, 盗掘"
myth,"n. 神话, 虚构的事, 虚构的人"
mythical,"a. 神话的, 存在于神话中的, 神话式的, 不真实的, 虚构的, 幻想出来的"
rebellious,"a. 造反的, 反抗的
"
ignite,"vt. 点燃, 使灼热, 使兴奋"
teem,"vi. 充满, 充足, 倾注
vt. 倒出"
poise,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码
vt. 使平衡, 使悬着, 保持...姿势
vi. 平衡, 悬着, 准备好"
ennui,"n. 倦怠, 厌倦
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
somber,"a. 昏暗的, 阴天的, 严峻的, 忧郁的"
austere,"a. 严峻的, 禁欲的, 简朴的"
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
accession,"n. 到达, 即位, 增加, 同意, 发作, 正式接受
vt. 登记入册"
acquiescence,"n. 默许, 默认
"
sleek,"a. 光滑的, 油嘴滑舌的, 线条明快的, 圆滑的, 时髦的
vt. 使光滑, 掩盖
vi. 打扮漂亮, 滑动"
guileless,"a. 不狡猾的, 诚实的"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
on the verge of,"接近于, 濒临于"
calculated,"a. 有计划的, 适当的, 适合的, 计算出的
"
contiguous,"a. 邻近的, 接近的
"
one-stop,一站式服务
itinerant,"a. 巡回的
n. 巡回者"
peripatetic,"a. 徒步的, 漫游的
n. 走来走去的人, 游历"
phlegmatic,"a. 粘液质的, (正式)平静的, 不动情的, 不动感情的, 冷漠的, 冷淡的, 迟钝的
"
manner,"n. 样子, 礼貌, 风格
"
ancestry,"n. 祖先, 世系, 名门出身"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
rigidity,"n. 坚硬, 僵化, 坚硬, 刚性, 刚度
"
prognosis,"n. 预测, 预后
"
picky,"a. 吹毛求疵的, 挑剔的, 找麻烦的"
fastidious,"a. 难取悦的, 挑剔的, 苛求的"
muddle,"vt. 混合, 使微醉, 使咬字不清晰
vi. 胡乱对付
n. 困惑, 混浊状态"
muddled,a. 混乱的；糊涂的；头脑昏昏然的
confused,"a. 困惑的, 混乱的"
moralize,"vt. 教化, 使有德行
vi. 说教"
moralistic,"a. 道德家的, 说教的, 道德主义的"
leach,"vt. 过滤, 萃取
vi. 滤掉
n. 过滤, 过滤器, 沥出物"
unparalleled,"a. 无比的, 无双的, 空前的"
dispel,"vt. 驱散, 驱逐"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
daunting,a. 使人畏缩的
forbidding,"a. 严峻的, 可怕的, 令人难亲近的"
ameliorate,"v. 改善, 改良, 改进"
extenuate,"vt. 减轻, 为...找借口
"
mitigate,"vt. 温和, 缓和, 减轻
"
concomitant,"a. 相伴的, 伴随的, 共存的
n. 伴随物"
vapid,"a. 乏味的, 走了气味的, 无生气的, 无趣味的"
banal,"a. 平凡的, 陈腐的"
churlish,a. 粗野的
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
"
anomalous,"a. 不规则的, 反常的
"
aberration,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差
"
totem,"n. 图腾, 标志物, 崇拜物"
totemic,a. 图腾的
emblematic,"a. 象征的, 典型的"
engender,"vt. 产生, 引起
vi. 发生, 形成"
output,"n. 输出, 产品, 产量
"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
tyro,"n. 初学者, 生手, 新手"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
foreground,"n. 前景, 最显著的位置
"
momentary,"a. 瞬间的, 刹那间的"
evanescent,"a. 逐渐消失的, 容易消散的, 短暂的
"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
momentous,"a. 重大的, 重要的"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
correspondence,"n. 相符, 通信, 信件
"
chunk,"n. 大块, 矮胖的人(或物)
"
vindication,"n. 辩护, 证明无辜, 辩明
"
exculpation,"n. 使无罪
"
vindicate,"vt. 辩护, 证明...无辜, 维护
"
discrete,"a. 不连续的, 离散的
"
discreet,"a. 小心的, 慎重的"
discretion,"n. 慎重, 辨别力, 考虑, 处理权
"
discretionary,[计] 选择的
indiscretion,"n. 鲁莽, 不慎重, 轻率
"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
brag,"n. 吹牛
v. 吹牛"
braggart,"n. 吹牛者, 自夸者
a. 吹牛的, 自夸的"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
parochial,"a. 教区的, 地方性的, 目光偏狭的"
insular,"a. 岛的, 岛民的, 与世隔绝的, 孤立的, 保守的
"
parochialism,"n. 教区制度, 地方观念, 眼界狭小"
insularity,"n. 岛屿生活状况, 孤立, 岛国性质"
diminutive,"a. 小的, 小型的, 指小的
n. 身材极小的人, 指小词, 爱称"
minuscule,"n. 小书写体, 小写字
a. 用小书写体的, 小写字的"
metaphor,n. 隐喻
metaphorical,"a. 隐喻性的, 比喻性的"
imperil,"vt. 使处于危险, 危害"
flippant,"a. 轻率的, 没礼貌的, 嘴碎的"
flippancy,"a. 轻率, 无礼, 轻率的举动(或言语)"
maze,"n. 迷宫, 迷惘
vt. 使迷惘, 使混乱, 迷失"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
petulant,"a. 任性的, 暴躁的, 易生气的, 难以取悦的"
umbrage,"n. 不快, 生气, 阴影, 树荫, 怀疑等模糊感觉"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
complimentary,"a. 问候的, 称赞的, 夸奖的"
competence,"n. 胜任, 职称, 能力
"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
alienation,"n. 疏远, 离间, 转让
"
alienate,"vt. 使疏远, 离间, 转让
"
valediction,"n. 告别, 告别辞"
valedictory,"a. 告别的
n. 告别辞"
amalgam,"n. 汞合金, 汞齐
"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
bibliography,"n. 参考书目
"
boisterous,"a. 猛烈的, 喧闹的, 狂暴的"
snob,"n. 势利的人, 假内行"
vociferous,"a. 大声叫的, 喊叫的, 喧嚷的"
impassioned,"a. 充满激情的, 狂热的, 热烈的"
fiery,"a. 炽热的, 热烈的, 暴躁的"
versatile,"a. 多才多艺的, 万用的, 万向的"
connoisseur,"n. 鉴赏家, 鉴定家, 内行"
connoisseurship,"n. 鉴赏的能力, 行家的地位"
patron,"n. 赞助人, 顾客, 保护人
"
patronizing,"a. 屈尊俯就的, 显示优越感的"
modicum,n. 少量
dearth,"n. 缺乏, 粮食不足, 饥馑"
revel,"n. 作乐, 狂欢
vi. 狂欢作乐, 陶醉, 着迷
vt. 耗费"
numinous,"a. 精神上的, 超自然的"
heterogeneous,"a. 异种的, 异质的, 由不同成分形成的
"
dissimilar,"a. 不同的, 相异的"
diverse,"a. 不同的, 变化多的"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
heterogeneity,"n. 异种, 异质, 不同成分
"
diversity,"n. 差异, 多样性
"
coincidence,"n. 巧合, 同时发生
"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
fusion,"n. 熔合物, 结合, 熔合
"
sensational,"a. 使人感动的, 非常好的"
sensation,"n. 感觉, 轰动
"
sensationalism,"n. 故意使用的煽情手段, 耸人听闻的题材, 耸人听闻的手法, 危言耸听, 哗众取宠"
cliché,无
antediluvian,"a. 大洪水前的, 陈旧的, 过时的
n. 大洪水以前的人, 老迈的人"
archaic,"a. 古体的, 过时的, 古老的, 古代的
"
outdated,"a. 旧式的, 落伍的, 过时的"
hard-and-fast,"严格的, 搁浅的"
trendy,"a. 随潮流的, 时髦的, 赶潮流的"
anachronistic,a. 时代错误的
anachronism,"n. 时代错误, 不合潮流的人(物)
"
theatrics,"n. 戏剧演出, 舞台效果"
theatrical,"a. 剧场的, 夸张的, 戏剧性的
n. 戏剧演出"
confessional,"a. 自白的, 忏悔的
n. 告解室"
far-fetched,"adj. 强词夺理的
"
restive,"a. 不愿向前走的, 倔强的, 难驾御的"
fractious,"a. 易怒的, 倔强的, 脾气不好的"
restless,"a. 不安静的, 慌张的, 休息不充分的
"
hypercritical,"a. 批评苛刻的, 吹毛求疵的"
faction,"n. 小派系, 内讧
"
dispassionate,"a. 冷静的, 不带感情的"
importunate,"a. 强求的, 急切的, 坚持的, 讨厌的"
concede,"vt. 承认, 退让
vi. 让步"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
majestic,"a. 宏伟的, 庄严的"
august,"n. 八月
a. 威严的, 令人敬畏的"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
promising,"a. 有希望的, 前途有望的
"
stalwart,"n. 健壮的人
a. 高大结实的, 坚定的"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
irascible,"a. 易怒的, 暴躁的"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
deride,"vt. 嘲弄, 嘲笑"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
at a premium,"在票面价值以上, 非常珍贵
"
enervate,"vt. 使衰弱
a. 衰弱的, 无力的"
arcane,"a. 神秘的, 晦涩难解的"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
conspicuous,"a. 显著的, 显眼的, 出众的"
marked,"a. 有记号的, 显著的, 醒目的
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
salience,"n. 显著, 卓越, 突出, 突起, 特征"
prominence,"n. 突起, 突出, 显著, 突出物, 凸出
"
ancillary,"a. 从属的, 辅助的, 副的
"
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
circumstantial,a. 依照情况的
contingency,"n. 偶然性, 可能性, 意外事故
"
contingency,"n. 偶然性, 可能性, 意外事故
"
plentiful,"a. 许多的, 丰富的, 丰饶的"
plentitude,n. 充分
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
whereas,"conj. 然而, 鉴于
"
appreciation,"n. 感激, 赏识, 鉴别
"
nondescript,"a. 莫可名状的, 难以区别的
n. 难以名状的事物, 不属任何类型的人"
unexceptional,"a. 非例外的, 平常的, 不特别的, 不容许有例外的"
pushover,"n. 容易做的工作, 易被劝服的人, 易被击败的人"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
embolden,"vt. 使大胆, 使有胆量"
fusty,"a. 发霉的, 守旧的, 陈腐的"
electorate,"n. 选民, 有选举权者, 选区
"
opportunism,n. 机会主义
opportunistic,"a. 机会主义的, 投机取巧的"
tart,"a. 酸的, 辛辣的, 尖酸的
vt. 妖艳打扮
n. 果馅饼, 妓女"
fudge,"n. 虚构的故事, 谎言, 胡说
interj. 胡说八道
vi. 蒙混, 做傻事
vt. 粗制滥造, 捏造, 逃避职责"
traumatic,"a. 外伤的, 创伤的
"
winnow,"vt. 簸, 扬(谷), 吹掉, 把挑出来, 精选
vi. 扬谷, 分出好坏, 飞翔
n. 扬谷, 扬谷器"
outstrip,"vt. 追过, 胜过, 凌驾"
equitable,"a. 公平的, 公正的
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
stifle,"vt. 使窒息, 抑止, 扼杀
vi. 窒息, 被扼杀"
shackle,"n. 桎梏, 束缚物
vt. 加枷锁, 束缚"
wrest sth. from,从…使劲夺走；从…费力取得(利益、权利)；从…勉强某求(生存)；歪曲，曲解
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
divulge,"vt. 泄露, 透露"
disclose,"vt. 揭露, 透露
"
self-perpetuating,a. 能使自身永久存在的
inherent,"a. 固有的, 与生俱来的
"
innumerable,"a. 无数的, 数不清的"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
molder,"vi. 腐朽, 崩塌
vt. 使腐朽, 使崩塌
n. 造模者, 铸模工"
philistine,"n. 庸人, 门外汉, 仇敌, 俗气的人
a. 俗气的, 无教养的"
in spite of,不管
recoil,"n. 畏缩, 后退, 弹回, 反作用, 后坐力
vi. 退却, 畏缩, 弹回, 撤退, 反冲, 报应"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
indict,"vt. 起诉, 控告, 指控
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
mercenary,"n. 唯利是图者, 雇佣兵
a. 为钱而工作的, 被雇的, 图利的"
cataclysm,"n. 大洪水, 地震, (社会政治的)大变动
"
cataclysmic,"a. 洪水的, 灾变的, 政治和社会大变动的"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
elucidate,"vt. 阐明, 说明"
self-effacing,"a. 不出风头的, 不喜出风头的, 谦让的"
inopportune,"a. 不合时机的, 不巧的"
enhance,"vt. 提高, 加强, 增加"
augment,"v. 增加, 增长
"
hone,"n. 磨刀石, 抱怨, 想念
vt. 用磨刀石磨, 磨练"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
make sense,有意义
speculate,"vi. 深思, 推测, 投机
"
speculative,"a. 思索性的, 投机的, 推测的
"
conjectural,"a. 推测的, 好推测的"
speculation,"n. 沉思, 推测, 投机
"
conjecture,"n. 推测, 猜想, 揣摩
v. 推测, 猜想, 揣摩
"
laudatory,"a. 赞美的, 赞赏的"
civility,"n. 礼貌, 礼仪"
comity,"n. 礼貌, 礼让
"
opprobrium,"n. 污名, 耻辱, 咒骂
"
vituperation,"n. 谩骂, 辱骂
"
opprobrious,"a. 嘴不干净的, 无礼的, 粗野的, 辱骂的, 该骂的"
make a difference,"有区别,有很大关系"
make a or no difference,无
impassive,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的"
unethical,a. 不道德的
probity,"n. 诚实, 正直"
rectitude,"n. 正直, 纯正, 正确
"
befuddle,"vt. 使昏沉, 使迷惑, 使糊涂"
deplete,"vt. 耗尽, 使衰竭
"
depletion,"n. 消耗, 耗尽, 放血
"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
ponderous,"a. 沉重的, 笨重的, 毫无趣味的, 生硬的"
conundrum,"n. 谜语, 难题"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
fecundity,"n. 多产, 丰饶, 肥沃, 繁殖力
"
fertility,"n. 肥沃, 丰饶, 生产力
"
mitigate,"vt. 温和, 缓和, 减轻
"
extenuate,"vt. 减轻, 为...找借口
"
ameliorate,"v. 改善, 改良, 改进"
diminish,"v. (使)减少, (使)变小"
curtail,"vt. 缩减, 剥夺, 简略
"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
bountiful,"a. 慷慨的, 宽大的"
sloth,"n. 怠惰, 懒惰"
journalism,"n. 新闻业, 报章杂志
"
intractable,"a. 不听话的, 倔强的, 棘手的
"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
inventive,"a. 善于创造的, 发明的"
subservient,"a. 有帮助的, 有用的, 奉承的"
set in,"na. 固定；停当；涨潮；进来
"
deficiency,"n. 缺乏, 不足
"
aggravate,"vt. 使恶化, 使更严重, 加重"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
snappish,"a. 要咬人的, 厉声说话的, 没好气的"
lucrative,"a. 有利益的, 获利的, 合算的"
feckless,"a. 无效的, 无能的, 不负责任的"
squander,"vt. 浪费, 使分散
vi. 浪费, 漂泊, 四散"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
prosaic,"a. 散文的, 散文体的, 平凡的"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
mundane,"a. 现世的, 世俗的, 宇宙的"
uninspired,"a. 未受灵感启迪的, 无灵感的, 缺乏创见的"
riveting,"a. 非常有趣的, 引人注目的
"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
erudite,"a. 博学的
n. 博学者"
erudition,n. 博学
renewal,"n. 更新, 革新, 复兴, 恢复, 修补, 补充, 继续, 重订, 重申, 续借
"
reiterate,"vt. 反复地说, 重申, 反复地做
"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
continuity,"n. 连续性
"
gravitate,"vi. 被重力吸引, 沉下, 下降
vt. 使受重力吸引"
downright,"a. 明白的, 率直的, 十足的
adv. 全然, 彻底, 完全"
tenure,"n. 享有, 保有期
"
tenured, 终身的；长期保有的
ambiguous,"a. 不明确的, 模棱两可的
"
ambiguity,"n. 不明确, 含糊
"
statistics,"n. 统计学, 统计资料
"
dictum,"n. 声明, 格言, 法官意见
"
transgress,"vt. 违反, 犯罪, 侵犯
vi. 越界, 违法"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
societal,a. 社会的
insulate,"vt. 使绝缘, 隔离
"
concise,"a. 简洁的, 简明的"
concision,"n. 切断, 简明, 简洁"
succinctness,"n. 简明, 简洁"
sophist,"n. 诡辩者, 诡辨家, 学者"
aggrandize,"vt. 增加, 夸大"
self-aggrandizing,a. 自我扩张的；谋求自我扩张的
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
juxtaposition,"n. 并排, 并置, 并列
"
stingy,"a. 小气的, 吝啬的, 缺乏的, 有刺的"
parsimonious,"a. 过度节俭的, 吝啬小气的"
genteel,"a. 有教养的, 上流的, 优雅的"
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
ban,"n. 禁令
vt. 禁止, 取缔"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
defiance,"n. 蔑视, 挑战
"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
collective,"a. 集体的, 聚集的, 共同的
"
entreat,"v. 恳求, 乞求"
endow,"vt. 捐赠, 捐助, 赋予
"
aspersion,"n. 诽谤, 中伤, 洒水
"
slur,"n. 连音符, 诽谤, 玷污, 印刷模糊
vt. 草率地看过, 忽略, 含糊地念
vi. 模糊不清"
communal,"a. 公有的, 公社的
"
blatant,"a. 喧嚣的, 吵闹的, 俗丽的, 炫耀的"
arduous,"a. 费力的, 努力的, 险峻的"
taxing,"a. 繁重的, 费力的
"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
onerous,"a. 繁重的, 负有法律责任的
"
exacting,"a. 苛求的, 吃力的"
usher,"n. 引座员, 招待员
vt. 引导, 招待
vi. 作招待员"
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
oversight,"n. 勘漏, 失察, 失败, 照料
"
regal,"a. 帝王的, 适于帝王的"
