actual,"a. 真实的, 实际的, 现行的
"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
acre,n. 英亩
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
decrease,"n. 减少, 减少量
v. 减少"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
increasingly,"adv. 逐渐地, 渐增地"
discreet,"a. 小心的, 慎重的"
discrepancy,"n. 不符合, 差异, 不相符之处
"
cream,"n. 乳酪, 奶油, 面霜
"
ice-cream,"冰淇淋
"
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
secretary,"n. 秘书, 书记, 大臣
"
credential,"n. 国书, 凭据, 证明书
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
incredible,a. 难以置信的
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
crisis,"n. 危机, 危险期, 紧要关头
"
crime,"n. 犯罪, 罪行, 罪恶
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
discriminate,"v. 区别, 差别待遇"
hypocrisy,"n. 伪善
"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
crisp,"a. 脆的, 新鲜的, 活泼的
v. (使)烘脆, (使)拳曲, (使)起皱
n. 松脆物"
critic,"n. 批评家, 鉴定家"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
criticism,"n. 批评, 评论, 非难
"
criticize,"v. 批评, 吹毛求疵, 非难"
criterion,"n. 标准, 准则, 规范
"
accurate,"a. 正确的, 精确的
"
accuracy,"n. 精确, 正确
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
curious,"a. 好奇的, 求知的, 古怪的"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
currency,"n. 货币, 通货, 流通, 通用
"
curricular,a. 课程的
extra-curricular,a. 课外的
curriculum,"n. 课程
"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
excursion,"n. 远足, 游览圆, 短程旅行
"
incur,"vt. 招致, 蒙受, 遭遇
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
occur,"vi. 发生, 被想到, 存在"
occurrence,"n. 发生, 事件, 出现
"
mercury,"n. 水银, 汞, 使者
"
because,conj. 因为
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cautious,"a. 谨慎的, 小心的"
dictation,"n. 听写, 口述, 命令"
dictionary,"n. 字典, 词典
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
addiction,"n. 入迷, 瘾
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contradiction,"n. 反驳, 矛盾
"
dedicate,"vt. 献出, 贡献"
dedication,"n. 奉献, 献身, 献辞
"
indicate,"vt. 显示, 象征, 指示, 指出
"
indication,"n. 指示, 象征, 暗示
"
indicative,"a. 指示的, 象征的, 表示...的
"
predict,"v. 预知, 预言, 预报"
prediction,"n. 预言, 预报
"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
doctorate,n. 博士头衔
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
documentary,"n. 记录片
a. 文件的"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
semiconductor,"n. 半导体
"
deduce,"vt. 推论, 演绎出
"
deduct,"vt. 扣除, 减去
"
educate,"vt. 教育, 培养, 训练"
education,"n. 教育, 训练, 教育学
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
introduction,"n. 介绍, 传入, 采用, 初步"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
product,"n. 产品, 结果, 乘积
"
production,"n. 制造, 生产, 产物
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
productivity,"n. 生产力
"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
reduction,"n. 减少, 缩影, 变化
"
domain,"n. 领域, 领土, 产业, 范围
"
dominate,"v. 支配, 占优势"
dominant,"a. 占优势的, 支配的
"
predominant,"a. 占主导地位的, 卓越的
"
domestic,"a. 家庭的, 国内的, 驯养的
"
freedom,"n. 自由, 坦率, 特权
"
kingdom,"n. 王国, 领域
"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
dorm,n. 宿舍
democracy,"n. 民主政治, 民主主义
"
democratic,"a. 民主的
"
anecdote,"n. 轶事, 奇闻"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
edition,"n. 版本, 版, 翻版"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
industrialize,"vt. 使工业化
vi. 实现工业化"
elementary,"a. 初步的, 基本的
"
electric,"a. 电的, 导电的, 电动的
"
electrical,"a. 电的, 有关电的
"
electrician,"n. 电学家, 电气技师, 电工
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
electron,"n. 电子
"
electronic,"a. 电子的
"
telegram,"n. 电报, 一封电报
"
telegraph,"n. 电报, 电报机
vi. 打电报
vt. 打电报给, 电汇, 流露, 显示出要...的样子"
telephone,"n. 电话, 电话机
v. 打电话"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
equality,"n. 平等, 均匀, 相等
"
adequate,"a. 适当的, 足够的
"
equation,"n. 相等, 等式, 平衡
"
equator,"n. 赤道
"
equip,"vt. 装备, 配备
"
equipment,"n. 装备, 设备, 才能
"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
qualitative,"a. 性质的, 质的, 定性的"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
qualification,"n. 资格, 条件, 限制
"
quantity,"n. 量, 数量, 总量
"
quantify,"vt. 定量, 用数量表示, 测量"
quantitative,"a. 数量的, 定量的
"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
factory,"n. 工厂, 产生地, 代理店
"
satisfactory,"a. 满意的, 赎罪的
"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
defect,"n. 缺点
"
deficit,"n. 赤字, 不足额
"
deficiency,"n. 缺乏, 不足
"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
efficient,"a. 有效率的, 能干的"
efficiency,"n. 效率, 效能, 功效
"
infect,"vt. 传染, 感染
"
infectious,"a. 有传染性的, 易传染的
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
perfection,"n. 完美, 完成, 极端
"
fiction,"n. 小说, 虚构故事
"
difficult,a. 困难的
difficulty,"n. 困难, 难点"
office,"n. 办公室, 部, 公职, 职责
"
officer,"n. 军官, 主管, 官员, 公务员
vt. 指挥"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
suffice,"vi. 足够, 有能力
vt. 满足"
sufficient,"a. 充分的, 足够的
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
benefit,"n. 利益
vt. 有益于
vi. 受益"
beneficial,"a. 有益的, 受益的
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
proficiency,"n. 精通, 熟练, 精练"
classify,"vt. 分类, 归类, 分等
"
classification,"n. 分类, 分级
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identification,"n. 识别, 身份证明, 认同
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
significance,"n. 重要性, 意义, 意味
"
fame,"n. 名望, 名声, 传说"
famous,"a. 出名的, 极好的"
family,"n. 家庭, 家人, 族
a. 家庭的"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
famine,"n. 饥荒, 缺乏, 饥饿"
finding,"n. 发现, 发现物, 决定, 裁决
"
confident,"a. 有信心的, 有把握的"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
confidence,"n. 信心
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
foundation,"n. 基础, 根据, 建立
"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
fulfillment,"n. 履行, 结束, 完成, 实现, 满意, 称心"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
finally,"adv. 最后, 终于"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
define,"vt. 定义, 规定, 使明确
"
definite,"a. 明确的, 一定的
"
definition,"n. 定义, 精确度, 清晰度
"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
financial,"a. 财政的, 金融的
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
butterfly,"n. 蝴蝶
"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
flu,"n. 流感, 流行性感冒"
fluent,"a. 流利的, 流畅的"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influential,"a. 有影响的, 有势力的"
superfluous,"a. 多余的, 过剩的"
inflation,"n. 胀大, 夸张, 通货膨胀
"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
flatter,"vt. 奉承, 阿谀, 使高兴
"
flavor,"n. 滋味, 调味品
vt. 加味于"
flour,"n. 面粉, 粉沫, 碎粉
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
fraction,"n. 小部分, 破片, 分数
"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
fragile,"a. 易碎的, 脆的
"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
fragment,"n. 碎片, 破片, 片段
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
informal,"a. 非正式的, 不拘礼的, 通俗的
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
formation,"n. 形成, 构造, 编队
"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
formula,"n. 客套语, 公式, 准则
"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
furious,"a. 狂怒的, 激烈的, 吵闹的"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
furnish,"vt. 供给, 提供, 装设
"
furniture,"n. 家具, 帆具"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
funeral,"n. 葬礼, 出殡"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
refugee,"n. 难民, 流亡者
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
confusion,"n. 混乱, 混淆, 无秩序
"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
refusal,"n. 拒绝, 推却, 优先决定权
"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
refute,"vt. 反驳, 驳斥；驳倒"
gender,"n. 性
vt. 产生"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
generate,"vt. 产生, 发生, 导致
"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
generation,"n. 一代, 一世, 产生
"
generator,"n. 产生器, 发电机, 生产者
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
genius,"n. 天才, 天赋, 精神, 神魔
"
genuine,"a. 真正的, 真实的, 诚恳的
"
gentle,"a. 温和的, 文雅的"
gently,"adv. 温和地, 温柔地, 轻轻地, 逐渐地"
homogeneous,"a. 同种的, 同质的, 齐性的
"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
hydrogen,"n. 氢
"
nitrogen,"n. 氮
"
oxygen,"n. 氧
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
malignant,"a. 有恶意的, 恶性的, 有害的
"
diagnose,v. 诊断
dignity,"n. 尊严, 高贵
"
indignant,"a. 愤怒的, 愤慨的"
indignation,"n. 愤怒, 愤慨, 义愤"
cognitive,"a. 认知的, 认识的"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
suggestion,"n. 提议, 意见
"
grown-up,"成年的,适于成年人的"
growth,"n. 生长, 栽培, 增长
"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
grape,"n. 葡萄, 葡萄树
"
grass,"n. 草, 草原, 牧场
"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
greenhouse,n. 温室
grocer,n. 食品商
grope,"v. 摸索
n. 摸索"
agriculture,"n. 农业
"
ingredient,"n. 成分, 因素
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
integrity,"n. 正直, 廉正, 完整
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
gradually,adv. 逐渐地
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
postgraduate,"a. 大学毕业后的, 大学研究院的
n. 研究生"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
centigrade,"a. 百分度的, 摄氏的
"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
congratulate,"vt. 祝贺, 庆贺"
congratulation,"n. 祝贺, 恭喜"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
graceful,a. 优美的
gracious,"a. 亲切的, 慈善的"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
grandmother,"n. 祖母, 女祖先"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
