similar,"a. 相似的, 类似的
n. 相似的东西"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
edition,"n. 版本, 版, 翻版"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
exhibition,"n. 表现, 展览会, 展览品
"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
fantasy,"n. 幻想, 想象的产物
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
audience,"n. 听众, 观众, 读者
"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
visual,"a. 视觉的
"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
ceremony,"n. 典礼, 仪式, 礼节
"
anniversary,n. 周年纪念
monument,"n. 纪念碑, 纪念物, 石碑"
dynasty,"n. 朝代, 王朝"
generation,"n. 一代, 一世, 产生
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
nutrition,"n. 营养, 营养学
"
appetite,"n. 食欲, 欲望, 爱好
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
tasty,"a. 好吃的, 可口的"
tasteless,"a. 没味道的, 无鉴赏力的"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
starve,"v. (使)饿死, (使)挨饿"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
diploma,"n. 文凭, 毕业证书
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
degree,"n. 程度, 度数, 学位, 度
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
minimum,"a. 最小的, 最低的
n. 最小值
"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
furnish,"vt. 供给, 提供, 装设
"
debt,"n. 债务, 罪过
"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
insure,"vt. 保险, 确保
vi. 投保"
compensate,"v. 偿还, 补偿, 付报酬"
currency,"n. 货币, 通货, 流通, 通用
"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
wealthy,"a. 富有的, 丰裕的, 充分的"
bless,"vt. 祝福, 祈佑, 使神圣化"
pale,"n. 栅栏, 界线, 范围
a. 苍白的, 暗淡的, 无力的
vi. 变苍白, 变暗, 失色
vt. 使变苍白, 使失色, 用栅栏围"
mourn,"v. 哀悼, 忧伤, 服丧"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
bury,"vt. 埋葬, 埋藏"
funeral,"n. 葬礼, 出殡"
tomb,"n. 坟墓, 死亡
vt. 埋葬"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
worn,"a. 用旧的, 穿旧的
wear的过去分词"
tiresome,"a. 累人的, 烦人的"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
astonish,vt. 使惊讶
break away,"突然离开, 脱离, 放弃"
break away from,"摆脱,脱离"
break down,"v. 分解；抛锚；分析；划分
"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break into,"破门而入, 侵占
"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
"
break through,"突围, 突破
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring back,"na. 送回；使恢复；使回忆起
"
bring out,"na. 公布；说出；出版；上演
"
bring up,"na. 抚养；教导；教育；在…长大
"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
call in,"na. 招；叫进；引入；调入
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call on,"号召, 呼吁, 约请, 访问"
call out,"召唤...行动, 唤起, 大声叫唤"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut out,"na. 割掉；除去；剪下；开辟
"
cut through,"抄近路走过, 刺穿"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
come about,"发生, 改变方向"
come across,偶遇
come along,v. 出现；一起来；陪伴；进步
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come down to,"流传下来;压缩为,归结为,简化为"
come from,"来自, 出生于"
come into,"得到, 继承
"
come into being,"形成, 产生"
come off,"发生, 举行, 表现, 结果"
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come out with,"发表, 出版, 说出, 提出, 把...投入市场销售"
come over,"过来
"
come through,"经历...仍活着, 安然度过, 胜利, 表现"
come up,"走上前来, 发芽, 发生, 被提到, 流行
"
come up with,"赶上, 提出"
get along,"生活, 融洽相处"
get along with sb.,"进展, 走开"
get around,"病后能够走动, (非正式)旅行, 传开来"
get away,"离开, 逃脱, 起跑, 出发"
get away from,"离开,摆脱,脱离"
get back,"na. 取回；回来；送回；〈俚〉报复
"
get down,"na. 开始认真对待；落下；下车；写下
"
get down to sth.,开始认真考虑
get down to doing sth.,无
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get on with, 继续（干某事）; 和…友好相处
get out,"出去, 离开, 逃脱, 摆脱, 泄露, 说出, 出版, 弄出来"
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get through,"做完, 通过, 度过"
get together,"聚集, 收集, 积累"
get up,"na. 起床；起身；站起来；叫…起床
"
give away,"na. 赠送；分发；放弃；露马脚
"
give in,"na. 让步；屈服；投降；上交
"
give off,"na. 发散(水蒸气等)
"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
give up,"na. 放弃；断绝；投降；自首
"
go after,"追逐, 追求"
go against,"反对, 违反, 不利于"
go ahead,前进
go along,"前进, 进行"
go around,"漫步,闲逛,绕圈子"
go away,走开
go back,"回去, 追溯"
go by,"走过, 依照, 顺便走访"
go down,"下去, 下沉, 坠落, 被接受, 咽下, 平静下来, 下降, 传下去"
go for,"去找, 努力获取, 被认为, 主张, 拥护"
go in for,"参加, 追求, 从事, 赞成"
go into,"进入, 加入, 探究, 变得, 进入...状态
"
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
go on,"继续下去, 过去, 发生, 进行, 接近, (演员)上, (运动员)上场, 依靠, 依据, 责骂
"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
go over,"转变, 仔细检查, 润色, 复习"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
go up,"上升, 兴建"
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
"
hold on,"继续, 不挂断, 停止"
hold on to,坚持
hold out,"na. 伸出；提出；维持；制止
"
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
keep away from,(使)远离，(使)不接近；(使)不在
keep off,"让开, 不接近"
keep on,na. 继续；穿
keep on doing sth.,继续做某事；继续做
keep to,"v. 坚持；固守
"
keep up,"na. 支持；保持；继续；停歇
"
keep up with,"跟上
"
look after,"目送, 照顾, 关心"
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
look at,"看, 考虑, 着眼于"
look back,"回顾, 三心二意
"
look down on,"轻视, 看不起"
look down upon, 蔑视，瞧不起; 鄙夷; 看轻; 掩鼻而过
look for,"寻找, 期待"
look forward to sth.," 期望, 盼望; 瞩望; 属望; 企"
look forward to doing sth.,无
look into,"窥视, 浏览, 观察
"
look on,"观看, 旁观, 看待"
look upon," 看作, 显得不错; 看待"
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
be careful,[网络] 小心；当心；注意
take care," 当心, 小心; 坚持到底"
look out for,"当心…,留神…,提防…"
look over,"na. 浏览；检查；察看
"
look through,"看穿, 审核, 浏览, 透过...看去, 从...中显露"
look up,"v. 查找；查阅；探望；看望
"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
make up,"na. 弥补；起草；定；签订
"
make up for sth.,"补偿,弥补"
make up to sb.,"接近, 奉承"
made up one's mind,无
be made up of,由...所组成
be made of,由...所组成
be made from,"用…制造,由…制成"
make off,离开
make out,"na. 理解；发现；起草；证明
"
make over,"转让, 移交, 改造
"
put away,"v. 把…收起来；储存
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put in,"v. 探进；放进；输入；纳入
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put out,"v. 扑灭；熄灭；放出；伸出
"
put together,"na. 编辑；拼拢；比较考虑；使结婚
"
put up,"adj. 预先商定的
"
put up with,"忍受, 容忍
"
set about,"开始, 散布
"
set aside,"na. 搁置；拨出；驳回
"
set down,"na. 记入；登记；定；设
"
set off,"na. 分；分割；划开；区划
"
set out for,[网络] 动身到某地；出发前往；出发去
set out to do sth.,[网络] 着手做；着手做某事；开始做
set up,"na. 建立；创立；发起；开办
"
take apart,"na. 分解；拆分；剖析
"
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take down,"na. 扯下；卷起；记下；卸下
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take over,"na. 接管；继承
"
take to,"na. 嗜好；开始；参加；逃入
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn into,[网络] 了解
turn ... into ...,[网络] 了解
turn out,"v. 证明；原来；到场
"
turn out to be,"结果是, 原来是, 证明是"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
turn up,"v. 朝上翻；出现
"
add to,"na. 增加
"
add up,合计
add up to,合计达
build up,"树立, 增进, 增大, 堵塞
"
carry on,"继续开展, 行为愚蠢(或越轨)
"
carry out,"na. 实行；开展；完成
"
catch on,"变得流行, 理解, 明白"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch up with,赶上
check in,"登记, 报到
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
count on,"依靠, 指望"
deal with,"安排, 处理, 涉及, 做生意"
depend on,"依靠, 依赖"
die down,"枯萎, 凋谢"
die out,"熄灭, 平息, 消失"
do away with,"废除, 弄死"
do with,"与...相处, 忍受, 对付"
do without,没有...也可以
drop by,随便访问
end up,"竖着, 结束, 死"
end up with,〈非正〉以…结束
fall down," 倒塌, 跌倒; 失败; 趴架; 栽倒"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
fall over, 被…绊倒; 意外地从…上跌落; 落在…之外; 迫不及待做某事
feed on,"以...为食, 以...为能源"
figure out,"合计为, 计算出, 明白"
find out,"na. 查出；发现；看清…的面目；识破
"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
hand down,"na. 宣布(判决等)；传下来
"
hand in,"na. 交进
"
hand out,"na. 分；拿出来；施舍
"
hand over,交出；移交
hand up, 上交; 呈上; 把…扶上去
knock at,"敲,击,叩"
knock on, 敲击; <非正>（使）增加; 不停地工作; 取消
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
knock into,撞上
lead to,"导致, 通向"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
let out,[网络] 阿尔都塞思想的全部整体
lie in,"在于..., 分娩, 睡懒觉"
live on,"继续生活, 以...为主食, 靠...生活"
live up to,"实践, 做到"
pass away,"去世, 停止, 离去, 消逝"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
pass down,"un. 过；一闪即逝；下达
"
pay back,"na. 偿还；报答；向…报复；付还
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
point out,"na. 指出
"
pull on,"na. 穿上(衣服)
"
pull up,"v. 拔起；使…停下
"
refer to,"v. 查阅；提到
"
result from,"由...产生
"
result in,"导致
"
rule out,"na. 排除
"
run away,"潜逃
"
run away from sb.,逃避
run away from sth.,逃避
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
run up against,"意外地碰到, 偶遇, 撞上"
see off,"na. 送行；送别；告别；赶走
"
see through,"na. 看穿；看透；识破；办好某事
"
settle down,"使舒服地坐下, 定居, 平静下来, 专心于"
show off,"炫耀, 卖弄, 使显眼"
show up,"na. 显眼；揭发；嘲笑；露面
"
speak for,"代表...讲话, 要求得到, 订购"
speak out,"大胆地说, 大声地说"
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
stand out,"突出, 坚持抵抗"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stay up,不睡觉
stay over,过夜
stick to,粘住
think about,"考虑, 回想"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think twice,重新考虑
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
use up,"na. 用完；耗尽
"
work on,"继续工作, 设法说服, 影响"
work out,"v. 作出；拟定；制定；计划一下
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
come off,"发生, 举行, 表现, 结果"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
give off,"na. 发散(水蒸气等)
"
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
"
keep off,"让开, 不接近"
make off,离开
put off,"na. 延期；辩解
"
set off,"na. 分；分割；划开；区划
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
turn off,"v. 关掉
"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
see off,"na. 送行；送别；告别；赶走
"
show off,"炫耀, 卖弄, 使显眼"
be based on,"以…为基础,以…为根据"
call on,"号召, 呼吁, 约请, 访问"
carry on,"继续开展, 行为愚蠢(或越轨)
"
catch on,"变得流行, 理解, 明白"
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
count on,"依靠, 指望"
decide on,"决定,选定,确定…"
depend on,"依靠, 依赖"
rely on,"依赖, 依靠"
feed on,"以...为食, 以...为能源"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
concentrate on,"集中, 全神贯注于"
get on,"na. 上马；安上；过日子；相投 (with together)
"
go on,"继续下去, 过去, 发生, 进行, 接近, (演员)上, (运动员)上场, 依靠, 依据, 责骂
"
hang on,"v. 坚守；守住；坚持；支撑着
"
hold on,"继续, 不挂断, 停止"
insist on,"坚持, 坚决要求"
keep on,na. 继续；穿
knock on, 敲击; <非正>（使）增加; 不停地工作; 取消
live on,"继续生活, 以...为主食, 靠...生活"
look down on,"轻视, 看不起"
look down upon, 蔑视，瞧不起; 鄙夷; 看轻; 掩鼻而过
look on,"观看, 旁观, 看待"
look upon," 看作, 显得不错; 看待"
pull on,"na. 穿上(衣服)
"
put on,"na. 假话
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
turn on,"na. 转向；对…进行突击
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
work on,"继续工作, 设法说服, 影响"
be cast down, 沮丧
break down,"v. 分解；抛锚；分析；划分
"
burn down,"烧成平地, 火力减弱
"
calm down,"平静下来, 镇定下来"
come down to,"流传下来;压缩为,归结为,简化为"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
die down,"枯萎, 凋谢"
fall down," 倒塌, 跌倒; 失败; 趴架; 栽倒"
get down to sth.,开始认真考虑
get down to doing sth.,无
get down,"na. 开始认真对待；落下；下车；写下
"
go down,"下去, 下沉, 坠落, 被接受, 咽下, 平静下来, 下降, 传下去"
hand down,"na. 宣布(判决等)；传下来
"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
look down on,"轻视, 看不起"
look down upon, 蔑视，瞧不起; 鄙夷; 看轻; 掩鼻而过
pass down,"un. 过；一闪即逝；下达
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
set down,"na. 记入；登记；定；设
"
settle down,"使舒服地坐下, 定居, 平静下来, 专心于"
slow down,(使)慢下来
take down,"na. 扯下；卷起；记下；卸下
"
tear down,"na. 拆毁；扯下；猛冲
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring up,"na. 抚养；教导；教育；在…长大
"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
cheer up,"v. 鼓舞；振作一点
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
come up,"走上前来, 发芽, 发生, 被提到, 流行
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
"
get up,"na. 起床；起身；站起来；叫…起床
"
give up,"na. 放弃；断绝；投降；自首
"
go up,"上升, 兴建"
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
keep up,"na. 支持；保持；继续；停歇
"
look up,"v. 查找；查阅；探望；看望
"
make up,"na. 弥补；起草；定；签订
"
make up for sth.,"补偿,弥补"
put up,"adj. 预先商定的
"
set up,"na. 建立；创立；发起；开办
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
turn up,"v. 朝上翻；出现
"
add up,合计
build up,"树立, 增进, 增大, 堵塞
"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
pack up,"打包, 整理, 收工, 结束"
pick up,"v. 拾起；探出；重新开始
"
pull up,"v. 拔起；使…停下
"
show up,"na. 显眼；揭发；嘲笑；露面
"
speed up,"加速
"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stay up,不睡觉
tidy up,整理
use up,"na. 用完；耗尽
"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
make up to sb.,"接近, 奉承"
add up to,合计达
live up to,"实践, 做到"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch up with,赶上
end up,"竖着, 结束, 死"
end up with,〈非正〉以…结束
come up with,"赶上, 提出"
keep up with,"跟上
"
put up with,"忍受, 容忍
"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
"
bring out,"na. 公布；说出；出版；上演
"
burst out,"闯出来, 大声喊, 突发"
call out,"召唤...行动, 唤起, 大声叫唤"
carry out,"na. 实行；开展；完成
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
cross out,"na. 取消
"
cut out,"na. 割掉；除去；剪下；开辟
"
die out,"熄灭, 平息, 消失"
drop out,"掉出, 退出, 离队
"
fade out,"淡出, 渐弱
"
figure out,"合计为, 计算出, 明白"
find out,"na. 查出；发现；看清…的面目；识破
"
get out,"出去, 离开, 逃脱, 摆脱, 泄露, 说出, 出版, 弄出来"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
hand out,"na. 分；拿出来；施舍
"
hold out,"na. 伸出；提出；维持；制止
"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
let out,[网络] 阿尔都塞思想的全部整体
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
be careful,[网络] 小心；当心；注意
take care," 当心, 小心; 坚持到底"
make out,"na. 理解；发现；起草；证明
"
pick out,"na. 挑选；掘出；闻出；领会
"
point out,"na. 指出
"
put out,"v. 扑灭；熄灭；放出；伸出
"
rule out,"na. 排除
"
send out,"na. “send forth”的变体
"
squeeze out,"榨出, 挤出
"
set about,"开始, 散布
"
set out for,[网络] 动身到某地；出发前往；出发去
set out to do sth.,[网络] 着手做；着手做某事；开始做
speak out,"大胆地说, 大声地说"
stand out,"突出, 坚持抵抗"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
think out,"na. 想透；想出
"
turn out,"v. 证明；原来；到场
"
turn out to be,"结果是, 原来是, 证明是"
watch out,"密切注意, 当心, 戒备, 提防"
work out,"v. 作出；拟定；制定；计划一下
"
believe in,"信仰, 信任"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break out in tears,无
call in,"na. 招；叫进；引入；调入
"
check in,"登记, 报到
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
drop in,顺便走访
fill in,"na. 填充；填写；同“fill”
"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
give in,"na. 让步；屈服；投降；上交
"
go in for,"参加, 追求, 从事, 赞成"
hand in,"na. 交进
"
join in,"参加, 加入"
keep in touch with,与...保持联络
keep ... in mind,"na. 记在心里；记住；注意
"
lie in,"在于..., 分娩, 睡懒觉"
persist in,"坚持, 固执于"
put in,"v. 探进；放进；输入；纳入
"
result in,"导致
"
succeed in,在...方面成功
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take part in,"参与, 参加
"
take pride in,以...为傲
turn in,"v. 向里弯曲
"
break into,"破门而入, 侵占
"
burst into,"闯入, 开出, 突然出现"
