define,"vt. 定义, 规定, 使明确
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
variation,"n. 变更, 变化, 变种, 变奏
"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
alter,v. 改变
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
affair,"n. 事件, 事务, 恋爱事件"
explosion,"n. 爆发, 激增, 爆炸(声)
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
coincidence,"n. 巧合, 同时发生
"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
incentive,"n. 动机
a. 激励的"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
stimulus,"n. 刺激, 激励, 刺激品
"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
reputation,"n. 名誉, 名声, 声望
"
fame,"n. 名望, 名声, 传说"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
celebrated,"a. 驰名的, 有名的"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
humiliation,"n. 耻辱, 丢脸, 谦卑"
prestige,"n. 声望, 威望, 威信
"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
organization,"n. 组织, 结构, 团体, 体制
"
disorganized,a. 无组织的；紊乱的
federal,"a. 联邦的, 联合的, 同盟的
"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
institution,"n. 机构, 惯例, 制度
"
institutional,"a. 制度的, 公共机构的, 学会的
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
corporation,"n. 公司, 合作, 法人团体
"
corporate,"a. 社团的, 合伙的, 公司的
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
department,"n. 部门, 系, 机关
"
agency,"n. 代理机构, 经销商, 中介
"
association,"n. 协会
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
associated,"a. 联合的
"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
discontent,n. 不满
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
graph,"n. 曲线图, 图表, 图形
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
postal,"a. 邮政的, 邮局的
"
textual,"a. 文本的, 原文的
"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
location,"n. 位置, 场所, 特定区域
"
site,"n. 位置, 场所, 地点
vt. 给...择址"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
treatment,"n. 治疗, 待遇, 处理
"
medical,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
biomedical,a. 生物医学
medication,"n. 药物治疗, 药物处理, 医药
"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
surgery,"n. 外科, 手术, 手术室, 换球术"
prescription,"n. 处方, 命令, 指定
"
therapy,"n. 治疗
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
community,"n. 社区, 公众, 共有, 共同体
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
colony,"n. 殖民地, 移民队
"
colonial,"a. 殖民的, 殖民地的
"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
nationwide,"a. 全国性的
"
multinational,"a. 多国的, 跨国公司的
n. 跨国公司"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
provincial,"n. 外地人, 粗野的人
a. 省的, 外地的, 偏狭的"
empire,"n. 帝国, 帝权"
tribe,"n. 宗族, 部落, 一群人
"
fiction,"n. 小说, 虚构故事
"
journal,"n. 日记, 杂志, 日报
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
journalism,"n. 新闻业, 报章杂志
"
journalistic,"a. 新闻业的, 新闻工作者的, 报刊特有的, 新闻工作的"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
autobiography,n. 自传
newsletter,"n. 时事通讯, 业务通讯, 时事传报
"
newsprint,"n. 新闻纸
"
biographical,a. 传记的
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
composition,"n. 作文, 创作, 组成
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
thesis,"n. 论题, 论文"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
pathway,"n. 路径, 途径
"
runway,"n. 跑道, 河床, 过道
"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
circuit,"n. 电路, 环(行)道, 巡回
"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
via,"prep. 经由, 经过, 通过
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
lane,"n. 小路, 巷, 弄, 单行道"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
disease,"n. 疾病, 弊病
"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
paralyzed,a. 瘫痪的；麻痹的
infection,"n. 传染, 影响, 传染病
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
vessel,"n. 船, 容器, 脉管
"
auto,"n. 汽车
pref. 表示""自己""、""本身"", 表示""自己的"", 表示""自动的"""
automobile,"n. 汽车
"
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
belt,"n. 带子, 地带
"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
instrument,"n. 工具, 手段, 仪器
"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
petrol,"n. 汽油
"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
kit,"n. 装备, 工具箱, 成套工具
"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
palace,"n. 宫, 宫殿, 华丽大厦"
housing,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
dwelling,"n. 住处
"
laboratory,"n. 实验室, 研究室, 化工厂
"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
shore,"n. 海岸, 海滨, 斜撑柱
vt. 把...送上岸, 支撑, 支持"
clinic,"n. 诊所, 临床教学
"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
muscle,"n. 肌肉, 臂力
"
eyebrow,"n. 眉毛
"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
costume,"n. 装束, 服装"
garment,"n. 衣服, 衣装, 外表"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
sandal,"n. 凉鞋, 拖鞋, 檀香木
vt. 穿以便鞋"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
modernize,"vi. 现代化
vt. 使现代化"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
hitherto,"adv. 迄今, 至今"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
generation,"n. 一代, 一世, 产生
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
era,"n. 时代, 纪元, 时期"
spell,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作
vt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住
vi. 轮换, 拼字"
millennium,"n. 千禧年, 一千年"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
latter,"a. 后者的, 较后的, 近来的"
prolong,"vt. 延长, 拖延, 拖长
"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
subsequent,"a. 后来的, 接下去的
"
alphabetically,adv. 按字母顺序地
alphabet,"n. 字母
"
alphabetism,n. (作符号的)字母使用(如使用一组字母作为笔名或署名)
previous,"a. 早先的, 前面的, 过急的
"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
formerly,"adv. 从前, 以前"
historical,"a. 历史的, 史实的, 历史上的
"
historian,"n. 历史学家, 记事者"
historic,"a. 历史上著名的, 有历史性的"
prehistoric,"a. 历史以前的, 史前的"
outdated,"a. 旧式的, 落伍的, 过时的"
preceding,"a. 在前的, 前面的
"
recording,"a. 记录的, 记录用的
n. 录音"
version,"n. 一种描述, 版本, 译文
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
curriculum,"n. 课程
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
aging,"n. 老化, 变陈
"
elderly,"a. 过了中年的, 稍老的"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
standstill,"n. 停止, 停顿
"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
suspension,"n. 悬挂, 暂停, 中止
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
persist,"vi. 坚持, 固执, 持续, 坚称
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
continuous,"a. 连续的, 继续的, 连续不断的
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
perpetuate,"vt. 使永存, 使不朽, 保持"
adulthood,"n. 成年
"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
infancy,"n. 幼年, 初期, 幼儿期
"
teen,"n. 愤怒, 悲哀"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
colleague,"n. 同事, 同僚"
acquaintance,"n. 认识, 相识者"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
chairman,"n. 主席, 会长
"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
presidential,"a. 总统制的, 总统的, 首长的, 统辖的
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
"
govern,"v. 统治, 支配, 管理"
governance,"n. 统治, 统辖, 管理
"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
schooling,"n. 学校教育, 学费"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
scholarly,"a. 学者派头的, 学者风度的, 有学问的, 博学的, 好学的"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academy,"n. 学院, 院校, 学会"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
bachelor,"n. 单身汉, 学士
"
doctoral,a. 博士的
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
overcrowded,"a. 挤满的; 过度拥挤的
v. 拥挤(overcrowd的过去式和过去分词)"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
audience,"n. 听众, 观众, 读者
"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
committee,"n. 委员会
"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
assembly,"n. 与会者, 集会, 装配, 组件
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
candidate,"n. 候选人, 投考者
"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
victim,"n. 受害人, 牺牲者, 牺牲品
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
outsider,"n. 外人, 局外人, 非会员, 外行, 门外汉, 比赛中获胜可能性不大的选手
"
applicant,"n. 申请者
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
readership,"n. 读者, 读者人数"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
profession,"n. 职业, 表白, 声明
"
professionalism,"n. 职业特性, 专业技巧, 职业行为, 职业作风, (褒)专业人员的特质, 职业化
"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
secretary,"n. 秘书, 书记, 大臣
"
analyst,"n. 分析者, 精神分析学家
"
analytical,"a. 分析的, 善于分析的, 解析的
"
workforce,"n. 劳动力；工人总数, 职工总数"
physician,"n. 医师, 内科医师, 解除痛苦者
"
athlete,"n. 运动员, 运动选手
"
stylist,"n. 文体学家, 时装设计师"
stylish,"a. 现代风格的, 流行的, 潇洒的"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
knight,"n. 骑士, 爵士
vt. 授以爵位"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
auditor,"n. 审计员, 听者, 旁听生
"
steward,"n. 管理人, 招待员, 管家, 乘务员
"
consultant,"n. 顾问, 征询意见者
"
parental,"a. 父母亲的, 做双亲的, 作为渊源的
"
parenthood,n. 父母身分
domestic,"a. 家庭的, 国内的, 驯养的
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
spouse,n. 配偶
ancestor,"n. 祖先, 祖宗"
ancestry,"n. 祖先, 世系, 名门出身"
kinship,"n. 亲属关系
"
offspring,"n. 子孙, 后代, 产物
"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
inhabitant,"n. 居民, 居住者
"
townsfolk,"n. 镇民, 市民, 城里生长的人, 城镇居民"
settler,"n. 移民者, 解决者, 结算员
"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
basis,"n. 基础, 主要成分
"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
foundation,"n. 基础, 根据, 建立
"
ultimately,"adv. 最后, 最终
"
forth,"adv. 往前, 以后, 向外"
priority,"n. 优先权, 优先
"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
predecessor,"n. 前任, 先辈, 前身
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
below,"prep. 在下面
adv. 在下面"
underlying,"a. 在下面的
"
underlie,"vt. 位于...之下, 成为...的基础"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
downside,n. 底侧；下降趋势
ocean,"n. 海洋, 广阔, 许多, 一大片
"
horizon,"n. 地平线, 眼界, (天)视地平"
continent,"n. 大陆, 洲
a. 自制的"
continental,"a. 大陆的, 洲的
n. 欧洲大陆人"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
volcano,n. 火山
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
inner,"a. 内部的, 内心的
n. 内部"
internal,"a. 内在的, 国内的
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
inherent,"a. 固有的, 与生俱来的
"
innate,"a. 先天的, 天生的
"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
intrinsic,"a. 本质的, 原有的, 真正的
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
gravity,"n. 地心引力, 重力
"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
sexual,"a. 性的, 性别的
"
gender,"n. 性
vt. 产生"
creature,"n. 人, 动物, 创造物, 生物"
hormone,"n. 荷尔蒙
"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
organism,"n. 生物, 有机体, 社会组织
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
neural,"a. 神经的, 神经系统的, 神经中枢的, 背的
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
circulation,"n. 流通, 循环, 发行量
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
surroundings,"n. 环境, 周围的事物
"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
distort,"vt. 扭曲, 歪曲
"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
roundabout,"a. 迂回的, 委婉的
n. 迂回路线"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
boundary,"n. 边界, 分界线
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
storm,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻
vi. 起风, 猛冲, 怒吼
vt. 猛攻"
climate,"n. 气候, 社会趋势, 气候区
"
tide,"n. 潮, 潮汐, 趋势, 潮流, 涨潮, 高潮
vt. 使随潮漂流
vi. 顺潮行驶"
dawn,"n. 破晓, 黎明
vi. 破晓"
halo,"n. 晕轮, 光圈, 晕状物, 荣光
vt. 使有晕轮, 围以光环
vi. 成晕轮"
haze,"n. 薄雾, 阴霾, 疑惑
vt. 使变朦胧, 使变糊涂
vi. 变朦胧, 变糊涂"
protein,"n. 蛋白质
a. 蛋白质的"
virus,"n. 病毒, 滤过性病毒, 毒害
"
