Abacavir,"n. 【药】阿巴卡韦
"
anneal,"vt. 使退火
"
annihilation,"n. 歼灭, 湮灭
"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
annually,"adv. 一年一次, 每年
"
anomalous,"a. 不规则的, 反常的
"
anomaly,"n. 不规则, 反常事物, 畸形
"
anorchia,[医] 无睾[畸形]
anorexia,"n. 食欲缺乏, 厌食
"
anovulation,n. [医]停止排卵
anovulatory,"a. [医]无卵性的, 阻止排卵的"
anoxia,"n. 缺氧症
"
anoxic,a. 缺氧(症)
anoxygenic,[网络] 无氧的
antacid,"a. 中和酸的, 抗酸的
n. 抗酸剂"
antagonism,"n. 对立, 敌对, 敌意
"
antagonist,"n. 敌手, 对手
"
antagonistic,"a. 对抗的, 敌对的
"
antagonize,"vt. 使对抗, 使敌对, 反对
vi. 引起反抗"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
antegrade,"[医] 前进的, 顺行的"
antemortem,a. 临死前的
antenatal,"a. 出生前的
"
antepartum,"a. 分娩前的, 生产前的"
anterior,"a. 前面的, 先前的
"
anteriorly,"adv. 先前地；居先地；在前面, 在以前"
anteroposterior,[医] 前后的
anterosuperior,[医] 前上的
anterosuperiorly,[医]adv.在前上方
anthelmintic,"a. 驱肠虫的
n. 驱肠虫剂"
anthrax,"n. 炭疽
"
antiandrogen,n. [生化]抗雄激素物质
antiantibody,[医] 抗抗体
antiarrhythmic,"a. [药]抗心律失常的,抗心律不齐的"
antiatherosclerotic,抗动脉粥样硬化药[剂]
antibacterial,"a. 抗菌的
n. 抗菌剂"
antibiotic,"n. 抗生素
a. 抗生的"
antibody,"n. 抗体
"
anticholinergic,a. 反副交感神经生理作用的
anticholinesterase,n. [生化]抗胆碱酯酶(如毒扁豆碱)
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
anticipation,"n. 预期, 预料
"
anticoagulant,"n. 抗凝剂
"
anticoagulation,n. 抗凝作用
anticodon,n. [生]反密码子
anticomplement,[医] 抗补体
anticonceptive,[医] 避孕剂
anticongestive,无
anticonvulsant,"a. & n.抗惊厥的(药物),抗痉挛的(药物)"
antidepressant,"a. 抗抑郁的
n. 抗抑制(药), 抗抑郁剂"
antidiarrheal,"[医] 止泻的, 止泻剂"
antidiuretic,"a. 制尿
n. 制尿剂"
antidote,"n. 解毒剂, 解毒药
"
antidysrhythmic,[医]抗节律不齐药，抗心律不齐药
antiemetic,a. 
antiendotoxin,[医] 抗内毒素
antiepileptic,"n. 镇癫痫剂
"
antiestrogen,n. [生化]抗雌激素
antifungal,"a. 抗真菌的
"
antigen,"n. 抗原
"
antigenic,"a. 抗原
"
antigenicity,"n. 抗原性
"
antihistamine,n. 抗组胺药
antihistaminic,
antihypertensive,
anti-idiotype,n. 把另一种抗体视为抗原并抑制其免疫反应性的抗体
Antiidiotypic,adj. anti-idiotype的变形
antiinflammatory," [医]抗炎剂, 抗炎药"
antimalarial,
antimetabolite,n. [医]抗代谢物
antimicrobial,"a. 抗菌的
n. 抗菌剂"
antimicrobic,"[医] 抗微生物的, 抗菌的"
antimony,"n. 锑
"
antimutagen,抗诱变因素
antineoplastic,a. & n.抗肿瘤的(药)
antineutrino,[化] 反中微子
antioncogene,抑癌基因
antioxidant,"n. 抗氧化剂, 防老化剂
"
antioxidation,"抗氧化(作用), 氧化抑制(作用)"
antiproliferative,[网络] 抗增殖的；反增殖性的；抗增生
antiprostaglandin,[网络] 抗前列腺素；抗前列腺素活性
antipruritic,"n. 止痒剂
a. 止痒的, 防痒的"
antipsychotic,a. 安定药
antipyresis,退热(疗)法
antipyretic,"a. 退热的
n. 退热剂"
antipyrine,n. 安替比林(退热及止痛剂的一种)
antirachitic,a. [医]治疗佝偻症的
antiretroviral," [医]抗逆转录病毒的, 抗后病毒的"
antirheumatic,n. 
antiscorbutic,"a. 抗坏血病的
n. 抗坏血病的药剂"
antisense,a. 反义的
antisepsis,"n. 防腐, 抗菌
"
antiseptic,"n. 抗菌剂, 防腐剂
a. 抗菌的, 防腐的"
antiserum,"n. 抗血清
"
antisterility,[医] 抗不育的
antistreptolysin,[医] 抗链球菌[溶血]素
antithrombin,
antithyroid,a. & n.抗甲腺的(药剂)
antitoxin,"n. 抗毒素
"
antituberculous,a. (药物等)抗结核的
antitussive,"a. 能止咳的, 能防咳的
"
antiulcer,"a. (药物等)抗溃疡的,治溃疡的"
antiviral,"a. 抗病毒的
"
antral,"a. 窦, 室, 房
"
antrectomy,[医] 窦切除术(如幽门窦切除术、鼓窦凿开术)
antrophose,[医] 中枢性光幻觉
antrum,"n. 窦, 房
"
anucleate,无核生物; 缺胞核的
anuria,"n. 无尿(症)
"
anus,"n. 肛门
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
anxious,"a. 忧虑的, 发愁的, 渴望的"
aorta,"n. 主动脉
"
aortic,"a. 主动脉的
"
aortitis,[医] 主动脉炎
aortoprosia,主动脉下垂
apathetic,"a. 缺乏感情的, 无动于衷的, 缺乏兴趣的
"
apathy,"n. 无感情, 无兴趣, 冷漠
"
apelin,[网络] 脂肪细胞因子；活性多肽；脂肪炎症因子
aperture,"n. 孔, 缝隙, 孔径
"
apex,"n. 顶, 尖端, 最高潮
"
aphagia,"(=agllutition)吞咽不能, 不能取食"
aphanizomenon,n. 【细菌】束丝藻属
aphasia,"n. 失语症
"
aphasic,"[医] 语言不能的, 失语的; 语言不能者, 失语者"
aphonia,"n. 失音
"
apical,"a. 顶端的
"
apicostomy,[医] [牙]根尖造口术
aplasia,"n. [医]发育不全, 成形不完全,先天萎缩"
aplastic,"a. 发育不全的, 再生障碍的
"
apnea,"n. 呼吸暂停, 窒息
"
apoenzyme,n. [生化]脱辅基酶蛋白
apolipoprotein,n. [生化]阿朴脂蛋白
apomorphine,"n. [药]阿朴吗啡,脱水吗啡"
aponecrosis,无
aponeurosis,n. [解]腱膜
apophysis,"n. 骨突, 蒴托
"
apoplexy,"n. 中风
"
apoprotein,n. [生化]脱辅基蛋白
apoptosis,n. 细胞凋亡；细胞死亡
apoptotic, [医]细胞凋亡的
apparatus,"n. 装置, 器具, 器官
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appealing,"a. 有感染力的, 动人的, 恳求的"
appear,"vi. 出现, 显得, 来到
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
appendage,"n. 附加物, 附器
"
appendectomy,"n. 阑尾切除术
"
appendicitis,"n. 阑尾炎
"
appendix,"n. 附录, 附加物, 阑尾
"
appetite,"n. 食欲, 欲望, 爱好
"
appetizer,"n. 开胃食品, 吊胃口的东西
"
appetizing,"a. 开胃的, 促进食欲的, 鲜美可口的"
appliance,"n. 器械, 用具, 应用
"
applicability,"n. 适用性, 应用性
"
applicable,"a. 合适的, 可应用的
"
applicant,"n. 申请者
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
applicator,"[医] 声极(超声治疗用); 敷料器, 涂药器"
applied,"a. 应用的
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
appraisal,"n. 评价, 估价
"
appraise,"vt. 评价, 估价
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
appreciation,"n. 感激, 赏识, 鉴别
"
apprehension,"n. 理解, 忧惧, 逮捕
"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
appropriate,"a. 适当的
"
appropriateness,n. 适当；适合
approval,"n. 赞成, 批准
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
approximately,"adv. 大约, 大致, 近于
"
apraxia,"n. [医]运用不能症, 精神性失用症"
aprotinin,[化] 抑肽酶
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
aptitude,"n. 资质, 才能, 自然倾向
"
aquacoat,乙基纤维素水分散体
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
aqueous,"a. 水的, 似水的, 水成的
"
arachidonate,[网络] 花生四烯酸；花生四烯酸盐
arachnoid cyst,[医] 蛛网膜囊右
arachnoiditis,(=arachnitis)蛛网膜炎
arbitrarily,"adv. 任意地, 武断地, 专横地, 反复无常地"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
arbitrator,"n. 仲裁人, 公断者
"
arborization,"n. 树枝状
"
arbovirus,"n. [微]虫媒病毒,(蚊虫等)节肢动物传染病毒"
arbutin,
arc,"n. 弧, 弧形, 弓形, 弧光
"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
archaea,n. 古生菌
architecture,"n. 建筑学, 建筑式样
"
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
arctiin,"牛蒡子苷,牛蒡子甙"
arctinal,牛蒡子醛
areca,"n. 槟榔树, 槟榔
"
areflexia,"无反射, 反射消失"
arenavirus,沙粒病毒
areola,"n. 细隙, 网隙
"
arginine,
argininemia,精氨酸血症
argininosuccinic acid,[化] 精氨琥珀酸; 精氨基琥珀酸
argon,"n. 氩
"
aristogenesis,芒状发生
aristogenics,(=eugenics)优生学
armamentarium,[医] 医疗设备
armpit,"n. 腋窝
"
aromatherapy,n. 用香料按摩
aromatic,"a. 芬芳的
"
aromatization,"香花作用, 芳构化, 香料, 香味"
arousal,"n. 奋发, 激励"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
arrangement,"n. 排列, 整齐, 安排
"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
arrhythmia,"n. 心律不齐
"
arrhythmogenic,致心律失常性
arseniasis,慢性砷中毒
arsenic,"n. 砷, 砒霜
"
arsenism,n. 慢性砷中毒
arterial,"a. 动脉的, 脉络状的, 干线的
"
arteriography,"n. 动脉造影术
"
arteriolar,a. 小动脉的
arteriole,"n. 小动脉
"
arteriolosclerosis,[医] 小动脉硬化
arteriosclerosis,"n. 动脉硬化
"
arteriosclerotic,[医] 动脉硬化的
arteriovenous,[医] 动静脉的
arteritis,"n. 动脉炎
"
artery,"n. 动脉, 干道, 要道
"
arthralgia,n. [医]关节痛
arthritic,"a. 关节炎的
"
arthritis,"n. 关节炎
"
arthrodesis,"n. [医]关节固定术,人为关节强硬术"
arthrogram,"关节造影片, 关节Ｘ线照片"
arthrography,关节造影术[摄影术]
arthrogryposis,n. [医]关节弯曲
arthropathy,"n. 关节病
"
arthroplasty,[医] 关节成形术
arthropod,"n. 节肢动物
"
arthroscope,n. [医]关节内窥镜
arthrospore,n. 分节孢子
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
articular,"a. 关节的
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
articulation,"n. 关节, 接合, 连贯, 发音, 表达
"
artifact,"n. 人工制品
"
artificial,"a. 人造的, 假的, 非原地产的
"
artificially,"adv. 人工地, 人为地, 不自然地"
arundina,n. 竹叶兰属
arylhydrocarbon,无
asbestos,"n. 石棉
"
asbestosis,"n. 石棉沉着病
"
ascariasis,n. 蛔虫病
ascaris,n. [动]蛔虫
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
ascendancy,"n. 优势, 支配地位"
ascending,"a. 上升的, 向上的
"
ascertain,"vt. 确定, 查明
"
ascites,"n. 腹水
"
ascitic,[医] 腹水的
ascorbic,a. 维生素C的
ascospore,n. [植]囊孢子
ascribe,"vt. 归因于, 归咎于
"
ascus,"n. 子囊
"
asepsis,"n. 无菌, 无菌法
"
aseptic,"n. 防腐剂
a. 无菌的"
asexual,"a. 无性的, 无性生殖的
"
aspartame,[化] 阿司帕坦; 天冬甜素
aspartate,[机] 门冬氨酸盐
aspect,"n. 外观, 方面, 面貌, 方向
"
aspergillosis,"[医] 曲霉病, 曲菌病"
aspergillus,[微]曲霉菌
asphalt,"n. 柏油
a. 用柏油铺成的
vt. 以柏油铺"
asphyxia,"n. 窒息
"
aspirate,"vt. 送气发音, 以/h/音开始读出, 吸
n. /h/音, 送气音
a. 送气音的, /h/音的"
aspiration,"n. 热望, 志向, 渴望
"
aspirin,"n. 阿斯匹林
"
assay,"n. 试验, 化验, 分析
vt. 化验, 分析, 评价, 尝试
vi. 被验明内含成分"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assembly,"n. 与会者, 集会, 装配, 组件
"
assess,"vt. 估定, 对...征税, 评定
"
assessment,"n. 评估, 估定, 评定的款额
"
assign,"vt. 分配, 指派, 赋值
"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
assistance,"n. 协助, 援助
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
association,"n. 协会
"
assortative,"a. 相配的,相称的,协调的"
assortment,"n. 分类, 各种各样
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assumption,"n. 假定, 自负, 担任, 假装
"
assurance,"n. 保证, 把握, 信心, 保险
"
astereognosis,[医] 实体觉缺失
asterixis,扑翼样震颤
asthenic,"a. 虚弱的
n. 身体虚弱的人"
asthenopia,n. [医]弱视的
asthenozoospermia,[网络] 弱精子症；无力精子症；弱精症
asthma,"n. 哮喘
"
asthmatic,"a. 气喘的, 患气喘症, 治气喘有效的
"
astigmatism,"n. 散光
"
astringent,"n. 收敛剂
a. 收敛性的, 严厉的, 涩的"
astrocyte,"[医] 星形[胶质]细胞, 蛛形细胞"
astrocytoma,n. [医]星细胞瘤
asymmetrical,"a. 不对称的, 偏位的
"
asymmetry,"n. 不匀称, 不对称
"
asymptomatic,"a. 无症状的
"
asynchronous,"a. 不同时的, 不同期的, 异步的
"
asystole,"n. 心搏停止
"
ataxia,"n. 运动失调, 无秩序, 混乱, 动作机能不协调, 共剂失调
"
atelectasis,"n. (肺)膨胀不全, (肺)不张
"
atelectatic,a. [医]肺膨胀不全的
atherogenic,a. [医]导致动脉粥样化的
atherogenicity,[网络] 粥状动脉硬化相对性
atheroma,"n. 动脉粥样化, 粉瘤
"
atheromatous,"a. [医]动脉粥样化的, 粉瘤的"
atheroprotective,[网络] 动脉粥样硬化
atherosclerosis,"n. 动脉粥样硬化
"
atherosclerotic,a. 动脉粥样硬化
athetosis,"n. [医]指痉病, 手足徐动症"
athlete,"n. 运动员, 运动选手
"
atlas,"n. 地图集, 图表集
"
atmosphere,"n. 大气, 空气, 气氛
"
atom,"n. 原子, 核能, 微粒, 微量
"
atomic,"a. 原子的, 原子能的
"
atomize,"vt. 使粉碎, 将...喷成雾状
"
atonic,"a. 无重音的, 清音的, 张力缺乏的
"
atopic,[医] 异位的; 特[异反]应性的
atopy,n. [医]遗传性过敏症
atoxic,"a. 非毒(性)的,无毒(性)的"
atractylodes,[医] 苍术属
atractylone,苍术酮
atractyloside,苍术苷
atransferrinemia,缺转铁球蛋白血
atraumatic,"a. 防止损伤的, 减少不良影响的"
atresia,"n. 闭锁, 无孔
"
atretic,[医] 闭锁的
atrial,"a. 门廊, 心房
"
atrioventricular,"a. 房室的
"
atrium,"n. 中庭, 心房
"
atrophic,"a. 萎缩的
"
atrophy,"n. 萎缩, 萎缩症
"
atropine,"n. 阿托平, 颠茄硷
"
atropinization,n. [医]阿托品化( 指受阿托品影响而呈现的生理状态)
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
attain,"vt. 达到, 获得
vi. 达到"
attainable,"a. 可到达的, 可得到的"
attainment,n. 达到
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attendance,"n. 出席, 出席的人数, 照料
"
attenuate,"a. 纤细的, 稀薄的, 稀释的
vt. 使减弱, 使纤细
vi. 变稀薄, 变纤细, 减少
"
attenuation,"n. 变稀薄, 变纤细, 衰减
"
attenuator,"n. 衰减器
"
attest,"vi. 证明, 表明, 作证
vt. 为...作证"
attitude,"n. 态度, 看法, 姿势
"
attractant,"[医] 诱引剂, 吸引剂"
attributable,a. 可归于...的
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
atypical,"a. 非典型的
"
audible,"a. 听得见的
"
audiometer,"n. 听力计, 听度计
"
audiometric,"a. 听力测定的, 测听术的"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
auditory,"a. 听觉的, 听觉器官的
"
auger,"n. 螺旋钻, 木螺钻
"
augment,"v. 增加, 增长
"
augmentation,"n. 增加, 增长, 增加物
"
aura,"n. 气氛, 气味
"
auricle,"n. 耳廓
"
auricular,"n. 耳的, 私下对人说的, 耳状的
"
aurum,"n. 金
"
auscultate,v. 听诊
auscultation,"n. 听诊
"
autacoid,"n. 自体有效物质
"
authoritative,"a. 权威性的, 官方的, 命令式的
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
autism,"n. 孤独症
"
autistic,"[医] 孤独的, 自我中心的"
autoantibody,[化] 自身抗体
autoantigen,自身抗原
autoclave,"n. 高压消毒锅, 高压锅
"
autocrine, 自分泌
autograft,
autohemolysis,[医] 自血溶解
autoimmune,a. 自体/自身免疫的
autoimmunity,"n. 自体/自身免疫
"
autointoxication,n. 自体中毒
autologous,"[医] 自体固有的, 正型结构的"
autolysate,n. 自溶产物
autolysis,"n. 自身溶解
"
automate,"vt.vi. (使)自动化
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automatically,"adv. 自动地, 机械地"
automaticity,"n. 自动性
"
automation,"n. 自动化, 自动操作
"
automatism,"n. 自动, 自动作用, 无意识的行为
"
autonomic,"a. 自治的, 自主的
"
autonomous,"a. 自治的
"
autonomy,"n. 自治, 自治权
"
autophage,"自身消耗,自身消瘦,自食己肉(精神病患者)"
autophagosome,自噬体
autophagy,n. [生](细胞的)自我吞噬(作用)
autopsy,"n. 验尸
"
autoradiography,"n. 自体放射照相术
"
autoreactive,自体反应的
autoreactivity,[医]自身反应性
autosomal,"[医] 正染色体的, 常染色体的"
autosome,"n. 常染色体
"
autosuggestion,"n. 自我暗示
"
autotransplant,n. (=autograft)自体移植物
autotransplantation,"n. 自体移植
"
autotroph,"n. [生]自养生物,靠无机物质生存的生物"
autoxidation,"n. 自动氧化
"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
availability,"n. 有效性, 可利用性, 可利用的人
"
available,"a. 可利用的, 可获得的, 有效的
"
avenue,"n. 大街, 途径, 林荫路"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
avert,"vt. 转开, 避免, 防止"
avidity,"n. 热望, 急切, 利欲心
"
avirulent,"a. 无毒力的
"
avitaminosis,"n. 维他命缺乏
"
avoid,"vt. 避免, 防止, 撤消
"
avulsion,"n. 扯开, 撕脱, 扯离的部分
"
await,"vt. 等候
vi. 等待着"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
aware,"a. 知道的, 有觉悟的"
awareness,"n. 意识, 认识
"
awkward,"a. 笨拙的, 棘手的"
axial,"a. 轴的, 成轴的, 轴向的
"
axilla,"n. 腋, 腋窝
"
axillary,"a. 腋窝的, 腋生的
n. 腋羽"
axis,"n. 轴
"
axon,"n. 轴突
"
axonopathy,[网络] 轴突病变；轴突病理变化；神经轴病变
axonotmesis,[医] 轴索断伤
azathioprine,n. [药](硝基)咪唑硫嘌呤(一种免疫抑制剂)
azide,n. [化]叠氮化物
azidothymidine,"n. 叠氮胸苷（抗病毒药, 用于治疗艾滋病）"
azo,a. [植]含氮的
azole,n. [化] 一氮二烯伍圜
azone,氮酮
azoospermia,"n. [医]精子缺乏, 精子缺乏活力"
azotemia,n. 氮血(症)
bacillary,"a. 杆状的, 杆状细菌的, 芽胞杆菌, 杆菌
"
bacillin,"n. 杆菌素
"
bacillus,"n. 杆菌, 细菌
"
bacitracin,"n. 杆菌肽
"
backache,n. 背痛
backbone,"n. 脊椎, 志气, 骨干, 支柱
"
backflow,"n. 逆流, 回流
"
background,"n. 背景, 背景资料
"
baclofen,[化] 巴氯芬; 氯苯氨丁酸
Becquerel,"贝克勒尔(Antoine Henri, 1852-1908, 法国物理学家, 曾获1903年诺贝尔物理学奖)"
bacteremia,"n. 菌血症
"
bacteria,"pl. 细菌
"
bacterial,"a. 细菌的
"
bactericidal,"a. 杀菌的
"
bactericide,"n. 杀菌剂
"
bactericidin,"杀细菌素, 杀菌抗体"
bacterin,"n. 疫苗, 菌苗"
bacteriocin,"n. [微]细菌素(细菌分泌的抗菌物, 如大肠杆菌素)"
bacteriological,"a. 细菌学的, 细菌学上的
"
bacteriologist,"n. 细菌学家
"
bacteriology,n. 细菌学
bacteriolysin,n. 溶菌素
bacteriophage,"n. 噬菌体
"
bacteriosis,"n. 细菌病害
"
bacteriostasis,"n. 细菌抑制, 阻止细菌繁殖法"
bacteriostatic,"a. 抑制细菌的
"
bacteriotherapy,n. 细菌疗法
bacteriotropic,"亲菌性, 亲菌的"
bacterium,"n. 细菌
"
bacteriuria,"n. [医]细菌尿,菌尿症"
bacteroides,类桿菌属; 拟桿菌属
baicalin,
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
balanitis,[医] 龟头炎
balanoposthitis,阴茎头包皮炎
ballooning,[医] 气胀术
ban,"n. 禁令
vt. 禁止, 取缔"
bandage,"n. 绷带
"
bandwidth,"n. 频带宽度, 通带宽度
"
bank,"n. 银行, 堤, 岸
"
barbiturate,"n. 巴比土酸盐
"
bariatrics,n. 肥胖病学
barium,"n. 钡
"
bariumism,[医] 钡中毒
baroreceptor,"n. 压力感受器
"
barotrauma,[医]气压性创伤(耳鼓及咽鼓管)
barrier,"n. 障碍, 栅栏
"
