counteract,"vt. 抵消, 阻碍, 中和
"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
subliminal,"a. 下意识的, 潜在意识的
"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
guideline,"n. 指导路线, 方针, 指标
"
byline,"n. 副业, 署名报道"
deadline,"n. 最后期限, 截止期限
"
delineate,"vt. 描绘...的轮廓, 描绘, 描写"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
storyline,n. 故事情节
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
literature,"n. 文学, 文艺, 著作
"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
illiteracy,"n. 文盲, 无知"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
semiliterate,n. 半文盲
allocate,"vt. 分派, 分配
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
collocate,"vt. 布置, 使成搭配, 排列"
locality,"n. 地方, 所在, 位置
"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
relocate,"vt. 重新安置, 再配置, 放在新地方
"
analogy,"n. 相似, 类似
"
slogan,"n. 呐喊声, 标语, 口号"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
loquacious,"a. 多嘴的, 好辩的, 吵闹的, 潺潺的"
philology,"n. 语文学, 文献学"
somniloquy,"n. 说梦话
"
circumlocution,n. 迂回的说法
prolong,"vt. 延长, 拖延, 拖长
"
length,"n. 长度, 长, 期间, 一段
"
lengthen,"vt. 加长, 使延长
vi. 变长"
longevity,"n. 长命, 长寿, 寿命
"
longitude,"n. 经度, 经线
"
oblong,"n. 长方形, 长椭圆形
a. 长方形的, 长椭圆形的"
elongate,"v. 延长, (使)伸延
a. 伸长的"
analysis,"n. 分析
"
analyze,"vt. 分析, 细察, 分解
"
analyse,"vt. 分析, 细察, 分解
"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
majority,"n. 多数, 大半
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
mainstream,n. 主流
megacity,n. (人口超过100万的)大城市
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
remain,"vi. 保持, 逗留, 剩余
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
manufacturer,"n. 制造业者, 厂商
"
manufacturing,"n. 制造业
a. 制造业的"
manacle,"n. 手铐, 束缚
vt. 给...上手铐, 束缚"
remarkable,"a. 不平常的, 值得注意的, 显著的"
landmark,"n. 陆标, 划时代的事, 地界标
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
postmark,"n. 邮戳
vt. 盖邮戳于"
immediate,"a. 立即的, 直接的, 接近的
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
medieval,"a. 中古的, 中世纪的"
Mediterranean,"n. 地中海
adj. 地中海的"
midst,"n. 中间
prep. 在...中间"
memorable,"a. 值得纪念的, 难忘的"
commemorate,vt. 纪念
memorandum,"n. 备忘录, 外交备忘录, 交易备忘录
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
immerge,"vi. 浸入, 隐没, 埋头"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
immense,"a. 极广大的, 无边的, 非常好的"
asymmetry,"n. 不匀称, 不对称
"
barometer,"n. 气压计
"
diameter,"n. 直径
"
geometry,"n. 几何学
"
thermometer,"n. 温度计, 体温计
"
migrate,"vi. 移动, 移往, 随季节而移居
"
migratory,"a. 迁移的, 流浪的"
emigrate,"v. (使)移居, (使)移民"
immigrate,"vt. 使移居入境
vi. 移入"
migrant,"n. 候鸟, 移居者
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
militant,a. 好战的
paramilitary,a. 辅助军事的
demilitarize,"vt. 解除武装, 废除军备
"
minimum,"a. 最小的, 最低的
n. 最小值
"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
ministry,"n. 部, 内阁, 服务
"
permission,"n. 许可, 允许
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
emission,"n. 发射, 射出, 发行
"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
emissary,"n. 密使, 间谍, 使者
a. 充当密使的, 充当间谍的"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
emotion,"n. 情绪, 激动, 强烈的情感
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
promotion,"n. 晋级, 创建, 增进
"
commotion,"n. 骚动, 暴乱
"
demobilize,"vt. 使复员, 使退伍, 遣散"
mobster,"n. 犯罪集团成员
"
motivational,"a. 激发性的
"
commodity,"n. 农产品, 商品, 有用的物品
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
monopoly,"n. 垄断, 专卖权, 独占事业
"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
monotonous,"a. 单调的, 无变化的"
monochrome,"n. 单色画, 单色, 黑白
a. 单色的, 黑白的
"
monograph,"n. 专题论文, 专著, 专刊
vt. 写专题论文"
monolith,"n. 巨型独石, 大独石碑"
demonstrate,"vt. 示范, 证明
vi. 示威"
demonstration,"n. 示范, 实证
"
monster,"n. 怪物, 恶人, 巨物
"
remonstrate,"vi. 表示异议, 抗议, 责备
vt. 抗议地说"
navigable,"a. 可航行的, 可通船的, 适于航行的
"
navigation,"n. 航行, 航海, 导航
"
aeronautics,"n. 航空学, 飞行术
"
astronaut,"n. 太空旅行者, 宇航员
"
circumnavigate,vt. 环绕航行
autonomous,"a. 自治的
"
economic,"a. 经济上的, 实用的, 节省的
"
autonomy,"n. 自治, 自治权
"
economy,"n. 经济, 理财, 节约
"
astronomy,n. 天文学
enormous,"a. 巨大的, 庞大的"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
transnormal,"a. 超常规的, 异常的
"
subnormal,"a. 低于正常的, 普通以下的, 低能的
"
denote,"vt. 指示, 表示"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
notify,"vt. 通知, 通告, 报告
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
notoriety,"n. 恶名, 臭名, 声名狼藉"
innovation,"n. 改革, 创新
"
innovative,"a. 革新的, 创新的, 富有革新精神的"
innovate,"vi. 改革, 创新"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
novice,"n. 新手, 初学者"
nutrition,"n. 营养, 营养学
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
nutritional,"a. 营养的, 滋养的
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
nutritious,"a. 滋养的, 营养的
"
optic,"a. 眼睛的, 视觉的, 光学的
n. 镜片"
optical,"a. 眼睛的, 视觉的, 光学的
"
optometrist,"n. 验光师, 配镜师
"
optional,"a. 可选择的, 随意的
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
option,"n. 选择权, 挑选, 选项
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
optimism,"n. 乐观主义, 乐观, 乐天
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
extraordinary,"a. 非常的, 特别的, 非凡的
"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
coordinator,"n. 协调者, 同等的人或物
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
origin,"n. 起源, 起因, 出身, 开端
"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
disorient,"vt. 使失去方向, 使迷惑"
disorientate,"vt. 使失去方向, 使迷惑"
comparable,"a. 可比较的, 比得上的"
comparative,"a. 比较的, 相对的
n. 对手"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
disparage,"vt. 蔑视, 贬损
"
disparity,"n. 不一致
"
nonpareil,"a. 无比的, 无上的
n. 完美无比的人, 举世无双的人/物, 完美无比的物"
parity,"n. 同等, 同位, 平价, 奇偶性
"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
apparatus,"n. 装置, 器具, 器官
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
impart,"vt. 给予, 传授, 告知"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
apartheid,n. 种族隔离
counterpart,"n. 副本, 复本, 配对物, 相应物
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
compassion,"n. 同情, 怜悯"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
apathy,"n. 无感情, 无兴趣, 冷漠
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
surpass,"vt. 超越, 凌驾, 胜过"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
passport,"n. 护照, 手段, 通行证
"
trespass,"n. 擅自进入, 非法侵入, 侵害
vi. 侵害, 侵入, 打扰, 冒犯"
appear,"vi. 出现, 显得, 来到
"
disappear,"vi. 消失, 不见"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
reappear,vi. 再出现
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
depend,"vi. 靠, 视...而定, 信赖"
appendage,"n. 附加物, 附器
"
suspense,"n. 悬疑, 焦虑, 悬念, 悬而不决
"
compendium,"n. 纲要, 概略
"
compensate,"v. 偿还, 补偿, 付报酬"
expenditure,"n. 开支, 费用, 用光, 消费额
"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
pensive,"a. 沉思的, 哀思的, 忧郁的"
dispenser,"n. 分配者, 药剂师, 配药员, 分配器
"
appetite,"n. 食欲, 欲望, 爱好
"
competitive,"a. 竞争的
"
perpetuate,"vt. 使永存, 使不朽, 保持"
impetuous,"a. 冲动的, 猛烈的, 轻率的, 狂暴的"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
physician,"n. 医师, 内科医师, 解除痛苦者
"
astrophysics,"n. 天体物理学
"
geophysics,"n. 地球物理学
"
replace,"vt. 代替, 替换, 放回, 归还
"
displace,"vt. 移置, 替换, 转移"
irreplaceable,"a. 不能调换的, 不能代替的
"
marketplace,n. 市场
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
depletion,"n. 消耗, 耗尽, 放血
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
implication,"n. 牵连, 含义, 暗示
"
comply,"vi. 顺从, 依从
"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
pliable,"a. 易弯的, 柔顺的, 圆通的"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
applicable,"a. 合适的, 可应用的
"
complexity,"n. 复杂, 复杂性, 复杂的事物"
complication,"n. 复杂化, 复杂情况
"
duplex,"a. 双的, 复式的, 双联的, 二重的, 二倍的
"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
deploy,"v. 展开, 配置"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
overexploit,[网络] 过度开采；过分开发
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
composition,"n. 作文, 创作, 组成
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
disposable,"a. 可任意处理的
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
positive,"a. 肯定的, 积极的, 有把握的
"
proposal,"n. 提议, 计划, 求婚
"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
composure,"n. 镇静, 沉着"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
supposition,"n. 想像, 推测, 推想
"
depositary,"n. 收存入, 受托人, 保管人
"
transpose,"vt. 调换, 颠倒顺序, 移项
vi. 互换位置
"
population,"n. 人口, 人口数
"
popularity,"n. 名声, 受大众欢迎, 流行"
populate,"vt. 使人口聚居在...中, 殖民于, 移民于, 居住于, 定居于"
publicity,"n. 名声, 宣传, 公开场合
"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
populace,"n. 平民, 大众, 人口"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
apportion,"vt. 分配, 分摊, 分派
"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
portable,"a. 可携带的, 可搬运的, 可移动的
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
appreciative,"a. 有欣赏力的, 感激的"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
suppression,"n. 抑压, 镇压, 抑制
"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
impressive,"a. 给人深刻印象的, 威严的"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
oppress,"vt. 压迫, 压抑, 使烦恼"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
oppression,"n. 压抑, 沉闷, 压迫手段
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
principle,"n. 原则, 原理, 主义
"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
priority,"n. 优先权, 优先
"
primeval,"a. 初期的, 原始的, 远古的"
primogenitor,"n. 始祖, 祖先"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
deprive,"vt. 剥夺, 使丧失
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
approbation,"n. 认可, 满意
"
approval,"n. 赞成, 批准
"
disapprove,v. 不赞成
probation,"n. 鉴定, 查验, 证明, 试用, 察看, 缓刑
"
acquire,"vt. 获得, 学到
"
enquire,v. 询问
acquisition,"n. 获得, 获得物
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
conquest,"n. 战胜, 征服, 战利品
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
require,"vt. 需要, 命令, 要求
"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
enquiry,"n. 询问
"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
unconquerable,"a. 不可征服的, 克服不了的, 压制不了的"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
arrange,"v. 安排, 排列, 达成协议
"
arrangement,"n. 排列, 整齐, 安排
"
rearrange,"vt. 再排列, 重新整理
"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
eruption,"n. 爆发, 喷出物, 出疹
"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
bankruptcy,"n. 破产者
"
disruption,"n. 分裂, 崩溃, 瓦解"
disruptive,"a. 分裂的, 破坏(性)的
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
sanitary,"a. 卫生的
n. 公共厕所"
sanitation,"n. (环境)卫生, 环境卫生的提倡/维持, 卫生设备, 下水道设施, 卫生设施
"
insane,"a. 患精神病的, 极愚蠢的
"
unsanitary,"a. 不卫生的, 有碍健康的, 不清洁的"
conscious,"a. 有意识的, 知觉的, 觉察的
"
omniscient,"a. 全知的, 无所不知的
n. 无所不知者, 上帝"
prescient,"a. 预知的, 有先见之明的"
ascribe,"vt. 归因于, 归咎于
"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
prescription,"n. 处方, 命令, 指定
"
describe,"vt. 描述, 描绘, 画"
inscribe,"vt. 登记, 铭记于, 题写, 雕刻
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
