intellect,"n. 智力, 出众的才华, 知识分子
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
zeal,"n. 热心, 热衷, 热诚"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
background,"n. 背景, 背景资料
"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
damage,"n. 损害, 伤害
v. 损害"
earn,"vt. 赚得, 获得, 博得
"
facile,"a. 容易的, 灵巧的, 温和的"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
tactics,"n. 用兵学, 战术, 兵法
"
unable,"a. 不能的, 不会的
"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
zest,"n. 兴趣, 热情, 风味, 热心
vt. 给...调味"
ability,"n. 能力, 才干
"
backload,[网络] 撤离费；调整；背载荷
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
satire,"n. 讽刺文学, 讽刺"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
unclear,"a. 不易了解的, 不清楚的, 含混的"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
barrier,"n. 障碍, 栅栏
"
capacity,"n. 容量, 能力, 才能, 资格
"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
cooperate,"vi. 合作, 协力, 配合
"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
fame,"n. 名望, 名声, 传说"
generate,"vt. 产生, 发生, 导致
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
parachute,"n. 降落伞
vi. 跳伞"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
technique,"n. 技巧, 技术, 方法
"
version,"n. 一种描述, 版本, 译文
"
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
cope,"vi. 竞争, 应付
n. 长袍"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
elder,"n. 年长者, 老人, 前辈
a. 年长的, 资深的"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
harmony,"n. 协调, 和睦, 调和
"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
office,"n. 办公室, 部, 公职, 职责
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
technology,"n. 技术, 工业技术, 术语
"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
worth,"n. 价值, 财产
a. 值...的, 值得的"
necessary,a. 必要的；必然的；必需的
occur,"vi. 发生, 被想到, 存在"
psychiatry,"n. 精神病学, 精神病治疗
"
quirk,"n. 古怪举动, 俏皮话, 急转"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
sandal,"n. 凉鞋, 拖鞋, 檀香木
vt. 穿以便鞋"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
unchangeable,"a. 不变的, 不能改变的"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
abuzz,"a. 嗡嗡的, 嘈杂的"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
cane,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
convention,"n. 大会, 协定, 惯例, 约定
"
convey,"vt. 传达, 运输, 转让
"
egregious,"a. 异乎寻常的, 过分的, 惊人的"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
genealogy,"n. 系谱, 宗谱, 家系, 世系, 血统
"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
judiciary,"a. 司法的, 法院的, 法官的
n. 司法部, 司法系统, 法官"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
psychology,"n. 心理学, 心理状态
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
satellite,"n. 人造卫星
"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
accelerate,"v. 加速, 促进"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
capable,"a. 有能力的, 能的, 能干的"
convince,"vt. 说服, 使相信
"
daze,"vt. 使茫然, 使发昏, 使眼花缭乱
n. 迷乱, 眼花缭乱"
eightfold,"a. 八倍的, 八层的
adv. 八倍地, 八层地"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
environment,"n. 环境, 外界, 围绕
"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
ineffective,"a. 无效的
"
misguided,a. 被误导的
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
booth,"n. 亭, 摊棚
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
envision,"vt. 想象, 预想"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
misinformation,"n. 错误的消息, 误传
"
overstep,"vt. 踏过, 逾越, 超出...的限度
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
toil,"n. 辛苦, 苦工, 网, 罗网, 圈套
vi. 苦干, 跋涉"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
aghast,"a. 惊骇的, 吓呆的"
deprive,"vt. 剥夺, 使丧失
"
envisage,"vt. 面对, 正视, 想象"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
inescapably,adv. 逃不掉地
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
misinterpret,vt. 曲解
over-the-counter, （买药）不用处方
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
upholstered,a. 装上软垫的；经过布置的
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
setback,"n. 挫折, 退步, 逆流"
unrecognized,"a. 未被认出的, 未被认定的, 未被承认的"
workforce,"n. 劳动力；工人总数, 职工总数"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
miracle,"n. 奇迹, 奇事"
overrate,"vt. 评价过高, 高估, 估价过高
"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
unreflecting,"a. 缺乏考虑的, 无思想的, 不反射的"
workplace,"n. 工作场所, 工厂, 车间"
workshop,"n. 工场, 车间, 研讨会
"
agency,"n. 代理机构, 经销商, 中介
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
department,"n. 部门, 系, 机关
"
enthusiasm,"n. 巨大的热情, 热心"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
literary,"a. 文学的, 文艺的, 精通文学的
"
misconception,n. 误解
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
persist,"vi. 坚持, 固执, 持续, 坚称
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
unreliable,"a. 不可靠的
"
workstation,"n. 工作站
"
agenda,"pl. 议程, 日常工作事项
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
depend,"vi. 靠, 视...而定, 信赖"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
groundless,"a. 无根据的, 无理由的
"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
oversize,"a. 太大的, 超大型的
n. 特大型"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
untested,"a. 未经试验的, 未经考验的"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
depict,"vt. 描述, 描写"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
equip,"vt. 装备, 配备
"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
infect,"vt. 传染, 感染
"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
shareholder,"n. 股东
"
top-down,"[经] 组织(控制,管理)严密的"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
airline,"n. 航线, 航线的设备, 航空公司"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
describe,"vt. 描述, 描绘, 画"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
guilt,"n. 罪行, 内疚
"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
infer,"vt. 推论出, 推断
vi. 作推论"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
misunderstand,"vt. 误解, 误会"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
rely,"vi. 信赖, 依赖, 信任"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
utopia,"n. 乌托邦, 理想国"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
boycott,"n. 联合抵制
vt. 联合抵制"
chromosome,"n. 染色体
"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
"
infirm,"a. 弱的, 虚弱的, 柔弱的
"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
religion,"n. 宗教, 信仰
"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
brain,"n. 脑
vt. 打碎脑部"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
depute,"vt. 指定代理人, 委以代理人, 委任
"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
flavor,"n. 滋味, 调味品
vt. 加味于"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
locate,"vt. 找出, 设于, 位于
vi. 定居"
mislead,vt. 误导
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
philharmonic,"a. 爱好音乐的, 交响乐团的, 爱乐团体的
n. 音乐爱好者, 音乐协会, 音乐会, 交响乐团"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
tolerate,"vt. 宽容, 容许, 有耐力"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
worse,"n. 更坏的事, 更恶劣的事, 败局
a. 更坏的, 更恶劣的
adv. 更坏地, 更恶劣地"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
born,"a. 天生的
bear的过去分词"
deride,"vt. 嘲弄, 嘲笑"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
guesswork,"n. 臆测, 猜测, 凭猜测所作之工作"
inevitable,"a. 不可避免的, 必然的
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
misplace,vt. 放错地方
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
derive,"vt. 得自
vi. 起源"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
