alter,v. 改变
biologist,"n. 生物学家
"
borrower,"n. 借用人, 剽窃者
"
breaker,"n. 断路器
"
capitalist,"n. 资本家, 资本主义者
a. 资本主义的"
catcher,"n. 捕手, 捕捉器
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
conqueror,"n. 征服者, 胜利者"
consultant,"n. 顾问, 征询意见者
"
democrat,"n. 民主人士, 民主主义者, 民主党党员
"
developer,"n. 开发者
"
dresser,"n. 化妆台, (剧团)服装师, 碗柜
"
dressmaker,n. 裁缝
educator,n. 教育家
elite,"n. 精华, 精锐, 中坚分子"
entertainer,"n. 表演娱乐节目的人, 演艺人员"
fighter,"n. 斗士, 战士, 好战者, 战斗机"
follower,"n. 从者, 属下, 追补者
"
golfer,n. 打高尔夫球的人
heroine,"n. 巾帼英雄, 烈妇, 女主角
"
historian,"n. 历史学家, 记事者"
horseman,"n. 骑马者, 马术师, 养马者"
housekeeper,"n. 主妇, 女管家"
idiot,"n. 白痴, 极蠢之人
"
immigrant,"n. 移民
a. 移入的, 移民的"
inhabitant,"n. 居民, 居住者
"
insider,"n. 内部的人, 权威人士, 知道内情的人
"
inspector,"n. 检查员, 巡视员
"
instructor,"n. 教员, 讲师
"
inventor,"n. 发明家
"
investor,"n. 投资者
"
laborer,"n. 体力劳动者, 辅助工
"
marker,"n. 作记号的人, 记分员, 书签, 纪念碑, 里程碑, 标识物, 标记
"
milkman,"n. 牛奶商, 送奶工, 挤奶的男人"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
monarch,"n. 帝王, 统治者, 元首
"
motorist,"n. 开汽车者, 驾车旅行的人"
observer,"n. 观察者, 遵守者, 观察员
"
organist,n. 风琴弹奏者
pal,"n. 朋友, 伙伴, 同志, 同谋
vi. 交友, 结伴"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
performer,"n. 表演者, 执行者, 完成者
"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
playmate,"n. 玩伴, 游伴"
provider,"n. 供应者, 供养人, 伙食承办人
"
publisher,"n. 出版者, 发行人
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
rider,"n. 骑手, (文件后的)附件, 扶手
"
salesclerk,"n. 店员
"
salespeople,"n. 售货员,店员"
salesperson,n. 售货员
schoolmaster,"n. 男教师, 男校长, 教导者"
schoolteacher,n. 教师
shoemaker,"n. 鞋店营业员, 皮鞋匠"
spectator,"n. 观众, 目击者, 旁观者"
statesman,n. 政治家
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
sufferer,"n. 受难者, 被害者, 患者
"
surgeon,"n. 外科医生, 军医, 船医
"
survivor,"n. 生还者, 幸存者
"
terrorist,"n. 恐怖分子
"
thinker,"n. 思想者, 思想家"
trader,"n. 商人, 商船
"
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
warrior,"n. 战士, 勇士, 武士, 鼓吹战争的人, 战斗, 尚武"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
witch,"n. 巫婆, 女巫
vt. 施巫术, 迷惑"
antenna,"n. 天线, 触须, 触角
"
armor,"n. 盔甲, 潜水服, 装甲
vt. 为...装甲"
ballpoint,n. 圆珠笔
barrier,"n. 障碍, 栅栏
"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
bra,"n. 奶罩
"
bracelet,"n. 手镯
"
bronze,"n. 青铜, 铜像
a. 青铜色的"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
canvas,"n. 帆布, 画布, 油画
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
cooker,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
"
copper,"n. 铜, 警察
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
coupon,"n. 息票, 赠券
"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
currency,"n. 货币, 通货, 流通, 通用
"
dishwater,"n. 洗碟子的水, (美)(非正式)味道蹩脚的汤"
drier,"n. 干燥机, 干燥剂
"
dryer,"n. 干衣机, 干燥剂
"
fastener,"n. 结扎工, 使系牢之物
"
fiber,"n. 纤维, 构造, 纤维制品
"
flashlight,"n. 手电筒, 闪光信号灯"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
folder,"n. 文件夹, 折纸机, 折叠式书本, 卷宗
"
garbage,"n. 垃圾, 废物
"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
graph,"n. 曲线图, 图表, 图形
"
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
hanger,"n. 挂钩, 吊架, 衣架, 挂衣钩
"
hardware,"n. 硬件, 五金器具, 零件
"
harmonica,"n. 口琴, 玻璃钟琴
"
headphone,"n. 戴在头上的收话器, 耳机
"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
lighter,"n. 点火者, 点灯工人, 打火机, 驳船
vt. 以驳船搬运"
makeup,"n. 组成, 性格, 化妆品, 化装(术), 虚构, 补考"
marking,"n. 印记, 印, 分
"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
mattress,"n. 床垫, 空气垫, 沉床
"
memo,"n. 备忘录
"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
microwave,"n. 微波
"
mitten,"n. 连指手套, 拳击手套"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
nightdress,"n. 女式睡衣, 孩子穿的睡衣, 妇女穿的睡衣"
nightgown,"n. 女式睡衣, 孩子穿的睡衣, 妇女穿的睡衣"
nylon,"n. 尼龙
"
oar,"n. 桨, 桨手, 搅棒
vi. 划桨
vt. 划动"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
pamphlet,"n. 小册子, 活页文选"
paperback,"n. 平装本, 纸面本"
parasol,"n. 阳伞, 伞翼机"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
petrol,"n. 汽油
"
pillowcase,n. 枕套
plow,"n. 犁
v. 犁, 耕"
pocketbook,"n. 笔记本, 钱袋, 皮夹, 经济来源"
pointer,"n. 指示物, 教鞭, 暗示, 指针
"
pullover,"n. 套衫
a. 套穿的"
rag,"n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服
vt. 责骂, 揶揄, 戏弄
vi. 喧闹"
saddle,"n. 鞍, 马鞍, 车座, 鞍状物
vt. 装以马鞍, 使负担
vi. 跨上马鞍"
schoolbook,n. 教科书
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
shovel,"n. 铲, 铁铲
v. 铲"
strap,"n. 带, 皮带
vt. (用皮带)捆扎"
stripe,"n. 斑纹, 条纹
"
thermometer,"n. 温度计, 体温计
"
thriller,"n. 使人激动的东西, 使人毛骨悚然的东西, 使人毛骨悚然的小说"
tights,n. 紧身衣裤
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
torch,"n. 火把, 启发之物
"
trombone,"n. 长号
"
tub,"n. 桶, 浴盆
vt. 装入桶, 洗澡
vi. 洗盆浴, 被放在桶里洗"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
wineglass,"n. 玻璃酒杯
"
zipper,n. 拉链
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
mid,"a. 中间的, 中央的, 中部的
prep. 在...之中"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
provincial,"n. 外地人, 粗野的人
a. 省的, 外地的, 偏狭的"
regional,"a. 地方的, 地域性的
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
biological,"a. 生物学的
"
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
educated,"a. 受过教育的, 有教养的"
experimental,"a. 实验的, 根据实验的
"
mathematical,"a. 数学的, 精确的
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
adventurous,"a. 喜欢冒险的, 有进取心的, 危险的"
caring,a. 有同情心的；表示或感到关怀或关心的
delightful,"a. 令人愉快的, 可爱的"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
forgetful,"a. 健忘的, 易忘的"
inclined,"a. 倾向于...的, 想要...的, 可能的, 趋向于...的"
talented,"a. 天资高的, 有才能的"
thoughtful,"a. 深思的, 体贴的"
arched,"a. 弓形结构的, 拱形的"
auto,"n. 汽车
pref. 表示""自己""、""本身"", 表示""自己的"", 表示""自动的"""
beaten,"a. 被打败了的, 筋疲力竭的, 敲平的, 踏平的
beat的过去分词"
bent,"a. 弯曲的, 决心的
n. 爱好
bend的过去式和过去分词"
burning,"a. 燃烧的, 象燃烧一样的
n. 烧, 燃烧"
circular,"a. 圆形的, 循环的, 间接的
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
creamy,"a. 含乳脂的, 乳脂状的, 奶油色的
"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
dense,"a. 密集的, 浓厚的"
drawn,"a. 拔出的
draw的过去分词"
dying,"a. 垂死的
"
elegant,"a. 优雅的, 端庄的, 高雅的"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
frozen,"a. 冻结的, 冰冷的, 严寒的, 冻伤的, 冷酷的
freeze的过去分词"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
iced,a. 冰冷的；装冰的；冰冻的
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
nude,"a. 裸的, 肉色的, 无装饰的
n. 裸体画, 裸体"
portable,"a. 可携带的, 可搬运的, 可移动的
"
rocky,"a. 岩石的, 多石的, 像岩石的, 无情的, 摇动的, 摇晃的"
sandy,"a. 沙的, 沙地的, 多沙的"
sexy,"a. 有性感的, 色情的"
shiny,"a. 有光泽的, 发光的, 辉煌的, 磨光的, 磨损的"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
"
swift,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒
a. 迅速的, 快的, 敏捷的, 立刻的
adv. 迅速地, 敏捷地
"
wireless,"n. 无线电
a. 无线的, 无线电的"
abandoned,"a. 被抛弃的, 无约束的, 恣意放荡的"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
accomplished,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的"
accustomed,"a. 惯常的, 习惯了的"
agreeable,"a. 令人愉快的, 同意的
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
broke,"a. 一文不名的
break的过去式"
concentrated,"a. 集中的, 浓缩的
"
confused,"a. 困惑的, 混乱的"
confusing,a. 令人困惑的；混淆的；混乱的
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
continuous,"a. 连续的, 继续的, 连续不断的
"
decided,"a. 确定的, 坚决的"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
diligent,"a. 勤勉的, 用功的"
disappointed,a. 失望的
disgusting,a. 令人厌恶的
doubtful,"a. 可疑的, 疑心的, 不明确的
"
earthly,"a. 地球的, 俗世的, 可能的"
embarrassing,"a. 令人为难的, 麻烦的"
exhausted,a. 耗尽的；疲惫的
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
forbidden,"a. 被禁止的, 严禁的
forbid的过去分词"
forced,"a. 被迫的, 强迫的, 用力的
"
frightening,a. 令人恐惧的；引起突然惊恐的
fruitful,"a. 结果实的, 多实的, 产量多的"
graceful,a. 优美的
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
hasty,"a. 匆匆的, 轻率的, 性怠的"
heavenly,"a. 天上的, 神圣的, 天国似的"
imaginary,"a. 想像的, 虚构的, 假想的"
indirect,"a. 间接的, 非直截了当的, 不坦率的
"
industrious,"a. 勤勉的, 刻苦的"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
pleasing,"a. 令人喜爱的, 愉快的, 舒适的"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
protective,"a. 给予保护的, 保护的
"
proven,prove的过去分词
relieved,"a. 宽慰的, 解除的, 减轻的"
reserved,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
"
rising,"n. 上升, 造反, 叛乱
a. 上升的, 高涨的, 新兴的"
satisfying,"a. 满意的, 充分的, 足可相信的"
shocking,"a. 令人震惊的, 极坏的, 不正当的"
supposed,"a. 想象上的, 假定的, 被信以为真的
"
thrilling,"a. 毛骨悚然的, 令人兴奋的, 令人发抖的"
victorious,"a. 胜利的, 得胜的, 战胜的"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
accused,n. 被告
colonial,"a. 殖民的, 殖民地的
"
competitive,"a. 竞争的
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
developed,a. 发达的（国家或地区）；成熟的
dominant,"a. 占优势的, 支配的
"
economical,"a. 节俭的, 经济的, 合算的
"
elective,"a. 选举的, 根据选举的, 选修的
n. 选修课程"
federal,"a. 联邦的, 联合的, 同盟的
"
organized,"a. 有组织的, 组织起来的"
productive,"a. 能生产的, 有生产价值的, 多产的
"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
racial,"a. 人种的, 种族的
"
racing,"n. 赛马, 赛车
"
rational,"a. 理性的, 合理的
n. 有理数"
abundant,"a. 丰富的, 充分的, 大量的"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
crucial,"a. 决定性的, 重要的, 严厉的
"
excessive,"a. 过度的, 过多的, 极端的
"
imperfect,"a. 不完美的, 不完整的, 减弱的, 未完成过去时的
n. 未完成体"
millionth,"a. 第一百万的, 百万分之一的
n. 第一百万, 百万分之一"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
plural,"n. 复数
a. 复数的, 两个以上的"
scarce,"a. 难得的, 稀罕的, 缺乏的"
singular,"n. 单数
a. 异常的, 单一的"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
timeless,"a. 无时间限制的, 不受时间影响的, 永恒的"
unbelievable,a. 难以置信的
uncommon,"a. 不寻常的, 非凡的, 罕有的
adv. 不平常地"
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
downward,a. 向下的
inward,"a. 内心的, 向内的, 本来的
"
onward,"a. 向前的, 前进的
adv. 向前, 前进, 在先"
worldwide,a. 全世界的
accurately,"adv. 正确地, 精确地"
bravely,adv. 勇敢地
darkly,"adv. 暗, 黑, 呈黑"
loosely,"adv. 松弛地, 宽松地, 不紧"
nicely,"adv. 漂亮地, 谨慎地, 恰好地"
promptly,"adv. 敏捷地, 迅速地"
remarkably,"adv. 显著地, 引人注目地, 非常地"
thinly,"adv. 薄, 细, 瘦"
accordingly,"adv. 相应地, 因此, 于是"
doubtless,"a. 无疑的, 确定的
adv. 无疑地, 确定地"
faithfully,"adv. 忠实地, 诚心诚意地, 深信着地"
likewise,"adv. 同样地, 也"
primarily,"adv. 主要地, 首先地"
rightly,"adv. 合适地, 正当地, 正确地"
similarly,"adv. 相像地, 类似于"
solely,"adv. 仅仅, 单独地"
specifically,"adv. 特定地, 明确地, 按特性"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
misunderstanding,"n. 误会, 误解
"
hostility,"n. 敌意, 敌对, 反对"
accumulate,"v. 积聚, 堆积"
tourism,"n. 观光业, 游览
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
unsteady,"a. 不稳固的, 摇摆的, 不稳定的, 易变的, 不安定的, 不规则的, 古怪的, 无常的
vt. 使不稳定, 使不安定, 动摇"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
brighten,"vi. 变亮, 活跃
vt. 使生辉, 使快活"
depressed,"a. 沮丧的, 降低的
"
symbolic,"a. 象征的, 符号的
"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
correspond,"vi. 符合, 通信, 相当
"
bodily,"a. 身体的
adv. 亲自"
beneficial,"a. 有益的, 受益的
"
deepen,"vi. 深化
vt. 使加深, 使强烈"
cooperative,a. 合作的；合作社的
multimedia,"n. 多媒体
"
diminish,"v. (使)减少, (使)变小"
obstacle,"n. 障碍, 妨害物, 阻碍"
completion,"n. 完成
"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
ape,"n. 无尾猿
"
over time,[计] 超时
flatten,"vi. 使...不活跃, 变平
vt. 弄平, 打倒, 使失去光泽"
swimsuit,n. 游泳衣
generate,"vt. 产生, 发生, 导致
"
resentment,"n. 怨恨, 愤恨"
grower,"n. 栽培者, 生长物"
gem,"n. 珠宝, 宝石, 珍贵之物
vt. 饰以宝石"
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
harden,"vt. 使变硬, 使坚强, 使冷酷
vi. 变硬, 变冷酷"
dreadful,a. 可怕的
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
deserted,"a. 被遗弃的, 废弃的
"
infect,"vt. 传染, 感染
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
outbreak,"n. 爆发, 暴动
"
loosen,"vt. 放松, 松开, 解除
vi. 变松, 松弛"
disturbing,"a. 引起烦恼的, 令人不安的"
massage,"n. 按摩, 揉
vt. 按摩, 揉"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
mildly,"adv. 柔和地, 和善地, 适度地"
be designed to do,无
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
unsuitable,"a. 不适合的
"
successor,"n. 继承者, 接任者
"
envious,"a. 嫉妒的, 羡慕的"
reside,"vi. 住, 居留, 属于
"
gorgeous,"a. 华丽的, 灿烂的"
villa,n. 别墅
be envious of ...,"忌妒, 羡慕"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
disapproval,n. 不赞成
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
straighten,"vt. 弄直, 整顿, 清理, 使改正
vi. 直起来, 改正, 好转"
statistics,"n. 统计学, 统计资料
"
continuously,"adv. 不断地, 连续地
"
widen,"vt. 弄宽, 加宽, 扩大
vi. 变宽, 扩大"
the gap between ... and ...,无
activist,n. 激进主义分子
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
fortnight,n. 两星期
congratulate,"vt. 祝贺, 庆贺"
timid,"a. 胆小的, 羞怯的"
courtesy,"n. 礼貌, 谦恭, 好意
"
weakly,"a. 弱的, 虚弱的
adv. 微弱地, 虚弱地"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
reliable,"a. 可靠的, 可信赖的
"
inexpensive,"a. 便宜的, 不贵重的"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
specify,"vt. 详列, 指定, 说明
"
receptionist,n. 接待员
have trouble in doing,无
unwise,"a. 愚蠢的, 欠考虑的, 不明智的, 轻率的"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
classified,"a. 分类的, 被归入某类的, 被指定为机密的
"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
disturbed,a. 混乱的
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
noisily,adv. 吵闹地
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
crouch,"n. 蹲伏, 蜷缩
vi. 蹲下, 蜷着, 缩着
vt. 低头"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
exhaustion,"n. 抽空, 耗尽, 疲惫, 筋疲力尽
"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
triangular,"a. 三角形的, 三人间的
"
banner,"n. 旗帜
a. 显著的, 特别好的"
flutter,"n. 摆动, 鼓翼, 烦扰
vi. 摆动, 鼓翼, 烦扰
vt. 拍(翅), 使焦急
"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
astonishment,"n. 惊异, 惊愕, 使人惊异的事物"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
peacefully,adv. 平静地
chilly,"a. 寒冷的, 冷淡的, 不友好的
"
highland,"n. 高地, 苏格兰高地"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
nationalist,"n. 国家主义者, 民族主义者"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
pant,"n. 喘息, 悸动
vi. 喘息, 渴望
vt. 气喘吁吁地说"
peck,"n. 配克(英美干量单位), 啄痕, 啄食, 许多
vt. 啄, 啄食, 琢, 凿成, 扔
vi. 啄, 吹毛求疵, 啄食, 勉强吃
"
attentive,"a. 注意的, 留心的"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
librarian,"n. 图书馆员, 图书管理员
"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
roam,"v. 漫游, 闲逛, 徜徉
n. 漫步, 漫游"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
waterfall,n. 瀑布
correspondent,"n. 通讯记者, 通信者
"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
controversial,"a. 争论的, 论争的, 被议论的"
adequate,"a. 适当的, 足够的
"
shiver,"vi. 颤抖, 哆嗦, 被打碎
vt. 使迎风飘动, 粉碎
n. 战栗, 碎块"
unbearable,"a. 无法忍受的, 承受不住的"
transparent,"a. 透明的, 显然的, 清晰的
"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
with all one's strength,用全力
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
umpire,"n. 裁判员, 仲裁人
vt. 对...进行仲裁, 当...的裁判
vi. 当裁判"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
paw,"n. 爪
v. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进"
babe,"n. 小孩, 天真幼稚的人"
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
thankfully,adv. 感激地；感谢地
feeble,"a. 微弱的, 衰弱的, 无效的
"
walnut,"n. 胡桃
"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
hateful,"a. 憎恨的, 可恨的, 可恶的"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
tuck,"n. 缝褶, 活力, 鼓声, 船尾突出部, 食品
vt. 打褶, 卷起, 挤进, 塞, 收藏
vi. 缝褶裥, 缩拢"
untidy,"a. 不整齐的, 懒散的, 混乱的"
