enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
princess,"n. 公主, 王妃, 女巨头"
condemn,"vt. 判刑, 责备, 谴责
"
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
ask for somebody's hand in marriage,无
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
disturbing,"a. 引起烦恼的, 令人不安的"
fall in love, 陷入爱河（歌名）; [电影]追爱总动员
at first sight,乍一看
unwilling,"a. 不愿意的, 勉强的
"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
evident,"a. 显然的, 明显的"
scold,"n. 好骂街的人, 责骂
v. 责骂"
merciful,"a. 仁慈的, 慈悲的"
dawn,"n. 破晓, 黎明
vi. 破晓"
deadline,"n. 最后期限, 截止期限
"
unite,"vi. 联合, 接合, 混合
vt. 使联合, 统一, 使粘合, 使结合"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
broken,"a. 坏掉的, 打破的, 断掉的
break的过去分词"
opportunity,"n. 机会, 时机"
unemployment,"n. 失业, 失业人数
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
department,"n. 部门, 系, 机关
"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
throat,"n. 咽喉, 喉咙, 嗓音
vt. 用喉音说, 开沟于"
composer,"n. 作曲家, 作家, 调停者"
motherland,n. 祖国
Austria,n. 奥地利
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
symphony,"n. 交响乐, 交响曲"
bachelor,"n. 单身汉, 学士
"
flute,"n. 笛, 横笛, 凹槽
vi. 吹笛子
vt. 用长笛奏, 刻凹槽于"
kindergarten,n. 幼稚园
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
ballet,n. 芭蕾舞
swan,"n. 天鹅, 天鹅星座, 有才华的诗人
vi. 闲荡, 蜿蜒而行"
album,"n. 粘贴簿, 唱片套
"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
chart,"n. 图表, 海图
vt. 制成图表
"
blues,"n. 勃鲁斯乐曲, (非正式)伤感的, 伤心的
"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
"
tendency,"n. 趋向, 倾向
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
spring up,出现
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
liberty,"n. 自由, 特权, 许可, 冒失
"
rock and roll,摇滚乐
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
comet,n. 彗星
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
discrimination,"n. 差别, 岐视, 辨别力
"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
mural,"a. 壁的, 壁上的, 壁似的
n. 壁画"
still life,静物
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
Spain,n. 西班牙
birthplace,n. 诞生地
architecture,"n. 建筑学, 建筑式样
"
output,"n. 输出, 产品, 产量
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
Cubism,n. 立体派
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
cube,"n. 立方体, 立方
"
rectangle,"n. 长方形, 矩形
"
consensus,"n. 合意, 一致, 同感
"
calculate,"v. 计算, 预测, 计划, 打算"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
tank,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克
vt. 储于箱中"
Impressionism,"n. 印象主义, 印象派"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
water lily,睡莲
pond,"n. 池塘
v. 筑成池塘"
Impressionist,"n. 印象主义者, 印象派作家"
oil painting, 油画
starry,"a. 星光照耀的, 多星的, 星形的, 明亮的"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
franc,n. 法郎
upwards of,"...以上, 多于..."
be off to,以…开始
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
changeable,a. 可改变的
ankle,"n. 踝
"
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
dormitory,n. 宿舍
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
passer-by,n. 过路人; 经过者
souvenir,n. 纪念品
admission,"n. 准许进入, 入场费, 录用, 承认
"
scenery,"n. 风景, 景色, 舞台布景"
scholarship,"n. 学问, 学术成就, 奖学金"
cloth,"n. 布料, 织品, 布
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
apron,"n. 围裙
"
chef,n. 厨师
seaweed,"n. 海草, 海藻
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
pineapple,"n. 凤梨, 菠萝, 失业救济金
"
eggplant,n. 茄子
seashell,n. 海贝壳
lay out,"n. 布局；设计；规划；安排
"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
disgusting,a. 令人厌恶的
aluminium,"n. 铝
a. 铝的"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
paintbrush,"n. 画笔, 漆刷
"
tin,"n. 锡, 马口铁, 罐头
vt. 在...镀锡于
a. 锡制的
"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
cut something out,无
cut something out of something,无
have a go," 企图, 尝试; 抱怨"
have a go at,"尝试一下,试试看"
dragon,"n. 龙, 凶暴的人
"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
spokesman,"n. 发言人, 代言者"
criterion,"n. 标准, 准则, 规范
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
in defence of,为保卫…;为…辩护
restriction,"n. 限制, 限定, 约束
"
deliberately,adv. 故意地
boycott,"n. 联合抵制
vt. 联合抵制"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
resemble,"vt. 相似, 类似"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
preference,"n. 偏爱, 优先, 喜爱物
"
top-ranking,"adj. 第一流的
"
swift,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒
a. 迅速的, 快的, 敏捷的, 立刻的
adv. 迅速地, 敏捷地
"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
maid,"n. 少女, 未婚女子, 女仆"
disappointment,n. 失望
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
tiresome,"a. 累人的, 烦人的"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
congratulation,"n. 祝贺, 恭喜"
screenwriter,"n. 电影剧本作家, 编剧家"
full-length,[机] 全长
robbery,"n. 抢掠, 抢夺
"
anecdote,"n. 轶事, 奇闻"
biography,n. 传记
accumulate,"v. 积聚, 堆积"
popcorn,n. 爆米花
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
thriller,"n. 使人激动的东西, 使人毛骨悚然的东西, 使人毛骨悚然的小说"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
touchstone,"n. 试金石, 检验标准"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
concubine,"n. 妾, 姘妇
"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
fantasy,"n. 幻想, 想象的产物
"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
forehead,"n. 额, 前额, 前部
"
wizard,"n. 男巫, 术士, 奇才
a. 男巫的, 巫术的
"
witch,"n. 巫婆, 女巫
vt. 施巫术, 迷惑"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
institution,"n. 机构, 惯例, 制度
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
curriculum,"n. 课程
"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
broom,"n. 扫帚, 金雀花
vt. 扫除"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
show off,"炫耀, 卖弄, 使显眼"
disappoint,vt. 使失望
give thought to,考虑，想一想
opera house,n. 歌剧院
skyscraper,"n. 摩天楼, 三角形天帆"
maple,"n. 枫, 枫木, 淡棕色
"
wilderness,"n. 荒野, 荒地, 大量"
centigrade,"a. 百分度的, 摄氏的
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
countless,"a. 数不尽的, 无数的"
freezing,"a. 冰冻的, 冷冻用的, 严寒的
"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
cross-country,越野赛，横越全国的
photographer,"n. 摄影师, 摄影者"
hunter,"n. 猎人, 猎犬, 追求者"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
multicultural,a. 融合或具有多种文化的；多种文化的
Portugal,n. 葡萄牙
Lebanon,n. 黎巴嫩
historic,"a. 历史上著名的, 有历史性的"
alley,"n. 小路, 巷"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
mall,n. 林荫路
waterfall,n. 瀑布
semicircle,n. 半圆形
sheet,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片
vt. 盖上被单, 遍布
vi. 大片落下
a. 片状的, 成薄片的
"
traveller,"n. 旅行者
"
frontier,"n. 边界, 边境
"
westwards,adv. 向西
seek one's fortune,寻出路
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
syrup,"n. 糖浆, 果汁
"
little more than, 和…无差别[一样]
merchant,"n. 商人, 店主
a. 商业的, 商人的"
cowboy,"n. 牛仔, 牛郎, 牧童"
niece,"n. 侄女, 甥女"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
merry,"a. 快乐的, 愉快的, 嬉戏作乐的"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
teamwork,"n. 协同作业, 协力
"
empire,"n. 帝国, 帝权"
seaside,"a. 海边的, 海滨的
n. 海滨"
sidewalk,n. 人行道
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
immigration,"n. 移民, 移居
"
sporting,"a. 喜好运动的, 运动用的, 冒险性的"
ambiguous,"a. 不明确的, 模棱两可的
"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
compulsory,"a. 被强制的, 强迫的, 义务的
"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
pub,"n. 酒馆, 客栈"
pint,"n. 品脱(干量或液量的单位)
"
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
unfit,"a. 不适当的, 不胜任的, 不健康的
vt. 使不相宜, 使不合格"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
surfing,n. 冲浪运动
equip,"vt. 装备, 配备
"
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
after-school,放学后
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
cricket,"n. 蟋蟀, 板球"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
Pakistan,n. 巴基斯坦
Kenya,n. 肯尼亚
South Africa,南非
considering,"prep. 就...而论
conj. 考虑到"
Colosseum,"n. 罗马圆形大剧场(建于公元80年,耗时5年,至今大部分尚存)"
classical,"a. 古典的, 正统派的, 经典的
"
Angkor Wat,"n. 【旅】吴哥窟
"
Cambodia,n. 柬埔寨
cathedral,n. 大教堂
politics,"n. 政治, 政治学, 政见, 政治活动
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
goddess,"n. 女神, 美女, 受崇拜的女性"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
partly,"adv. 部分地, 在一定程度上"
Turk,"n. 土耳其人, 土耳其马"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
gunpowder,"n. 火药
"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
autonomous,"a. 自治的
"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
smog,"n. 烟雾
"
acid rain,酸雨
appoint,"vt. 任命, 指定, 下令
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
site,"n. 位置, 场所, 地点
vt. 给...择址"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
assessment,"n. 评估, 估定, 评定的款额
"
fortnight,n. 两星期
sunburnt,"a. 晒黑的, 有晒斑的, 日炙的"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
divorce,"n. 离婚
vt. 与...离婚"
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
affair,"n. 事件, 事务, 恋爱事件"
be charged with,"装满, 承担, 被控告
"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
on behalf,[网络] 代取件业务；代订；代为
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
Egypt,n. 埃及
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
decoration,"n. 装饰, 装饰品"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
in terms of,"用...的话, 根据, 按照, 在...方面
"
regulation,"n. 规则, 管理, 调整
"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
assistance,"n. 协助, 援助
"
fragile,"a. 易碎的, 脆的
"
steward,"n. 管理人, 招待员, 管家, 乘务员
"
tulip,n. 郁金香
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
sew,"vt. 缝纫, 缝合, 缝
vi. 缝纫"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
thread,"n. 线, 丝, 纤维, 线索
vt. 穿线于, 穿过, 通过, 用线穿成
vi. 穿过
"
unrest,"n. 不安的状态, 动荡的局面
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
abolish,"vt. 废止, 革除, 消灭
"
liberation,"n. 释放, 解放
"
equality,"n. 平等, 均匀, 相等
"
fraternity,"n. 友爱, 互助会, 大学生联谊会"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
honesty,"n. 诚实, 公正, 正直"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
stripe,"n. 斑纹, 条纹
"
settler,"n. 移民者, 解决者, 结算员
"
colony,"n. 殖民地, 移民队
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
separation,"n. 分离, 分居, 缺口, 退职
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
union,"n. 联盟, 联合, 结合, 工会
"
federal,"a. 联邦的, 联合的, 同盟的
"
Indonesia,n. 印尼
Indonesian,"a. 印尼的
n. 印尼人, 印尼语群"
date back to,"始于,可以追溯到…"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
purity,"n. 纯净, 纯正, 纯粹
"
similarity,"n. 类似, 类似处
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
Scot,"n. 摊派的款项, 税赋
"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
get one's way,"[法] 为所欲为, 遂心所欲"
Irish,"n. 爱尔兰人, 爱尔兰语
a. 爱尔兰的"
split off from,无
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
homeland,"n. 本国, 故国"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
seedless,a. 无核的
observer,"n. 观察者, 遵守者, 观察员
"
disappointing,"a. 使失望的, 期待落空的, 令人沮丧的"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
dishonest,"a. 不诚实的
"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
trustworthy,"a. 可信赖的
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
identification,"n. 识别, 身份证明, 认同
"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
unconditional,"a. 无条件的, 无限制的, 绝对的
"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
ambition,"n. 野心, 志向"
reddish,"a. 微红的, 略带红色的"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
violet,"n. 堇菜, 紫罗兰
a. 堇菜科的, 紫罗兰色的"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
subjective,"a. 主观的, 个人的
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
mourning,"n. 哀痛, 居丧, 举哀, 哀悼, 丧服, 戴孝"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
ribbon,"n. 缎带, 色带, 带状物
vt. 用丝带装饰, 把...撕成条状
vi. 形成带状
"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
garment,"n. 衣服, 衣装, 外表"
ecology,"n. 生态学, 社会生态学
"
Muslim,"n. 伊斯兰教, 伊斯兰教教徒"
burglar,"n. 窃贼
"
funeral,"n. 葬礼, 出殡"
Buddhism,n. 佛教
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
Buddhist,"n. 佛教徒
a. 佛教的"
mosque,n. 清真寺
Taoism,n. 道教
biblical,a. 圣经的
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
Bible,n. 圣经
Hebrew,"n. 希伯来人, 希伯来语, 犹太人
a. 希伯来人的, 希伯来语的"
vague,"a. 含糊的, 不清楚的, 茫然的"
by and by,不久以后
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
handwriting,n. 笔迹
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
calf,"n. 小牛, 小牛皮, 腓肠
"
penny,"n. 便士, 一分, 小钱, 点滴
"
hire oneself out,[网络] 租出去；为某人工作；受雇
agricultural,"a. 农业的
"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
ripen,"vt. 使成熟
vi. 成熟"
thorough,"a. 十分的, 彻底的"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
catch on,"变得流行, 理解, 明白"
necklace,n. 项链
buffalo,"n. 水牛
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
proverb,"n. 谚语, 格言, 箴言
vt. 使众所周知, 用谚语表达"
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
frequently,"adv. 频繁, 经常地"
shorten,"vt. 弄短, 缩短, 减少
vi. 缩小, 变短"
count on,"依靠, 指望"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
bishop,"n. 主教, (国际象棋中的)象, 热果子酒"
Turkey,"n. 火鸡, 无用的家伙, 土耳其"
saint,"n. 圣徒, 圣人
a. 神圣的
"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
cottage,"n. 小屋, 茅舍"
chimney,"n. 烟囱, 灯罩
"
stocking,"n. 长袜
"
fireplace,n. 壁炉
moustache,"n. 髭, 小胡子, 触须"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
neat,"a. 整洁的, 巧妙的, 匀称的, 简洁的
n. 牛"
woollen,"n. 毛织品
a. 羊毛制的"
belt,"n. 带子, 地带
"
elf,"n. 小精灵, 矮人, 淘气鬼
"
reindeer,n. 驯鹿
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
eve,"n. 前夕, 前夜"
ray,"n. 光线, 射线, 闪烁, 光辉
vi. 射出光线, 浮现, 放射光线
vt. 放射, 显出"
Buddha,n. 佛陀
Afghanistan,n. 阿富汗
monk,"n. 修道士, 僧侣, 和尚"
reading,"n. 阅读, 知识, 读物
a. 阅读的"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
bureaucratic,"a. 官僚的
"
ministry,"n. 部, 内阁, 服务
"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
