cent,"n. 分
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
collective,"a. 集体的, 聚集的, 共同的
"
elector,"n. 有选举权的人, 选举人
"
intellect,"n. 智力, 出众的才华, 知识分子
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
recollect,"vt. 回忆, 回想, 忆起
vi. 回忆"
negligence,"n. 疏忽, 粗心大意, 忽视
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adoptable,"a. 可采用的, 可收养的"
adoptive,"a. 有收养关系的, 采用的
"
option,"n. 选择权, 挑选, 选项
"
optional,"a. 可选择的, 随意的
"
happen,"vi. 发生, 发生, 恰巧"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
perhaps,"adv. 也许, 大概"
mishap,"n. 不幸之事, 灾祸, 恶运"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
hapless,"a. 倒霉的, 不幸的"
accelerate,"v. 加速, 促进"
celerity,"n. 迅速, 快速"
acceleration,"n. 加速, 促进, 加速度
"
decelerate,v. (使)减速
accelerator,"n. 加速剂, 加速器, 油门
"
deceleration,"n. 减速
"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
mentor,"n. 指导者, 良师益友"
mentation,"n. 精神作用, 心理状态
"
commentate,"vt. 注释, 解说
vi. 评论时事"
notify,"vt. 通知, 通告, 报告
"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
denote,"vt. 指示, 表示"
annotate,"v. 作注解, 注释
"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
gratitude,n. 感激之情
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
agreeable,"a. 令人愉快的, 同意的
"
gracious,"a. 亲切的, 慈善的"
gratify,vt. 使满足
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
ingratiate,"vt. 使迎合, 使讨好"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
cherish,"vt. 珍爱, 怀有, 爱护"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
optimize,"vt. 使完美, 使完善, 充分利用, 乐观地对待, 优化
vi. 持乐观态度
"
optimism,"n. 乐观主义, 乐观, 乐天
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
optimal,"a. 最佳的, 最理想的
"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
collaborate,"vi. 合作, 勾结
"
laboratory,"n. 实验室, 研究室, 化工厂
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
labored,"a. 吃力的, 缓慢的, 不自然的, 矫揉造作的"
laborious,"a. 艰苦的, 费劲的, 勤劳的"
belabor,"vt. 痛打
"
energy,"n. 精力, 精神, 活力, 能量
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
exert,"vt. 发挥, 运用, 施以影响
"
exertion,"n. 努力, 发挥, 运用
"
energetic,"a. 精力充沛的, 积极的"
anergy,"n. [医]无反应力,无力"
energize,"vt. 使活跃, 激励, 供给...能量
"
novelty,"n. 新奇, 新鲜, 新奇的事物"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
innovate,"vi. 改革, 创新"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
renovation,"n. 革新, 刷新, 修理
"
innovation,"n. 改革, 创新
"
innovative,"a. 革新的, 创新的, 富有革新精神的"
novice,"n. 新手, 初学者"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
nursery,"n. 托儿所, 苗圃, 温床
"
nutritious,"a. 滋养的, 营养的
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
nourish,"vt. 滋养, 使健壮, 怀有"
nourishment,"n. 滋养品, 养料, 营养
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
nutritionist,"n. 营养学家
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
malnutrition,"n. 营养失调, 营养不良
"
photograph,"n. 相片, 照片, 逼真的描绘
v. 照相, 摄影"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
grammar,"n. 语法学, 入门书
"
diagram,n. 图表；图解
autograph,"n. 亲笔, 亲笔签名, 手稿
vt. 亲笔签名于, 亲笔写"
biographer,n. 传记作者
identification,"n. 识别, 身份证明, 认同
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
identical,"a. 同一的, 恒等的, 完全相同的
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identic,"a. 同一的, 恒等的,完全相同的,措词相同的,形式相同的"
identifiable,"a. 可辨认的
"
ample,"a. 大量的, 充足的, 丰富的"
example,"n. 例子, 样本, 实例
"
exemplify,"vt. 例证, 例示
"
exemption,"n. 解除, 免除, 免税
"
redeem,"vt. 赎回, 挽回, 恢复, 偿还, 补偿
"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
battle,"n. 战役
v. 战斗"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
rebate,"n. 部分退款, 折扣
vt. 退还, 打折扣
vi. 退还部分付款"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
mountain,"n. 山, 山脉, 大堆"
mountainous,"a. 多山的, 如山的, 巨大的"
insurmountable,"a. 难以克服的, 不能超越的"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
surmount,"vt. 战胜, 超越, 克服"
artificial,"a. 人造的, 假的, 非原地产的
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
artful,"a. 巧妙的, 狡猾的"
artifact,"n. 人工制品
"
artifice,"n. 诡计, 技巧, 巧妙"
artisan,"n. 工匠, 技工
"
artless,"a. 无虚饰的, 单纯的, 自然的"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
impotence,"n. 无力, 虚弱, 无效, 阳萎
"
omnipotent,"a. 全能的, 无所不能的, 彻头彻尾的, 臭名昭著的"
potent,"a. 有力的, 有说服力的, 有效的
"
impotent,"a. 无力的, 虚弱的, 无效的, 阳萎的"
nominate,"vt. 提名, 任命, 命名
"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
homonymous,"a. 同音异义的, 同名的, 意义模棱两可的
"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
nominee,"n. 被提名者, 被任命者
"
pseudonym,"n. 假名, 笔名
"
sonic,"a. 音波的, 音速的, 声音的
"
consonant,"n. 辅音
a. 一致的, 调和的"
consonance,"n. 一致, 调和, 辅音韵
"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
"
dissonant,"a. 不和谐的, 刺耳的, 不一致的"
resonant,"a. 共鸣的, 反响的, 洪亮的, 共振的
"
sightsee,vt. 游览；观光
eyesight,"n. 视力, 目力"
farsighted,"a. 能看到远处的, 有先见之明的, 远视的
"
insight,"n. 察看, 洞察力, 见识
"
shortsighted,"a. 近视的, 目光短浅的, 缺乏想像力的"
foresight,"n. 远见, 深谋远虑
"
longsighted,"a. 远视的, 有远见的"
oversight,"n. 勘漏, 失察, 失败, 照料
"
optic,"a. 眼睛的, 视觉的, 光学的
n. 镜片"
optician,"n. 光学仪器商, 眼镜商, 光学仪器制造厂
"
optics,"n. 光学
"
optometrist,"n. 验光师, 配镜师
"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
species,"n. 种, 类, 外形
"
specimen,"n. 样品, 标本, 试料
"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
specification,"n. 规格, 详述, 详细说明书
"
specialty,"n. 专业, 专长, 特产, 特制品, 特性, 特点
a. 专门的, 独立的"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
apartment,"n. 房间, 公寓"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
department,"n. 部门, 系, 机关
"
impartial,"a. 公平的, 不偏不倚的
"
impartible,"a. 不可分的, 不能分割的
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
impart,"vt. 给予, 传授, 告知"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
centigrade,"a. 百分度的, 摄氏的
"
degrade,"v. (使)降级, (使)退化"
downgrade,"vt. 降低, 贬低
n. 下坡
a. 下坡
adv. 下坡"
gradation,"n. 逐渐变化, 分等级, 阶级, 顺序
"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
passport,"n. 护照, 手段, 通行证
"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
surpass,"vt. 超越, 凌驾, 胜过"
trespass,"n. 擅自进入, 非法侵入, 侵害
vi. 侵害, 侵入, 打扰, 冒犯"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
prohibit,"vt. 禁止, 阻止
"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
habitual,"a. 习惯的, 惯常的, 平常的
"
inhabitant,"n. 居民, 居住者
"
habitant,"n. 居住者, 居民"
inhabit,"vt. 居住于, 占据, 栖息"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
extraordinary,"a. 非常的, 特别的, 非凡的
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
coordinator,"n. 协调者, 同等的人或物
"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
insubordinate,"a. 不顺从的, 地位不低的"
ordinal,"n. 序数
a. 顺序的, 依次的"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
expression,"n. 表达, 表现, 词语, 措辞
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
impressive,"a. 给人深刻印象的, 威严的"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
suppression,"n. 抑压, 镇压, 抑制
"
compression,"n. 压缩, 压紧
"
repress,"vt. 镇压, 抑制, 压制
vi. 压制"
pressing,"a. 紧迫的, 迫切的, 热切的
n. 压, 压榨, 冲压件, 唱片"
drawback,"n. 缺点, 退税
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
draggy,a. 拖拉的
drawl,"v. 慢吞吞地说, 故意拉长调子讲话
n. 慢吞吞拉长调子的说话方式"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
exclude,"vt. 除外, 排除, 排斥
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
include,"vt. 包括, 把...算入, 包住
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
closure,"n. 关闭
vt. 使终止"
disclose,"vt. 揭露, 透露
"
exclusive,"a. 排外的, 独占的, 唯一的
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discovery,"n. 发现, 被发现的事物
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
hardcover,"a. 硬书皮的
n. 硬封面的书, 精装书"
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
softcover,n. 软封面; 平装（书）
tolerate,"vt. 宽容, 容许, 有耐力"
tolerable,"a. 可容忍的, 可以的"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
intolerant,"a. 不容忍的, 不容异说的, 偏执的, 偏狭的, 不宽容的, 不耐的, 不耐性的"
intolerance,"n. 不宽容, 偏狭, 不容许相反的言论
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
exclaim,"v. 大叫, 呼喊, 大声叫"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
clamorous,a. 吵闹的
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
insure,"vt. 保险, 确保
vi. 投保"
insurance,"n. 保险, 保险业, 保险费
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
assuredly,"adv. 确实地, 无疑地, 确信地"
reassure,"vt. 使...安心, 向...再保证
"
assurance,"n. 保证, 把握, 信心, 保险
"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
dual,"a. 双重的, 双的
n. 双数"
duet,n. 二重奏
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
dubious,"a. 可疑的, 不确定的"
redouble,"vi.vt. (使)加倍, (使)增强, 倍增, 加强, (使)大量增加
vt. 重复, 再做, 再说
vi. 重折, 重迭
"
unite,"vi. 联合, 接合, 混合
vt. 使联合, 统一, 使粘合, 使结合"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
unity,"n. 一致, 联合, 单一(性), 个体
"
unify,"v. 统一, 使成一体"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
morale,"n. 士气, 道德"
demoralize,"vt. 使道德败坏, 使堕落, 挫折锐气"
mores,"n. 习惯, 道德态度, 惯例, 习俗
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
negligence,"n. 疏忽, 粗心大意, 忽视
"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
negate,"vt. 否定, 否认, 取消
"
renege,"vi. 违例出牌, 食言, 毁约
vt. 否认, 放弃, 拒绝
n. 出牌违例"
similar,"a. 相似的, 类似的
n. 相似的东西"
resemble,"vt. 相似, 类似"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
similarity,"n. 类似, 类似处
"
simultaneous,"a. 同时的, 同时发生的
"
simulate,"vt. 模拟, 假装, 模仿
"
dissimilar,"a. 不同的, 相异的"
resemblance,"n. 相似处, 类似, 肖像"
verisimilar,"a. 好像真实的
"
via,"prep. 经由, 经过, 通过
"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
previous,"a. 早先的, 前面的, 过急的
"
convey,"vt. 传达, 运输, 转让
"
convoy,"n. 护送, 护卫
vt. 护航, 护送"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
viaduct,n. 高架桥
fragile,"a. 易碎的, 脆的
"
fragment,"n. 碎片, 破片, 片段
"
fraction,"n. 小部分, 破片, 分数
"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
frail,"a. 脆弱的, 虚弱的, 意志薄弱的
n. 少女, 少妇, 灯心草篓"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
tempest,"n. 暴风雨, 骚动
vt. 使受大风暴影响, 使骚动, 使激动"
extempore,"a. 即席的, 当场的
adv. 即席, 当场
n. 即席之作"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
congress,"n. 国会, 会议, 讨论会
"
digress,"vi. 走向岔道, 离题, 扯到枝节上"
retrogress,"vi. 倒退, 退化, 退步"
transgress,"vt. 违反, 犯罪, 侵犯
vi. 越界, 违法"
aggression,"n. 侵犯, 侵略
"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
politician,"n. 政客, 政治家, 从事党派政治的人
"
policy,"n. 政策, 方针, 策略, 保险单
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
metropolis,"n. 大都市, 重要中心, 首府
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
civic,"a. 市的, 市民的, 公民的
"
civil,"a. 市民的, 公民的, 有礼貌的
"
civilization,"n. 文明, 教化
"
civilize,"vt. 使开化, 使文明
vi. 变文明"
civility,"n. 礼貌, 礼仪"
harmony,"n. 协调, 和睦, 调和
"
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
harmonic,"a. 和谐的, 音乐般的, 和声的
n. 泛音, 谐波"
harmonical,"a. (=harmonic)调和的, 音乐般的"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
contour,"n. 轮廓
vt. 画轮廓
a. 显示轮廓的
"
detour,"n. 绕路, 迂回
v. (使)绕道"
attorney,"n. 代理人, 律师
"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
disquiet,"vt. 打搅, 使烦恼, 使忧虑, 使不安
n. 不安, 焦虑, 不平静"
quietude,"n. 平静, 寂静"
inquietude,"n. 不安, 焦虑, 不安定"
acquiescence,"n. 默许, 默认
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
fluency,"n. 流畅, 雄辩, 善辩"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
influenza,"n. 流行性感冒
"
superfluous,"a. 多余的, 过剩的"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
liquidity,"n. 流动性, 流畅
"
liquidate,"vt. 偿付, 清算, 扫除, 整理, 变卖, 消灭
vi. 清算, 清理"
