ambiguity,"n. 不明确, 含糊
"
hallucination,"n. 幻觉, 幻想
"
homage,"n. 尊崇, 尊敬, 效忠"
hunch,"n. 肉峰, 预感, 大块
vt. 弯腰驼背, 预感到, 耸肩
vi. 向前移动, 隆起"
mirage,"n. 海市蜃楼, 幻景, 妄想"
misgiving,"n. 疑虑, 不安, 害怕, 担扰, 疑惧"
ovation,"n. 热烈欢迎, 大喝采, 小凯旋式"
phantom,"n. 幻影, 虚位, 幽灵, 化身, 令人恐惧的事物, 骇人的想法
a. 幻觉的, 幻影的, 幽灵的, 虚无飘渺的, 捉摸不定的, 有名无实的"
rancor,"n. 敌意, 深仇"
remorse,"n. 懊悔, 良心不安, 自责, 同情
"
revulsion,"n. 剧变, 厌恶, 强烈反感
"
solace,"n. 安慰, 安慰之物
vt. 安慰, 抚慰, 给与安慰, 使轻松"
tantrum,"n. 发脾气, 发怒
"
tremor,"n. 震动, 颤动
"
vengeance,"n. 复仇, 报仇
"
whiff,"n. 一吹, 一吸, 一阵, 一点点, 一口烟
vi. 轻轻地吹, 喷气, 三击不中出局, 垂钓
vt. 吹送, 喷出, 吸, 使三击不中出局"
concerto,n. 协奏曲
embodiment,"n. 具体化, 化身"
tribune,"n. 护民官, 军团指挥官, 公民权利保护者, 讲坛"
acronym,"n. 首字母缩拼词, 首字母组合词
"
banter,"n. 戏谑, 嘲弄
v. 戏弄, 开玩笑"
benchmark,[计] 基准程序; 基准
calculus,n. 结石；微积分学
citation,"n. 引用, 引证, 引用文
"
commandment,n. 戒律
compilation,"n. 编辑, 编纂, 编辑(编纂)物
"
conundrum,"n. 谜语, 难题"
convergence,"n. 集中, 收敛
"
denomination,"n. 名称, 教派, 面额
"
dictum,"n. 声明, 格言, 法官意见
"
doctorate,n. 博士头衔
enigma,"n. 谜, 费解的事物"
halo,"n. 晕轮, 光圈, 晕状物, 荣光
vt. 使有晕轮, 围以光环
vi. 成晕轮"
heresy,"n. 异端, 异教
"
psyche,"n. 灵魂, 精神, 普赛克(希腊神话中人类灵魂的化身)
"
pun,"n. 双关语, 俏皮话
vi. 说双关语, 说俏皮话
vt. 用双关语说服, 捣实"
quantum,"n. 量, 量子
"
resurrection,"n. 复活, 复兴, 恢复, 掘墓盗尸
"
sanctity,"n. 神圣, 尊严, 圣洁
"
savior,"n. 救助者, 救世主, 救星"
seminary,"n. 神学院, 发源地"
upshot,"n. 结果, 结局, (论证的)要点"
verification,"n. 证实, 查证, 证明属实
"
continuum,"n. 连续统一体, 连续统, 闭联集
"
courtship,"n. 求爱, 求婚, 求爱时期"
flux,"n. 流出, 涨潮, 变迁
vi. 熔化, 流出
vt. 使熔融
"
genealogy,"n. 系谱, 宗谱, 家系, 世系, 血统
"
genesis,"n. 发生, 起源, 创世记
"
hiatus,"n. 裂缝, 中断, 空隙, 间隙, 裂孔, (稿件)脱字, 漏句
pl. 裂缝, 中断, 空隙, 间隙, 裂孔, (稿件)脱字, 漏句"
omen,"n. 预兆, 前兆, 征兆
vt. 预示, 有...的前兆, 显出...的预兆"
precursor,"n. 先驱者, 前导, 前兆
"
prelude,"n. 前奏, 序幕, 序诗, 前奏曲
vi. 作为前奏
vt. 作为...的开头"
respite,"n. 暂缓, 缓期执行
vt. 使暂缓"
vigil,"n. 警戒, 监视, 守夜
"
aspen,"n. 山杨
a. 山杨的, 颤抖的"
birch,"n. 桦树, 桦木, 桦条
"
blight,"n. 枯萎病
vt. 使染上枯萎病, 破坏
vi. 枯萎"
garland,"n. 花环, 荣誉
vt. 戴花环"
graft,"n. 嫁接, 贪污
v. 嫁接, 移植, 贪污"
heather,"n. 石南花
a. 似石南的, 杂色的"
hull,"n. 壳, 皮, 船体
vt. 去壳"
meteor,"n. 流星, 大气现象"
nitrogen,"n. 氮
"
pod,"n. 豆荚, (豆荚状的)保护性外壳, 扁豆形矿体
vt. 从豆荚中剥出
vi. 结豆荚"
pollen,"n. 花粉
vt. 传授花粉给"
ante,"n. 赌注
v. 下赌注"
assortment,"n. 分类, 各种各样
"
bane,"n. 祸根, 毒药, 灭亡的原因, 灭亡
"
décor,无
demolition,"n. 破坏, 毁坏, 撤销
"
forcing,"n. 强迫, 培育, 夺取, 施加压力
a. 强迫的, 促成(植物早熟)的, 施加压力的
"
fragmentation,"n. 分裂, 破碎
"
graffiti,n. 墙上乱写乱画的东西
grid,"n. 格子, 栅格
"
hassle,"n. 激烈而持久的争论
vi. 争论
vt. 与...争辩, 使烦恼"
hindsight,"n. 枪的表尺, 事后聪明"
incompetence,"n. 不胜任, 不够格, 不合格, 不适合, 无能力, 不熟练, 无资格
"
knack,"n. 熟练技术, 巧妙手法, 诀窍
"
mannerism,"n. 矫揉造作, 习性
"
orgy,"n. 无节制, 狂欢, 纵酒宴乐, 放荡"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
quirk,"n. 古怪举动, 俏皮话, 急转"
rapport,"n. 关系, 融洽, 一致
"
respectability,"n. 可敬, 有社会地位, 高尚, 体面, 习俗"
scourge,"n. 鞭, 苦难根源, 灾祸
vt. 鞭打, 痛斥, 蹂躏"
stealth,"n. 秘密行动, 秘密, 鬼祟
"
stigma,"n. 耻辱, 污名, 烙印
"
arson,"n. 纵火, 纵火罪
"
backdrop,"n. 背景幕, 背景"
bounty,"n. 慷慨, 宽大, 礼物
"
complicity,"n. 同谋, 串通, 复杂
"
confederate,"n. 同盟者, 同盟国
a. 同盟的, 联合的
v. (使)联盟, (使)联合"
contingency,"n. 偶然性, 可能性, 意外事故
"
debacle,"n. 崩溃, 大失败"
disparity,"n. 不一致
"
evasion,"n. 逃避, 藉口
"
extradition,"n. 引渡逃犯, 亡命者送还本国
"
feud,"n. 不和, 封地, 争执
vi. 长期不和, 擦亮"
fiat,"n. 命令, 严命, 许可
"
glut,"n. 大量, 供过于求
vt. 使充满, 使吃饱, 过多供应
vi. 吃得过多, 狼吞虎咽"
imposition,"n. 征收, 课税, 强加, 欺骗
"
impunity,"n. 不受惩罚, 无事, 无患
"
infusion,"n. 注入, 泡制, 注入物
"
loophole,"n. 枪眼, 小窗, 换气孔"
malaise,"n. 不舒服
"
middleman,"n. 中间人
"
payroll,"n. 工资名单, 饷金名单, 发放的工资总额
"
probation,"n. 鉴定, 查验, 证明, 试用, 察看, 缓刑
"
procurement,"n. 获得
"
ransom,"n. 赎金, 赎身, 赎回
vt. 赎, 赎身, 赎回, 勒索赎金"
registry,"n. 登记处, 登记名册
"
roster,n. 花名册
tally,"n. 符木, 记账, 得分, 比分, 计数器, 标签, 符合, 对应物
vt. 记录, 点数, 计算, 加标签于, 使符合
vi. 记帐, 符合, 吻合, 记分
"
ultimatum,"n. 最后通牒, 基本原理
"
vindication,"n. 辩护, 证明无辜, 辩明
"
waiver,"n. 放弃, 弃权, 弃权声明书
"
fodder,"n. 饲料, 草料, 素材, 弹药
vt. 喂"
regimen,"n. 养生法, 常规强化训练课, 体制, 情态
"
aberration,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差
"
anomaly,"n. 不规则, 反常事物, 畸形
"
caliber,"n. 口径, 才干, 水准
"
centerpiece,n. 中心装饰品；放在餐桌中央的摆饰
finesse,"n. 策略, 手段, (桥牌中的)飞牌
v. 用计谋处理, 出小牌"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
hallmark,"n. 纯度检验证明, 品质证明
vt. 加盖纯度检验证明"
horde,"n. (一)群, 游牧部落, 移动群
vi. 成群结队"
parity,"n. 同等, 同位, 平价, 奇偶性
"
rectitude,"n. 正直, 纯正, 正确
"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
"
spate,"n. 泛滥, 洪水, 大雨, 大量, 一阵"
spree,"n. 戏耍, 喧闹, 宴会, 狂饮
vi. 狂欢, 狂饮"
stint,"vt. 节省, 限制, 停止
vi. 节约
n. 吝惜, 节约, 限额"
tinge,"n. 色调, 色彩, 气味, 气息
vt. 染, 使带气息"
abyss,"n. 深渊, 深邃, 地狱"
arbor,"n. 藤架, 树, 心轴, 凉亭
"
ascendancy,"n. 优势, 支配地位"
bastion,"n. 棱堡, 阵地工事"
bedrock,"n. 基岩, 基本原理, 基础"
bower,"n. 凉亭, 树阴处"
cache,"n. 隐藏所, 隐藏的粮食或物资, 贮藏物, 高速缓冲存储器
vt. 隐藏, 窖藏
"
chasm,"n. 陷窟, 裂口"
culmination,"n. 顶点, 高潮, 最高点"
furrow,"n. 犁沟, 车辙, 皱纹
vt. 犁, 耕, 弄绉
vi. 起波纹"
hump,"n. 驼背, 圆形隆起物, 鸵峰
vi. 隆起, 急速行进, 努力
vt. 使弓起, 使烦恼, 使努力干"
labyrinth,"n. 迷宫, 难解事物, 迷路
"
milieu,"n. 周围, 社会环境, 环境, 表达的手法
"
pitfall,"n. 陷阱, 诱惑, 阴谋, 易犯的错误, 意想不到的困难"
quagmire,"n. 沼泽地, 泥坑, 泥潭, 泥沼, 沼泽, 困境"
stalemate,"n. 僵持状态, 僵局, 陷于困境, 胶着状况
vt. 将...逼和, 使僵持, 使陷入困境"
tier,"n. 排, 层, 等级"
torso,"n. 躯干, 裸体躯干雕像
"
trajectory,"n. 轨道, 弹道, 轨线
"
vanguard,"n. 前锋, 先锋, 先驱"
warren,"n. 养兔场, 拥挤的地区"
watershed,"n. 流域, 分水岭
"
alias,"n. 别名, 化名
adv. 以化名为人所知
"
alumnus,"n. 男毕业生, 男校友"
bard,"n. 吟游诗人, 诗人"
boomer,n. 往来无定的临时工
brethren,"n. 弟兄们, 教友们"
comer,"n. 来的人, 新来者, 有成功希望的人"
entourage,"n. 全体随行人员, 陪同人员"
guise,"n. 相似, 外观, 伪装
v. 穿戴, 伪装"
heterosexual,"a. 异性的, 异性爱的
n. 异性恋的人"
mason,"n. 泥瓦匠, 共济会会员
vt. 用砖瓦砌成"
pedigree,"n. 血统, 家谱, 名门世系
"
pseudonym,"n. 假名, 笔名
"
skinner,"n. 皮商, 剥皮工人, 骗子
"
surrogate,"n. 替代者, 代用品
vt. 代理, 替代"
upstart,"n. 新贵, 暴发户, 自命不凡者
a. 暴富的"
whore,"n. 娼妓
vi. 卖淫"
beacon,"n. 烽火, 灯塔
v. 照亮"
buffer,"n. 缓冲器, 缓冲区
vt. 缓冲
"
buttress,"n. 拱壁, 扶壁, 支持物
vt. 支持, 以扶壁支撑"
clamp,"n. 夹钳
vt. 夹紧, 强加"
cobble,"n. 圆石, 鹅卵石
vt. 铺鹅卵石, 修, 粗粗地修补"
cornerstone,"n. 奠基石, 基础"
crate,"n. 板条箱, 装货箱
"
cuff,"n. 袖口, 一巴掌
vt. 用巴掌打
vi. 殴斗"
dolly,"n. 洋娃娃, (洗衣用)捣棒
vi. 移动车
vt. 用移动车移动"
flagship,n. 旗舰
funnel,"n. 漏斗, 漏斗状的东西, 烟囱
"
gauntlet,"n. 铁手套, 长手套, 夹击
"
grit,"n. 砂砾, 粗砂石
vt. 覆以砂砾, 咬牙切齿地说
vi. 摩擦作声"
luster,"n. 光彩, 荣誉, 光泽
vi. 有光泽, 发亮
vt. 使发光辉"
sheen,"n. 光辉, 光彩, 光泽
a. 光辉的, 发光的, 有光泽的
vi. 发出光泽"
shingle,"n. 墙面板, 小招牌"
sludge,"n. 软泥, 泥泞
"
torpedo,"n. 鱼雷, 水雷, 地雷
vt. 用鱼雷袭击, 破坏"
zinc,"n. 锌
vt. 镀锌于"
adjoining,"a. 邻接的, 毗连的
"
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
disproportionate,a. 不成比例的
eclectic,"n. 折衷主义者
a. 选择的, 折衷的"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
sporadic,"a. 偶尔发生的, 零星发生的, 分散的
"
towering,"a. 高耸的, 激烈的"
ubiquitous,"a. 无所不在的, 到处存在的, 普遍存在的"
unilateral,"a. 单方面的, 单边的, 片面的
"
vernacular,"n. 本地话, 方言
a. 地方的, 用本地语写成的"
baroque,"n. 巴罗克风格, 巴罗克式
a. 巴罗克式的, 绮靡的, 以俗艳标新立异的"
contemplative,"a. 沉思的, 爱默想的, 冥想的
"
nuptial,"n. 婚礼
a. 婚姻的, 婚礼的"
parochial,"a. 教区的, 地方性的, 目光偏狭的"
profane,"a. 世俗的, 不敬神的, 亵渎的
vt. 亵渎, 玷污"
prolific,"a. 有生殖力的, 多产的, 丰富的
"
putative,"a. 推定的, 被公认的
"
quintessential,"a. 精萃的, 精髓的, 典范的"
testimonial,"n. 证明书, 介绍信, 奖品, 奖金, 奖状, 感谢信, 表扬信
a. (有关)证明书的, 鉴定书的, 表扬的, 褒奖的"
theological,a. 神学上的
uncanny,"a. 怪诞的, 可怕的, 离奇的, 神秘的"
ailing,"a. 生病的
"
burly,"a. 结实的, 粗壮的, 率直的"
comatose,"a. 昏睡的, 昏睡状态的
"
coronary,"a. 冠的, 花冠的, 冠状的
"
corporal,"n. 下士
a. 肉体的, 身体的, 个人的"
hefty,"a. 重的, 肌肉发达的"
intestinal,"a. 肠的, 肠内的
"
intravenous,"a. 静脉内的
"
nasal,"a. 鼻的, 鼻声的, 尖锐的
n. 鼻音, 鼻音字"
neural,"a. 神经的, 神经系统的, 神经中枢的, 背的
"
optic,"a. 眼睛的, 视觉的, 光学的
n. 镜片"
precocious,"a. 早熟的, 像大人的
"
spinal,"a. 针的, 尖刺的, 尖刺状突起的, 脊骨的
"
abrasive,"n. 研磨料
a. 有研磨作用的"
aggrieved,"a. 受委屈的, 权利受到不法侵害的"
alluring,"a. 吸引人的, 诱人的, 迷人的"
ambivalent,"a. 矛盾的, 模棱两可的
"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
avid,"a. 渴望的, 急切的, 劲头十足的"
breathtaking,"a. 惊人的, 惊险的"
buoyant,"a. 有浮力的, 心情愉快的
"
distraught,"a. 烦恼的, 心烦意乱的, 发狂的"
evocative,"a. 唤出...的, 唤起...的"
exuberant,"a. 繁茂的, 丰富的, 生气勃勃的
"
fervent,"a. 热的, 炎热的, 热心的"
giddy,"a. 眼花的, 头晕的
v. (使)眼花, (使)眩晕"
glum,"a. 愁闷的, 阴沉的"
grudging,"a. 不愿的, 勉强的"
harrowing,"a. 痛心的, 悲惨的
"
heady,"a. 顽固的, 任性的, 性急的, 猛烈的"
hilarious,"a. 喜不自禁的, 欢闹的, 引人发笑的"
humiliating,"a. 丢脸的, 耻辱的, 羞愧的"
jubilant,"a. 欢呼的, 喜洋洋的"
morbid,"a. 致病的, 病态的, 疾病的, 可怕的
"
obnoxious,"a. 可憎的, 使人不愉快的, 令人讨厌的"
poignant,"a. 辛酸的, 尖锐的, 剧烈的"
poised,"a. 平衡的, 均衡的, [表]作好准备的, (褒)沉着的, 泰然自若的, 自信的"
raucous,"a. 沙哑的, 粗声的, 喧闹的"
rueful,"a. 悲伤的, 后悔的, 可怜的"
sardonic,"a. 嘲笑的, 冷笑的, 讥讽的
"
seductive,"a. 诱惑的, 引人注意的, 有魅力的"
somber,"a. 昏暗的, 阴天的, 严峻的, 忧郁的"
strident,"a. 刺耳的, 吱吱尖叫的, 尖锐的, 刺眼的
"
tacit,"a. 沉默寡言的, 不苟言笑的, 缄默的"
tantalizing,"a. 逗引性的, 干着急的"
taut,"a. 拉紧的, 整洁的, 紧张的"
vigilant,"a. 警觉的, 警戒的, 警惕的
"
adrift,"adv. 漂流地, 漂浮着, 随波逐流地
a. 漂浮着的"
austere,"a. 严峻的, 禁欲的, 简朴的"
baggy,"a. 袋状的, 松垂的"
barbed,a. 有倒刺的
blatant,"a. 喧嚣的, 吵闹的, 俗丽的, 炫耀的"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
charred,v. 把…烧成炭( char的过去式); 烧焦
clandestine,"a. 偷偷摸摸的
"
culinary,"a. 厨房的, 烹调用的"
destitute,"a. 穷困的, 缺乏的"
discretionary,[计] 选择的
drab,"a. 土褐色的, 单调的"
ethereal,"a. 轻的, 飘渺的, 天上的
"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
flimsy,"a. 易坏的, 脆弱的, 浅薄的
n. 易损坏的东西(或材料), 薄纸, 描图用薄纸, 薄纸稿纸"
fluorescent,"n. 荧光
a. 荧光的"
grandiose,"a. 宏伟的, 壮丽的, 夸张的
"
idiosyncratic,"a. 特质的, 异质的, 特殊的
"
idyllic,"a. 田园诗的, 牧歌的, 悠闲的"
impeccable,"a. 无懈可击的, 勿容置疑的, 无瑕疵的, 不会做坏事的"
impoverished,"a. 穷困的, 无力的,用尽了的"
indelible,"a. 难以消除的, 不能拭除的, 难忘的"
jagged,"a. 锯齿状的
"
murky,"a. 黝暗的, 阴沉的, 朦胧的"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
palatable,"a. 美味的, 好吃的, 可口的
"
palpable,"a. 可感知的, 明显的, 触摸得到的
"
plush,"n. 长毛绒, 长毛绒裤
a. 长毛绒制的, 豪华的"
posh,"a. 豪华的, 漂亮的, 优雅的, 极好的
interj. 呸"
pristine,"a. 太古的, 原来的, 古时的, 原始的"
pseudo,"a. 假的, 冒充的"
resonant,"a. 共鸣的, 反响的, 洪亮的, 共振的
"
seedy,"a. 多种子的, 结籽的, 破烂的, 肮脏的"
shoddy,"a. 用长弹毛做的, 以次充好的
n. 长弹毛, 软再生毛, 赝品"
sleazy,"a. 质地薄的, 没有内容的, 低级庸俗的"
sleek,"a. 光滑的, 油嘴滑舌的, 线条明快的, 圆滑的, 时髦的
vt. 使光滑, 掩盖
vi. 打扮漂亮, 滑动"
stagnant,"a. 不流动的, 停滞的, 不景气的, 萧条的, 污浊的, 迟钝的
"
stricken,"a. 受打击的, 负了伤的, 衰老的, 受灾的
strike的过去分词"
supple,"a. 柔软的, 逢迎的, 顺从的
vt. 使柔软, 使顺从"
tangled,"a. 纠缠的, 紊乱的
"
tawdry,"a. 廉价而俗丽的
n. 廉价而俗丽之物"
terse,"a. 简洁的, 扼要的"
tumultuous,"a. 吵闹的, 纷乱的, 骚乱的
"
abiding,"a. 永久的, 持久的, 不变的"
defunct,"a. 死的, 不能使用的
n. 死者"
demographic,"a. 人口统计的
"
fledgling,"n. 羽毛初长的雏鸟, 刚会飞的幼鸟, 无经验的人"
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
impromptu,"n. 即席演出, 即兴曲
a. 即席的
adv. 即席"
leisurely,"a. 悠闲的, 从容的
adv. 从容地, 悠闲地"
makeshift,"n. 权宜之计, 临时代用品
a. 权宜的, 临时代用的"
mounting,"n. 装备, 衬托纸, 舞台效果, 上马
"
ominous,"a. 恶兆的, 不吉利的, 预兆的"
resilient,"a. 弹回的, 有弹力的
"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
astute,"a. 敏锐的, 狡猾的"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
brash,"a. 性急的, 仓促的, 无礼的, 傲慢的
n. 胃灼热, 骤雨, 碎石堆"
bullish,"a. 似公牛的, 看涨的, 上扬的
"
canny,"a. 精明的, 谨慎的, 节约的"
coy,"a. 腼腆的, 怕羞的, 羞怯的"
curt,"a. 简略的, 简短的, 生硬的"
disgruntled,"a. 不满意的, 满腹牢骚的, 不高兴的"
dogged,"a. 顽固的, 顽强的"
dour,"a. 阴沉的, 严厉的, 顽强的"
fickle,"a. 变幻无常的, 浮燥的, 薄情的"
forthright,"adv. 直率地, 直接地, 马上, 立即
a. 直接的, 直率的, 坦白的
n. 直路"
fraternal,"a. 兄弟的, 兄弟似的, 友爱的"
glib,"a. 能说善道的, 流畅的"
gregarious,"a. 社交的, 群居的"
hapless,"a. 倒霉的, 不幸的"
implacable,"a. 不能安抚的, 难和解的, 不变的"
inept,"a. 不适当的, 不理智的, 笨拙的
"
insatiable,"a. 不知足的, 贪求无厌的
"
intrepid,"a. 无畏的, 勇猛的"
introspective,"a. 内省的
"
nimble,"a. 敏捷的, 伶俐的, 聪明的"
obsessive,a. 着迷的
perky,"a. 得意洋洋的, 快活的, 敏捷的, 美观的, 傲慢的, 神气的"
sanguine,"a. 血红色的, 满怀希望的, 乐观的
n. 血红色, 红粉笔
vt. 用血沾污, 血染"
scrupulous,"a. 小心谨慎的, 细心的"
sordid,"a. 肮脏的, 贪婪的, 卑鄙的, 恶劣的, 暗淡的
"
tenacious,"a. 紧握的, 固执的, 不屈不挠的, 黏着力强的
"
touchy,"a. 易怒的, 难以取悦的, 过于敏感的"
upbeat,"n. 弱拍, 上升, 兴旺
a. 上升的, 乐观的"
whimsical,"a. 怪念头多的, 反复无常的, 古怪的, 异想天开的"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
belligerent,"a. 好战的, 交战的, 交战国的
"
concerted,"a. 商定的, 协定的, 一致的
"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
cumbersome,"a. 笨重的, 麻烦的, 累赘的"
evasive,"a. 逃避的, 回避的, 托辞的
"
forensic,"a. 辩论的, 法院的, 关于法庭的
n. 辩论练习"
fraudulent,"a. 欺诈的, 不正的, 不诚实的
"
insolvent,"a. 无力偿还的, 破产的
n. 无力偿还者, 破产者"
null,"a. 无效力的, 无效的, 无价值的
n. 零, 空, 零位
"
patrician,"n. 贵族, 有教养的人
a. 贵族的, 显贵的"
proprietary,"a. 所有者的, 所有权的, 私有的
n. 所有者, 业主, 所有权"
punitive,"a. 刑罚的, 惩罚性的
"
reactionary,"n. 反动分子
a. 反动的, 反动主义的, 反对改革的"
regal,"a. 帝王的, 适于帝王的"
sexist,n. 性别歧视者
stringent,"a. 迫切的, 严厉的, 银根紧的
"
subversive,"a. 从事颠覆的, 破坏性的
n. 破坏分子, 颠覆分子"
ablaze,"a. 着火的, 闪亮的, 激昂的
adv. 着火, 闪耀"
arid,"a. 干燥的, 不毛的"
corrosive,"a. 腐蚀的, 腐蚀性的, 有害的
n. 腐蚀物, 腐蚀剂"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
infrared,"a. 红外线的
n. 红外线"
lush,"a. 苍翠繁茂的, 多青草的, 丰富的
n. 酒, 酒鬼
v. 饮"
mutant,"n. 突变体
"
predatory,"a. 掠夺成性的, 捕食生物的, 掠夺的
"
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
seismic,a. 地震的
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
daunting,a. 使人畏缩的
downright,"a. 明白的, 率直的, 十足的
adv. 全然, 彻底, 完全"
glowing,"a. 白热的, 灼热的, 通红的, 鲜艳的
"
inexorable,"a. 无情的, 冷酷的"
lurid,"a. 火烧似的, 苍白的, 华丽的, 可怕的"
motley,"a. 杂色的, 穿杂色衣的, 杂乱的, 混杂的
n. 杂色, 杂色衣服, 混杂, 小丑"
overblown,"a. 停息的, 盛开过的, 浮夸的
overblow的过去分词"
overriding,"[医] [骨折端]重迭, 架迭"
pleading,"n. 辩论, 恳请, 答辩, 诉讼手续, 诉状
a. 恳求的"
prodigious,"a. 庞大的, 惊人的, 异常的"
rife,"a. 流行的, 盛传的, 充满的"
seminal,"a. 精液的, 种子的, 生殖的
"
sizable,"a. 相当大的, 大小相当的"
stellar,"a. 星的, 似星的, 星球的, 主要的"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
sweeping,"n. 扫除, 垃圾
a. 扫荡的, 彻底的, 广泛的"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
"
veritable,"a. 名副其实的, 真实的, 确实的, 真的"
anew,"adv. 重新, 再"
amply,"adv. 充足地, 充裕地"
overly,"adv. 过度地, 极度地"
artifice,"n. 诡计, 技巧, 巧妙"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
bile,"n. 胆汁, 坏脾气, 暴躁
"
sultan,n. 苏丹(某些伊斯兰国家统治者的称号)
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
lesion,"n. 损害, 身体上的伤害
"
due to ...,"由于, 应归于"
accede,"vi. 同意, 正式加入, 就任, 继任"
duchy,"n. 公爵领地, 公国, 直辖领地"
arbitration,"n. 仲裁, 公断
"
allay,"vt. 使平静, 使缓和"
hemorrhage,"n. 出血
"
amalgamate,"v. 使汞齐化, 合并"
confederation,"n. 同盟, 联盟, 组织联盟"
incursion,"n. 侵入, 侵略, 奇袭"
annihilate,"vt. 消灭, 废止"
annexation,"n. 合并, 附加, 附加物
"
municipality,"n. 自治区, 市当局, 市民
"
augment,"v. 增加, 增长
"
destitution,"n. 穷困, 贫穷, 缺乏"
beget,"vt. 为某人之生父, 招致, 产生, 引起"
iniquity,"n. 不公正, 不公正行为"
decorum,"n. 端正, 礼貌, 合宜, 礼仪"
belie,"vt. 掩饰, 与...不符, 使失望"
quay,"n. 码头, 驳岸
"
billow,"n. 巨浪
vi. 象巨浪般汹涌, 象巨浪般波动
vt. 使翻腾"
capricious,"a. 反复无常的, 多变的, 任性的"
bode,"v. 预示
bide的过去式"
auspicious,"a. 吉兆的, 幸运的"
Mt. ...,"abbr. 山
"
subversion,"n. 颠覆, 打倒, 破坏
"
cleave,"vt. 劈开, 分开
vi. 劈开, 分开, 粘着, 依恋"
iris,"n. 虹膜, 鸢尾属植物, 虹, 虹彩
"
constrict,"vt. 压缩, 束紧, 使收缩
vi. 收缩"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
keel,"n. 龙骨, 平底船
vt. 装以龙骨, 使倾覆
vi. 倾覆"
dinghy,"n. 小船, 橡皮筏, 小艇"
decentralize,"vt. 使分散, 下放(权力), 疏散(人口)
"
environs,"n. 市郊, 郊外"
insecticide,"n. 杀虫剂
"
decimate,"vt. 每十人杀一人, 大批杀害"
detrimental,a. 有害的
noxious,"a. 有害的, 有毒的, 使道德败坏的
"
garish,"a. 穿着花哨的, 炫耀的, 过分装饰的"
detract,"vi. 减去, 贬低
vt. 转移, 分散"
amphitheater,"n. 圆形剧场, 竞技场, 梯形看台"
arsenic,"n. 砷, 砒霜
"
dilate,"vi. 扩大, 详述, 膨胀
vt. 使膨胀"
a blood vessel,无
sorcerer,"n. 男巫士, 魔术师
"
wand,"n. 棒, 棍, 杖"
leaden,"a. 铅制的, 呆滞的, 铅灰色的, 沉闷的
"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
dribble,"vi. 流口水, 滴下
vt. 使滴下, 运球
n. 点滴, 口水, 少量"
trough,"n. 槽, 水槽, 饲料槽
"
tenement,"n. 房屋, 住房, 保有物, 居所
"
vantage,"n. 优势, 有利情况"
drizzle,"n. 细雨
v. 下毛毛雨"
armistice,"n. 休战, 停战
"
emancipate,"vt. 释放, 解放"
deforestation,"n. 采伐森林, 森林开伐
"
encroach,"vi. 侵犯, 侵蚀, 蚕食
"
periphery,"n. 外围, 边缘地区, 圆周
"
depletion,"n. 消耗, 耗尽, 放血
"
engender,"vt. 产生, 引起
vi. 发生, 形成"
the ozone layer,[网络] 大气臭氧；年夜气臭氧
squalid,"a. 污秽的, 肮脏的, 悲惨的, 可怜的, 卑劣的"
stubble,"n. 残株, 茬"
epitomize,"vt. 摘要, 概括"
vagabond,"n. 流浪者, 浪子, 流氓
vi. 到处流浪
a. 流浪的, 漂泊的, 浪荡的, 流浪者的"
exude,"v. (使)流出, (使)渗出"
stench,"n. 恶臭, 臭气
v. (使)发恶臭"
precipitation,"n. 坠落, 沉淀, 降水, 轻率, 急速, 猛冲, 突如其来
"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
forfeit,"n. 没收物, 罚金, 丧失
vt. 没收, 丧失
a. 丧失了的"
breadwinner,n. 负担家计的人
lose one's life,"na. 死；丢了性命
"
orchid,"n. 兰花, 淡紫色
"
