evict,"vt. 逐出, 赶出, 驱逐
"
obligate,"vt. 使负义务, 强使, 使感激, 施恩惠于
a. 有责任的, 必须的"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
radiance,"n. 光辉, 发光, 容光焕发
"
quip,"n. 妙语, 遁辞, 讽刺
v. 说讽刺话, 嘲弄"
slogan,"n. 呐喊声, 标语, 口号"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
characterize,"vt. 描绘...的特性, 刻划...的性格"
alacrity,"n. 敏捷, 轻快, 乐意"
caricature,"n. 讽刺画, 漫画, 漫画手法
vt. 画成漫画讽刺"
indebted,"a. 负债的, 受惠的
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
potion,"n. 饮剂, 饮料, 一次饮用量, 一服, 一剂
"
commodious,"a. 宽敞的, 方便的"
interrogate,"vt. 质问, 讯问, 审问
vi. 质问, 讯问"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
dearth,"n. 缺乏, 粮食不足, 饥馑"
elevated,a. 提高的
version,"n. 一种描述, 版本, 译文
"
aberration,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差
"
provoke,"vt. 激怒, 惹起, 诱导
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
symmetry,"n. 对称, 匀称
"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
wrangle,"vi. 争论, 口角
vt. 辩驳, 放牧
n. 口角, 吵嘴"
ethnic,"a. 人种的, 种族的
"
destination,"n. 目的地, 目标, 目的
"
insensible,"a. 不知的, 昏迷的, 无知觉的, 冷淡的
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
cadence,"n. 韵律, 抑扬, 调子, 节奏
"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
nominee,"n. 被提名者, 被任命者
"
pollute,"vt. 污染, 弄脏, 玷污
"
brooch,"n. 胸针, 领针"
imperceptive,"a. 无感觉的, 无知觉能力的"
illegible,"a. 难辨认的, 字迹模糊的"
landmark,"n. 陆标, 划时代的事, 地界标
"
gustatory,"a. 尝味的, 味觉的
"
expository,"a. 说明的, 解释的"
detached,"a. 超然的, 分离的, 冷淡的
"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
invasive,"a. 侵入的, 侵略性的, 攻击性的"
impassable,"a. 不能通行的, 不可逾越的
"
mourn,"v. 哀悼, 忧伤, 服丧"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
demur,"vi. 提出异议, 反对, 抗辩
n. 异议, 反对"
emblem,"n. 象征, 徽章, 符号
vt. 用象征表示"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
sophisticated,"a. 复杂的, 久经世故的
"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
distinction,n. 区别
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
overrun,"n. 蔓延, 风行一时, 超过限度
vt. 蔓延, 蹂躏, 超过, 泛滥
vi. 泛滥, 超载限度
"
euphemism,"n. 委婉说法, 委婉语"
evoke,"vt. 唤起, 引起, 召(魂)
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
technology,"n. 技术, 工业技术, 术语
"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
exhausted,a. 耗尽的；疲惫的
delegate,"n. 代表
vt. 委派...为代表"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
effusion,"n. 流出物, 泻出
"
rightful,"a. 合法的, 正直的, 恰当的
"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
blithe,"a. 愉快的, 高兴的"
lucrative,"a. 有利益的, 获利的, 合算的"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
dismissal,"n. 免职, 解雇
"
comparison,"n. 比较, 对照, 比喻
"
blatant,"a. 喧嚣的, 吵闹的, 俗丽的, 炫耀的"
boisterous,"a. 猛烈的, 喧闹的, 狂暴的"
homogeneous,"a. 同种的, 同质的, 齐性的
"
belie,"vt. 掩饰, 与...不符, 使失望"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
proverb,"n. 谚语, 格言, 箴言
vt. 使众所周知, 用谚语表达"
sturdy,"a. 强健的, 健全的
"
felicity,"n. 快乐, 幸福, 幸运"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
abject,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
"
diagnosis,"n. 诊断
"
cohesive,"a. 黏合在一起的
"
gratify,vt. 使满足
gall,"n. 胆汁, 五倍子, 苦味, 肿痛, 恼怒, 磨损处
vt. 烦恼, 屈辱, 磨伤
vi. 被磨伤"
captious,"a. 吹毛求疵的, 挑剔的"
aristocracy,"n. 贵族, 上层社会, 知识界杰出分子
"
reassure,"vt. 使...安心, 向...再保证
"
readjust,"vt. 重新调整, 再调整
"
canny,"a. 精明的, 谨慎的, 节约的"
calumny,"n. 诽谤, 中伤
"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
drought,"n. 干旱, 缺乏"
sentimental,"a. 感伤的, 感情用事的"
expend,"vt. 花费, 消耗, 用光"
consensus,"n. 合意, 一致, 同感
"
quarterly,"a. 季度的, 按季度的, 每季的
adv. 按季, 每三个月, 每季一次
n. 季刊"
emancipation,"n. 释放, 解放
"
insulate,"vt. 使绝缘, 隔离
"
academy,"n. 学院, 院校, 学会"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
intrinsic,"a. 本质的, 原有的, 真正的
"
altercation,"n. 争论, 争吵"
solvent,"n. 溶剂
a. 有偿付能力的, 有溶解力的"
drainage,"n. 排水
"
lifelong,"a. 终身的, 毕生的"
assess,"vt. 估定, 对...征税, 评定
"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
beatific,"a. 至福的, 赐福的, 极乐的"
facilitate,"vt. 使容易, 促进, 帮助
"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
malevolent,"a. 有恶意的, 坏心肠的"
clarity,"n. 清楚, 明晰
"
immediate,"a. 立即的, 直接的, 接近的
"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
annuity,"n. 年金, 年金保险, 年金领受权
"
teem,"vi. 充满, 充足, 倾注
vt. 倒出"
deteriorate,v. (使)恶化
abscond,"vi. 潜逃, 逃匿
"
privacy,"n. 隐私, 隐居, 秘密
"
coagulate,"v. (使)凝结
a. 凝结的"
decry,"vt. 反对, 责难, 诽谤, 诋毁"
juridical,"a. 裁判上的, 司法上的, 法院的
"
aloof,"a. 远离的, 冷淡的
adv. 远离, 冷漠超然地"
nude,"a. 裸的, 肉色的, 无装饰的
n. 裸体画, 裸体"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
morale,"n. 士气, 道德"
bountiful,"a. 慷慨的, 宽大的"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
austerity,"n. 朴素, 苦行, 严格, 严峻"
carnal,"a. 肉体的, 肉欲的
"
harrowing,"a. 痛心的, 悲惨的
"
gauche,"a. 缺乏社经验的, 笨拙的, 粗鲁的, 无礼的, 偏转的"
dispatch,"vt. 派遣
n. 派遣, 急件
"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
meddlesome,"a. 爱管闲事的, 好干涉的"
impoverished,"a. 穷困的, 无力的,用尽了的"
savory,"a. 风味极佳的, 可口的, 味香的
n. 开胃菜"
antagonistic,"a. 对抗的, 敌对的
"
credible,"a. 可信的, 可靠的
"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
dramatic,"a. 戏剧性的, 生动的"
ornamental,"n. 装饰物, 观赏植物
a. 装饰性的, 装饰的, 观赏用的"
superintendent,"n. 监督人, 主管人, 主日学校校长
"
parentage,"n. 出身, 血统, 门第, 起源
"
emotion,"n. 情绪, 激动, 强烈的情感
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
deceive,"v. 欺骗, 行骗"
recollect,"vt. 回忆, 回想, 忆起
vi. 回忆"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
unfavorable,"a. 不宜的, 不顺利的, 反对的
"
abet,"vt. 教唆, 煽动, 怂恿, 帮助, 支持"
tremendous,"a. 巨大的, 非常的, 可怕的"
bulwark,"n. 保障, 壁垒, 防波堤"
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
ken,"n. 视野范围, 知识范围, 见地"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
copious,"a. 很多的, 丰富的, 内容丰富的"
chimerical,a. 空想的
desolate,a. 荒凉的
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
antedate,"vt. 先于, 前于
"
antiquate,"vt. 使古旧, 废弃"
diaphanous,"a. 透明的, 轻柔的"
variant,"n. 变体, 异体
a. 不同的, 有差别的
"
symphony,"n. 交响乐, 交响曲"
archaic,"a. 古体的, 过时的, 古老的, 古代的
"
domain,"n. 领域, 领土, 产业, 范围
"
persecution,"n. 虐待, 迫害运动, 迫害, 烦扰
"
synthesis,"n. 综合, 组织, 综合体
"
retract,"v. 缩回, 收回, 取消, 撤消"
well-wisher,n. 祝福者
discern,"v. 辨别, 看清楚, 了解"
collective,"a. 集体的, 聚集的, 共同的
"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
chasm,"n. 陷窟, 裂口"
colloquial,"a. 会话的, 口语的, 口语体的"
injurious,"a. 有害的, 不公正的
"
mansion,"n. 大厦, 宅邸"
baleful,"a. 有害的, 恶意的"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
proficiency,"n. 精通, 熟练, 精练"
annals,"n. 编年史, 活动年报, 历史"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
fervor,"n. 热情, 热心, 炽热"
controversial,"a. 争论的, 论争的, 被议论的"
caucus,"n. 领导人会议, 核心会议
vi. 开核心会议"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
zest,"n. 兴趣, 热情, 风味, 热心
vt. 给...调味"
eloquence,"n. 口才, 雄辩术, 雄辩
"
arbiter,"n. 仲裁人, 裁决者, 公断人
"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
coy,"a. 腼腆的, 怕羞的, 羞怯的"
subsidize,"vt. 补助, 资助, 贿赂
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
vacuity,"n. 空虚, 空白, 愚蠢, 茫然若失, 无意义的事"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
deportment,"n. 行为, 举止"
agape,"a. 张口发呆的, 目瞪口呆的
adv. 张口发呆地, 目瞪口呆地"
exclusive,"a. 排外的, 独占的, 唯一的
"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
autobiography,n. 自传
wretch,"n. 可怜的人, 卑鄙的人, 家伙"
apparatus,"n. 装置, 器具, 器官
"
irritable,"a. 易怒的, 急躁的
"
practicable,"a. 可实行的, 可做的, 可用的"
productive,"a. 能生产的, 有生产价值的, 多产的
"
aboriginal,"a. 原始的, 土著的
n. 土著居民, 土生生物"
complaint,"n. 诉苦, 抱怨, 控诉
"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
antecede,"vt. 在...之前, 居...之先"
ceremonious,"a. 讲究仪式的, 隆重的"
calculable,"a. 可计算的, 可信赖的, 可靠的"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
ambush,"n. 埋伏, 伏兵, 伏击
vt. 埋伏, 伏击
vi. 埋伏"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
mainstream,n. 主流
scruple,"n. 踌躇, 犹豫, 微量
vi. 踌躇, 有顾忌"
premier,"n. 总理, 首相
a. 首位的, 最初的"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
elicit,"vt. 引出, 推导出, 引起"
propel,"vt. 推进, 驱使
"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
churlish,a. 粗野的
transfigure,"vt. 使变形, 使改观, 美化"
devious,"a. 偏僻的, 迂回的"
strident,"a. 刺耳的, 吱吱尖叫的, 尖锐的, 刺眼的
"
seep,"vi. 渗出, 渗流, 漏
n. 小泉, 水陆两用吉普车"
bent,"a. 弯曲的, 决心的
n. 爱好
bend的过去式和过去分词"
checkered,"a. 盛衰无常的, 多波折的, 有格子花的, 有...交错着的, 变化多端的
"
retentive,"a. 保持的, 有保持力的, 记性好的"
disenchant,vt. 使清醒
flabbergast,"vt. 使大吃一惊, 哑然失色"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
glamorous,"a. 富有魅力的, 迷人的"
inhospitable,"a. 冷淡的, 不适于居住的, 不相容的"
biography,n. 传记
inconsistent,"a. 不一致的, 易变的, 前后矛盾的
"
ruddy,"a. 红的, 红润的
v. (使)变红"
outlast,"vt. 比...长久, 从...中逃生"
audible,"a. 听得见的
"
cherish,"vt. 珍爱, 怀有, 爱护"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
playwright,n. 剧作家
fretful,"a. 烦燥的, 焦噪的, 起波纹的"
duration,"n. 持续时间, 持续
"
tribute,"n. 贡物, 礼物, 颂辞"
questionable,"a. 可疑的
"
tremulous,"a. 发抖的, 战栗的, 胆小的
"
proximity,"n. 接近, 亲近"
endanger,"vt. 危及
"
workmanlike,"a. 工作熟练的, 有技巧的, 精巧的"
ambulance,"n. 救护车
"
impartial,"a. 公平的, 不偏不倚的
"
indolence,"n. 怠惰, 无痛
"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
blandishment,"n. 甜言蜜语, 谄媚, 奉承"
negate,"vt. 否定, 否认, 取消
"
menacing,"a. 恐吓的, 威胁的
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
intentional,"a. 故意的, 与目的有关的
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intercept,"n. 截取, 妨碍, 截距
vt. 拦截, 阻止, 截取"
extrovert,"n. 外向性格的人
"
autopsy,"n. 验尸
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
legislator,"n. 立法者, 立法官, 立法委员
"
allotment,"n. 分配, 拨款, 命运
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
juncture,"n. 接合, 连接, 接缝"
simultaneous,"a. 同时的, 同时发生的
"
urgency,"n. 紧急, 催促
"
jargon,"n. 专门术语, 行话, 梦话, 土语
"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
ascetic,"n. 苦行者, 禁欲者, 修道者
a. 苦行的, 禁欲的"
vogue,"n. 时尚, 时髦, 流行
a. 流行的, 时髦的"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
vivacious,"a. 活泼的, 快活的, 多年生的"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
prosperity,"n. 繁荣, 茂盛, 成功
"
amiable,"a. 亲切的, 和蔼可亲的
"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
longevity,"n. 长命, 长寿, 寿命
"
donate,v. 捐赠
condone,"vt. 赦, 宽恕
"
abrogate,"vt. 废除, 取消
"
hospitable,"a. 好客的, 招待周到的"
artless,"a. 无虚饰的, 单纯的, 自然的"
ultimatum,"n. 最后通牒, 基本原理
"
literacy,"n. 读写能力, 识字, 精通文学"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
affected,"a. 假装的, 做作的, 受影响的"
endurable,"a. 可忍受的, 能忍耐的"
interpreter,"n. 直译程序, 解释者, 口译者, 注释器
"
catastrophe,"n. 大灾难, 大祸
"
assuage,"vt. 平息, 缓和, 减轻"
shuffle,"n. 拖着脚走, 曳步, 混乱, 蒙混, 洗纸牌
v. 拖曳, 马虎地做, 笨手笨脚地穿(脱)衣, 推诿, 洗牌
"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
brevity,"n. 短暂, 简短"
enthusiast,"n. 热心家, 狂热者, 爱好者"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
refugee,"n. 难民, 流亡者
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
credence,"n. 信任, 祭器台, 供桌, 凭证
"
betrothal,"n. 婚约
"
complication,"n. 复杂化, 复杂情况
"
cataract,"n. 大瀑布, 奔流, 暴雨, 白内障
"
recitation,"n. 详述, 吟诵, 背诵的诗
"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
abjure,"vt. 发誓断绝, 公开放弃
"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
annotate,"v. 作注解, 注释
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
buffoonery,"n. 打诨, 滑稽"
absorption,"n. 吸收, 专心, 全神贯注
"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
tedious,"a. 沉闷的, 冗长乏味的"
belittle,"vt. 轻视, 贬低"
peccant,"a. 有罪的, 犯罪的, 违章的, 犯规的, 病态的, 致病的
"
mechanical,"a. 机械的, 机械性的, 力学的
"
foggy,"a. 雾深的, 模糊的"
circumspect,"a. 细心的, 慎重的"
circumference,"n. 圆周, 周缘, 胸围
"
ciliate,"a. 有睫的, 有纤毛的
n. 纤毛纲的动物, 纤毛虫"
circumscribe,"vt. 在...周围画线, 限制"
despicable,"a. 可鄙的, 卑劣的"
community,"n. 社区, 公众, 共有, 共同体
"
outright,"a. 率直的, 完全的, 总共的, 直率的
adv. 完全地, 率直地, 立刻地, 一直向前"
shriek,"n. 尖锐的响声
vi. 尖叫, 发尖声
vt. 尖声发出"
clothier,"n. 布商, 衣商"
crotchety,"a. 有怪想的, 反复无常的, 想入非非的"
rig,"n. 装备, 帆装
vt. 装配, 装扮, 给船装帆, 垄断, 操纵"
limber,"a. 柔软的, 敏捷的, 富于弹性的
vt. 使柔软
vi. 做准备活动"
decimate,"vt. 每十人杀一人, 大批杀害"
dilapidated,"a. 破坏的；荒废的, 要塌似的"
regressive,"a. 后退的, 退化的, 回归的
"
unfathomable,"a. 莫测高深的, 深不可测的, 无底的"
digress,"vi. 走向岔道, 离题, 扯到枝节上"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
seclusion,"n. 隔离, 隐退"
bilk,"vt. 欺骗, 赖帐, 使受挫折
n. 赖帐者, 骗子"
resent,"vt. 愤恨, 憎恶, 怨恨"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
alleged,"a. 被断言的, 所谓的
"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
beleaguer,"vt. 围, 围攻"
forebode,"v. 预示, 预兆, 预感"
resumption,"n. 取回, 恢复, 再开始
"
peddle,"vi. 挑卖, 沿街叫卖, 游荡, 闲混
vt. 叫卖, 兜售, 散播"
acrid,"a. 苦味的, 辛辣的, 讥讽的, 刻薄的
"
veto,"n. 否决权
vt. 否决, 禁止"
avow,"vt. 坦率承认, 断言
"
delude,"vt. 迷惑, 蛊惑"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
statement,"n. 陈述, 指令, 声明
"
invasion,"n. 侵犯, 侵入, 侵害
"
refusal,"n. 拒绝, 推却, 优先决定权
"
accustomed,"a. 惯常的, 习惯了的"
arbitrate,"vt. 仲裁, 公断
vi. 进行仲裁"
predetermine,"vt. 预先决定, 预先查明
"
preferable,"a. 更可取的, 更好的, 更合意的"
