coda,"n. 尾音, 乐章结尾部, 结尾段"
caterwaul,"n. 猫叫春声, 象猫叫春的声音
vi. 叫春, (象猫一样)号叫"
resourceful,"a. 资源丰富的, 策略的, 机智的
"
baleful,"a. 有害的, 恶意的"
fateful,"a. 宿命的, 重大的, 决定性的"
fanciful,"a. 奇怪的, 稀奇的, 想像的"
willful,"a. 任性的, 故意的, 有意的"
mournful,"a. 悲恸的, 悲哀的, 令人惋惜的"
fretful,"a. 烦燥的, 焦噪的, 起波纹的"
fitful,"a. 断断续续的, 一阵阵的, 间歇的"
wistful,"a. 渴望的, 想望的"
playful,"a. 爱打趣的, 多趣的, 开玩笑的, 嬉戏的"
annul,"vt. 废除, 宣告无效, 取消
"
scrawl,"vt. 潦草地写
vi. 乱写
n. 潦草的笔迹"
drawl,"v. 慢吞吞地说, 故意拉长调子讲话
n. 慢吞吞拉长调子的说话方式"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
scowl,"n. 愁容, 阴沉脸色
vi. 皱眉, 绷着脸
vt. 怒视"
prowl,"n. 潜行, 徘徊, 悄悄踱步
vi. 潜行以觅食, 徘徊
vt. 徘徊"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
ream,"n. 令, 大量
vt. 扩(孔), 榨取, 挖"
sham,"n. 假, 赝品, 骗子, 哄骗
a. 假的, 伪造的
vt. 假装, 冒充
vi. 装假"
epigram,"n. 警句, 讽刺短诗"
redeem,"vt. 赎回, 挽回, 恢复, 偿还, 补偿
"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
stratagem,"n. 策略, 计谋"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
interim,"a. 暂时的, 临时的, 间歇的
n. 过渡时期"
verbatim,"a. 逐字的, 照字面的
adv. 逐字地"
vim,"n. 精力；活力；力量
"
balm,"n. 镇痛软膏, 香膏
"
qualm,"n. 晕眩, 不安, 疑虑
"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
fathom,"n. 英寻(长度单位,合6英尺)
vt. 测量深度, 看穿, 彻底了解
vi. 测深"
venom,"n. 毒液, 恶意
vt. 放毒, 使有毒"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
maelstrom,"n. 大漩涡, 极度混乱"
accustom,vt. 使习惯于
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
affirm,"v. 断言, 确认"
infirm,"a. 弱的, 虚弱的, 柔弱的
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
sarcasm,"n. 挖苦, 讽刺, 讽刺话, 讽刺性"
chasm,"n. 陷窟, 裂口"
syllogism,"n. 三段论, 推论, 演绎
"
schism,"n. 分裂, 分立, 分裂教会罪
"
sophism,n. 诡辩
teetotalism,n. 绝对戒酒主义
euphemism,"n. 委婉说法, 委婉语"
sectarianism,n. 宗派主义；教派意识
hedonism,"n. 快乐论, 享乐主义
"
anachronism,"n. 时代错误, 不合潮流的人(物)
"
aphorism,"n. 格言, 警语"
favoritism,"n. 偏爱, 偏袒"
truism,"n. 自明之理, 众所周知, 老生常谈
"
altruism,"n. 利他主义, 利他"
cronyism,n. 任人唯亲
paroxysm,"n. 发作, 突发
"
modicum,n. 少量
compendium,"n. 纲要, 概略
"
odium,"n. 憎恶, 讨厌, 臭名"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
encomium,"n. 赞辞, 称赞, 赞美"
pandemonium,"n. 魔窟, 地狱, 阎王殿, 无法无天, 一片混乱, 大混乱, 大吵大闹, 乌烟瘴气"
equilibrium,"n. 平衡, 平静, 均衡
"
delirium,"n. 精神错乱, 说谵语状态, 狂热
"
moratorium,"n. 延期偿付, 暂停
"
effluvium,"n. 臭气, 恶臭, 废料
"
asylum,"n. 庇护, 收容所
"
interregnum,"n. 空位期间, 过渡期, 中断"
humdrum,"a. 平凡的, 单调的, 令人厌烦的
n. 平凡, 单调, 无聊
vi. 单调令味地进行"
conundrum,"n. 谜语, 难题"
spectrum,"n. 光谱, 范围, 系列
"
tantrum,"n. 发脾气, 发怒
"
momentum,"n. 动力, 动量
"
pseudonym,"n. 假名, 笔名
"
paean,"n. 凯歌, 欢乐歌, 赞美歌"
glean,"v. 拾落穗, 收集"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
protean,"a. 千变万化的, 变化不定的, (海神)普罗透斯的
"
patrician,"n. 贵族, 有教养的人
a. 贵族的, 显贵的"
quotidian,"a. 每日的, 每日发作的, 司空见惯的, 平凡的
n. 日发热"
guardian,"n. 看守者, 监护人, 保护人
a. 保护的"
plebeian,"n. 平民, 庶民, 大众, 平庸的人
a. 平民的, 一般的, 普通的, 粗俗的"
stygian,"a. 冥河的, 阴森森的, 幽暗的, 不可侵犯的, 不可违背的"
bohemian,"n. 波希米亚人, 波希米亚语, 放浪者
a. 波希米亚人的, 放浪的, 波希米亚语的"
draconian,"a. 严厉的, 残酷的"
sectarian,"a. 宗派的, 党派的, 偏狭的
n. 宗派成员, 闹宗派的人"
egalitarian,"a. 平等主义的
n. 平等主义"
stentorian,a. 声音洪亮的
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
antediluvian,"a. 大洪水前的, 陈旧的, 过时的
n. 大洪水以前的人, 老迈的人"
clan,"n. 氏族, 宗族, 集团
"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
deadpan,n. 无表情的脸
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
diocesan,"a. 主教管区的
n. 教区主教"
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
charlatan,"n. 庸医
"
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
spartan,"a. 斯巴达的, 斯巴达式的, 刚强的, 勇敢的, 好战的, 严峻的, 简朴的, 艰苦的
n. 斯巴达人, 勇士, 坚韧不拔的人"
gargantuan,"a. 巨大的, 庞大的"
wan,"a. 苍白的, 无血色的, 病态的, 暗淡的
v. (使)变苍白
"
sodden,"a. 浑身湿透的, 饱含的, (因沉湎于酒而)迷糊的
vt. 拿水浸, 使变呆
vi. 被浸湿"
embolden,"vt. 使大胆, 使有胆量"
beholden,"a. 负有义务的, 受惠的"
spleen,"n. 脾脏, 坏脾气, 怨恨
"
careen,"vt. 倾斜, 倾, (为了修理或清洁)使倾侧
n. 船的倾侧"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
preen,"vt. 用嘴整理, 打扮, 使得意
vi. 打扮漂亮, 感到得意"
ken,"n. 视野范围, 知识范围, 见地"
liken,"vt. 比喻, 比拟"
hearken,vi. 倾听
crestfallen,"a. 垂头丧气的, 意气沮丧的, 气馁的"
sullen,"a. 愠怒的, 沉闷的, 阴沉的"
regimen,"n. 养生法, 常规强化训练课, 体制, 情态
"
acumen,"n. 敏锐, 聪明"
ripen,"vt. 使成熟
vi. 成熟"
dampen,"vt. 弄湿, 使沮丧
vi. 变湿, 丧气"
barren,"a. 不育的, 贫瘠的
n. 荒地"
moth-eaten, 蛀坏了的
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
hearten,"vt. 使振作, 激励
vi. 振作"
dishearten,"vt. 使...气馁, 使...沮丧"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
hard-bitten,"顽固的,刚愎的"
leaven,"n. 酵母, 促使渐变的因素
vt. 使发酵, 渐变"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
maven,"n. 内行, 专家"
craven,"n. 懦夫, 怯懦者, 胆小鬼
a. 怯懦的, 畏缩的, 胆小的"
doyen,"n. 老资格, 首席, 老前辈
"
brazen,"a. 黄铜制的, 厚颜无耻的
vt. 厚脸皮地对待"
wizen,"vt.vi. (使)枯萎, (使)雕谢"
cozen,"v. 欺骗, 瞒"
condign,"a. (尤指惩罚)应得的, 适宜的"
deign,"vi. 屈尊
vt. 赐予"
feign,"vt. 假装, 装作
vi. 作假"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
benign,"a. 善良的, 良性的
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
consign,"vt. 交付, 储蓄, 委托, 寄存
"
impugn,"vt. 责难, 抨击, 攻击
"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
constrain,"vt. 强迫, 限制, 关押"
detain,"vt. 扣留, 扣押, 耽搁
"
pertain,"vi. 从属于, 关于, 涉及, 附属, 适合, 相称
"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
distain,"v. 使变色,弄脏,伤害名誉"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
maudlin,"a. 容易流泪的, 感伤的, 酒后伤感的
n. 伤感"
purloin,"v. 偷窃, 盗取"
grin,"n. 露齿笑
v. 露齿而笑"
chagrin,"n. 懊恼
vt. 使懊恼"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
condemn,"vt. 判刑, 责备, 谴责
"
hymn,"n. 赞美诗, 圣歌
v. 唱赞美歌"
don,"n. 西班牙贵族(或绅士), 先生, 阁下
vt. 穿上"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
curmudgeon,"n. 脾气坏的人, 吝啬鬼"
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
chameleon,"n. 美洲变色蜥蜴, 善变的人
"
paragon,"n. 杰出典范, 完人, 完美之物"
jargon,"n. 专门术语, 行话, 梦话, 土语
"
legion,"n. 军团, 军队, 众多的人"
rapscallion,"n. 流氓, 恶棍"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
clarion,"n. 尖音号角
a. 清澈响亮的"
revision,"n. 校订, 修正, 修订本, 修订版
"
convulsion,"n. 震动, 震撼, 动乱, 惊厥, 痉挛
"
apprehension,"n. 理解, 忧惧, 逮捕
"
misapprehension,"n. 误会, 误解
"
dissension,"n. 意见不合, 纠纷, 争吵
"
aspersion,"n. 诽谤, 中伤, 洒水
"
incursion,"n. 侵入, 侵略, 奇袭"
scission,"n. 切断, 分离, 分裂
"
profusion,"n. 大量, 慷慨, 挥霍, 充沛, 浪费"
delusion,"n. 迷惑, 欺瞒, 错觉
"
approbation,"n. 认可, 满意
"
nullification,"n. 无效, 废弃, 取消
"
ramification,"n. 分枝, 分叉, 枝状物, 支脉, 支流, 衍生物
"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
trepidation,"n. 恐惧, 惊惶, 忧虑
"
negation,"n. 否定, 反面, 不存在
"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
ratiocination,"n. 推理, 推论"
hallucination,"n. 幻觉, 幻想
"
machination,"n. 阴谋, 图谋, 策划
"
disinclination,"n. 不愿, 不感兴趣, 厌恶"
divination,"n. 占卜, 卜卦, 预测"
coronation,n. 加冕礼
consternation,"n. 惊愕, 恐怖, 惊惶失措"
preoccupation,"n. 抢先占据, 先人之见, 入神
"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
conflagration,"n. 大火灾, 大火, 冲突
"
deterioration,"n. 恶化, 衰退, 退化
"
ministration,"n. 牧师执职, 服侍, 援助"
sensation,"n. 感觉, 轰动
"
cessation,"n. 停止
"
affectation,"n. 假装, 做作, 矫情
"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
precipitation,"n. 坠落, 沉淀, 降水, 轻率, 急速, 猛冲, 突如其来
"
palpitation,"n. 悸动, 跳动, 心跳
"
incantation,n. 咒语
deportation,"n. 驱逐出境, 放逐
"
salutation,"n. 招呼, 寒喧, 问候"
privation,"n. 缺乏, 穷困"
deprivation,"n. 剥夺, 剥夺官职, 免职
"
faction,"n. 小派系, 内讧
"
infraction,"n. 违反, 侵害
"
predilection,"n. 嗜好, 偏爱"
valediction,"n. 告别, 告别辞"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
friction,"n. 摩擦, 摩擦治疗, 不和
"
conviction,"n. 定罪, 信服, 坚信
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
compunction,"n. 良心的责备, 后悔, 悔恨"
discretion,"n. 慎重, 辨别力, 考虑, 处理权
"
demolition,"n. 破坏, 毁坏, 撤销
"
volition,"n. 行使意志, 意志力, 决定"
apparition,"n. 鬼, 幽灵, 幻影"
disquisition,"n. 专题论文, 研究, 探讨"
supposition,"n. 想像, 推测, 推想
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
partition,"n. 分割, 隔离物, 隔墙, 财产分割
vt. 区分, 瓜分, 隔开, 分割
"
convention,"n. 大会, 协定, 惯例, 约定
"
commotion,"n. 骚动, 暴乱
"
inception,"n. 起初, 获得学位"
prescription,"n. 处方, 命令, 指定
"
retribution,"n. 报应, 惩罚, 报酬
"
prosecution,"n. 执行, 经营, 起诉"
circumlocution,n. 迂回的说法
restitution,"n. 归还, 偿还, 赔偿
"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
sermon,"n. 说教, 启示, 布道"
canon,"n. 教会法规, 圣典, 准则, 标准, 教士
"
boon,n. 恩惠
tycoon,"n. 企业界大亨, 将军
"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
lampoon,"n. 讽刺文
vt. 讽刺"
croon,"v. 低声歌唱, 低唱, 低吟
n. 低唱, 低吟, 轻哼"
oxymoron,"n. 矛盾修饰法, 逆喻"
jettison,"n. 投弃, 投弃货物
"
simpleton,"n. 笨蛋, 傻子"
glutton,"n. 暴食者, 酷爱...的人"
halcyon,"n. 神翠鸟, 翡翠鸟
a. 宁静的, 平稳的, 翡翠鸟的"
blazon,"vt. 装饰, 宣布
n. 纹章"
discern,"v. 辨别, 看清楚, 了解"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
timeworn,"a. 陈旧的, 老朽的"
careworn,a. 忧心忡忡的
shopworn,a. 陈旧的
adjourn,"vi. 休会, 换地方
vt. 使中止, 推迟"
spurn,"n. 踢开, 拒斥
vt. 踢开, 冷落, 践踏, 唾弃
vi. 藐视, 摒弃"
taciturn,"a. 沉默寡言的, 不太说话的, 无言的"
shun,"vt. 避开, 规避, 避免"
fawn,"n. 小鹿
vi. 摇尾乞怜, 奉承"
placebo,"n. (为死者所诵的)晚祷歌, 安慰剂, 安慰的话, 使人宽慰的事
"
fiasco,"n. 惨败, 大失败"
bravado,n. 虚张声势
crescendo,n. 声音渐强
vertigo,"n. 眩晕, 迷惘
"
embargo,"n. 封港令, 禁运
vt. 禁止出入港口, 禁运"
imbroglio,"n. 纷乱, 纠葛, 一团糟"
boo,"v. 嘘(某人), 喝倒彩
interj. 嘘"
typo,"n. 排印(或打字)错误, 印刷工, 排字工"
tyro,"n. 初学者, 生手, 新手"
virtuoso,n. 艺术品鉴赏家
veto,"n. 否决权
vt. 否决, 禁止"
madcap,"a. 鲁莽的, 冲动的
n. 鲁莽的人"
mishap,"n. 不幸之事, 灾祸, 恶运"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
kidnap,"vt. 绑架, 诱拐, 拐骗
"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
entrap,"vt. 骗入, 诱捕, 使陷入"
sap,"n. 树液, 体液, 活力, 坑道, 消弱, 警棍
vt. 使排出体液, 使伤元气, 使衰竭, 挖坑道逼近, 逐渐侵蚀
vi. 挖坑道, 消弱
"
wiretap,"v. 搭线窃听
n. 窃听"
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声
vi. 窥视, 出现, 吱吱叫
vt. 使隐约显现"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
sidestep,"n. 横跨的一步, 台阶
vt. 横跨一步躲避, 回避
vi. 回避问题, 躲避打击"
showmanship,"n. 安排演出的窍门, 吸引观众的窍门, 经营术, 招徕生意的手腕"
nip,"n. 捏, 夹, 寒冷, 尖刻话
vt. 捏, 夹, 钳, 剪断, 损伤, 冻伤, 一小口
vi. 夹, 捏, 刺骨, 快走, 一小口一小口地抿(酒)
"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
skimp,"vt. 少给, 克扣
vi. 吝啬
a. 少的, 不足的"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
scrimp,"vt. 过度缩减
vi. 力求节省
a. 不足的, 吝啬的"
primp,"v. 打扮, 装饰"
plump,"a. 圆胖的, 丰满的, 直接下落的, 直率的
vt. 突然放下, 支持, 使丰满, 使鼓起
vi. 扑通落下, 投票赞成, 变丰满, 鼓起
adv. 沉重地, 突然地, 直截了当地"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
coop,"n. 狭小空间, 鸡笼, 捕鱼篓
vt. 关进鸡舍, 监禁"
eavesdrop,"v. 偷听
n. 屋檐水, 偷听"
sop,"n. 面包片, 湿透的东西, 一滩(液体), 小贿赂, 懦夫
vt. 浸湿, 吸水, 贿赂
vi. 渗透, 湿透"
carp,"n. 鲤鱼
vi. 吹毛求疵, 挑剔"
warp,"n. 变形, 弯曲, 歪曲, 乖僻, 偏差, 偏见
vt. 使变形, 弄歪, 使翘曲, 使不正常, 歪曲, 使有偏见
vi. 变弯, 变歪"
usurp,"vt. 篡夺, 侵占, 夺取
vi. 篡夺, 侵占"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
forebear,"n. 祖先, 祖宗"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
verisimilar,"a. 好像真实的
"
vernacular,"n. 本地话, 方言
a. 地方的, 用本地语写成的"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
jocular,a. 诙谐的
cellular,"a. 细胞的
"
insular,"a. 岛的, 岛民的, 与世隔绝的, 孤立的, 保守的
"
mar,"vt. 损毁, 损伤, 糟蹋
n. 三月"
jabber,"v. 快而含糊地说, 吱吱喳喳地叫
n. 快而含糊不清的话"
limber,"a. 柔软的, 敏捷的, 富于弹性的
vt. 使柔软
vi. 做准备活动"
somber,"a. 昏暗的, 阴天的, 严峻的, 忧郁的"
encumber,"vt. 妨害, 阻塞, 拖累
"
lumber,"n. 木材, 破旧家俱, 废物, 隆隆声
vt. 砍伐木材, 乱堆
vi. 笨拙地移动, 喧闹地向前走, 隆隆地移动"
slumber,"n. 睡眠, 麻木状态
vi. 微睡, 静止, 麻木
vt. 睡着度过(时间)"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
dodder,"vi. 摇摆, 蹒跚
n. 菟丝子"
embroider,"vt. 刺绣, 镶边, 装饰
vi. 绣花"
solder,"n. 焊接剂, 接合物
v. 施以焊接, 焊合, 联结"
meander,"n. (河流的)蜿蜒, 漫步, 迂回旅行
vi. 蜿蜒流动, 漫步
vt. 使蜿蜒曲折"
squander,"vt. 浪费, 使分散
vi. 浪费, 漂泊, 四散"
engender,"vt. 产生, 引起
vi. 发生, 形成"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
faultfinder,n. 吹毛求疵的人
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
flounder,"vi. 挣扎, 折腾；错乱地做事或说话"
sunder,"v. 切开, 分离"
asunder,"adv. 分开, 散, 碎"
leer,"n. 秋波, 媚眼, 恶意的瞥视
vi. 送秋波, 抛媚眼, 斜睨"
veneer,"n. 饰面薄板, 饰面, 外表
vt. 镶饰, 胶合, 虚饰"
domineer,"vi. 跋扈, 作威作福
vt. 盛气凌人"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
sneer,"n. 冷笑, 嘲笑
vi. 嘲笑, 冷笑
vt. 嘲笑着说, 嘲笑得使"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
veer,"vi. 转向
vt. 使转向
n. 转向"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
proffer,"vt. 提供, 贡献, 提议
n. 提供, 提议"
pilfer,"v. 盗取, 小偷小摸, 剽窃"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
badger,"n. 獾, 獾皮毛
vt. 纠缠"
swagger,"n. 大摇大摆, 吹牛, 妄自尊大, 威吓
vi. 虚张声势吓人, 大摇大摆, 吹牛
vt. 吓唬, 恫吓
a. 漂亮的, 时髦的"
harbinger,"n. 通告者, 预告者, 先驱, 预兆
vt. 预告, 充做...的前驱"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
malinger,"vi. 装病
"
warmonger,"n. 战争贩子
"
cipher,"n. 零, 暗号, 密码, 无用的东西, 阿拉伯数字
v. 计算, 做算术"
decipher,"vt. 译解, 解释
n. 密电译文"
usher,"n. 引座员, 招待员
vt. 引导, 招待
vi. 作招待员"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
tether,"n. 系绳, 系链, 界限, 范围
vt. 栓, 束缚, 限制"
bellwether,"n. 系铃带头羊, 前导, 领导者"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
smother,"vt. 使喘不过气, 使窒息, 闷熄, 忍住, 抑制, 覆盖
vi. 窒息, 被抑制
n. 浓烟, 窒息状态, 杂乱无章"
cavalier,"n. 骑士, 骑手"
hanker,"vi. 渴望, 热切希望"
tinker,"n. 补锅匠, 会做各种修补活计的人
vi. 做焊锅匠, 笨拙的修补
vt. 修补"
stickler,"n. 坚持要求某种品质的人, 坚持要求一丝不苟者, 难题, 费解的事物"
gossamer,"n. 小蜘蛛网, 蛛丝, 薄纱
a. 薄弱的, 轻飘飘的"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
stammer,"v. 口吃, 结结巴巴地说
n. 口吃, 结巴"
retainer,"n. 家臣, 侍从, 保持者
"
practitioner,"n. 从业者, 开业者
"
taper,"n. 带子操作工, 小蜡烛, 尖细, 渐弱, 锥形, 尖塔
a. 尖细的, 分等级的
v. (使)一头逐渐变细, (使)逐渐减少"
damper,"n. 令人扫兴的人, 增湿器, 阻尼器
"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
tamper,"vi. 干预, 拨弄, 贿赂, 损害, 篡改
vt. 篡改
n. 捣棒, 打夯机, 填塞者"
dapper,"a. 整洁的, 整齐的, 短小精悍的"
deter,"vt. 制止, 吓住, 威慑"
teeter,"vi. 步履不稳地走动, 踉跄, 摇晃, 摇摆不定, 摇摇欲坠, 玩跷跷板
n. 踉跄, 摇摆, 跷跷板"
perimeter,"n. 周长, 周界, 边缘
"
reconnoiter,"vt. 侦察, 勘查"
falter,"vt. 支吾地说
vi. 支吾, 蹒跚地走
n. 颤抖, 支吾, 踌躇"
palter,"vi. 含糊其词, 马虎处理, 讨价还价, 敷衍了事"
welter,"vi. 翻滚, 滚动, 沉溺, 浸湿, 起伏
n. 翻滚, 汹涌, 混乱, 起伏, 重量级骑手"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
kilter,"n. 良好状态, 顺利, 平衡"
banter,"n. 戏谑, 嘲弄
v. 戏弄, 开玩笑"
inter,"vt. 埋葬
prep. 在中间"
pointer,"n. 指示物, 教鞭, 暗示, 指针
"
disinter,"vt. 掘出, 发掘, 使显露"
saunter,"n. 闲逛, 漫步
vi. 闲逛, 漫步"
barter,"n. 物物交换, 实物交易
v. 物物交换, 交换"
fester,"vi. 溃烂, 生脓
vt. 使溃烂
n. 脓疮, 溃烂"
sequester,"vt. 使隐退, 使隔绝, 扣押, 没收
"
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
filibuster,"n. 阻挠议事的活动, 掠夺兵, 暴兵, 海盗
vi. 掠夺
vt. (以冗长的演说)阻碍议案通过"
bluster,"vt. 风狂吹, 咆哮, 汹涌
vi. 咆哮着说出, 恐吓
n. 狂风声, 巨浪声, 夸口, 大话"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
fluster,"n. 慌乱, 激动, 紧张不安
vt. 使紧张, 使慌张, 使激动
vi. 慌乱"
lackluster,"a. 没有光泽的, 无生气的, 平凡的
n. 无光泽, 无生气, 暗淡"
flatter,"vt. 奉承, 阿谀, 使高兴
"
fetter,"n. 脚镣, 羁绊, 束缚
vt. 束缚, 加脚镣"
splutter,"n. 喷溅声
vi.vt. 急促而慌乱地说
vi. 发出吐唾沫声"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
