species,"n. 种, 类, 外形
"
reluctant,"a. 不情愿的, 勉强的
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
resilience,"n. 弹回, 有弹力, 恢复力
"
resin,"n. 树脂
vt. 涂树脂于"
respiration,"n. 呼吸, 一口气, 呼吸作用
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
sac,"n. 囊, 液囊, (美)战略空军司令部
"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
saving,"n. 存款, 挽救, 节约
a. 搭救的, 节约的, 保留的, 补偿的
prep. 除...之外"
scroll,"n. 卷轴, 画卷, 名册, 条幅, 滚动
v. (使)成卷形
"
shoemaker,"n. 鞋店营业员, 皮鞋匠"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
southeastern,a. 东南方的
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
spectator,"n. 观众, 目击者, 旁观者"
stereo,"n. 铅版, 立体照片
a. 立体的, 立体感觉的"
stingless,a. 无刺的
stunt,"n. 特技, 绝技, 花招, 噱头, 手腕, 发育不良
vt. 阻碍成长
vi. 表演特技"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
syrup,"n. 糖浆, 果汁
"
temporarily,"adv. 暂时, 一时, 临时"
theorize,"vi. 建立理论, 讲理论, 推理"
thickness,"n. 厚度, 密度, 愚钝, 含混不清
"
thorough,"a. 十分的, 彻底的"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
tongue,"n. 舌, 语言能力, 讲话方式, 语言
vt. 舔, 斥责, 发...的音
vi. 使用舌头, 吹管乐器"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
twinkle,"n. 闪烁, 闪耀, 瞬息
vi. 闪烁
vt. 使闪耀"
ultraviolet,"a. 紫外线的
"
underneath,"adv. 在下面
prep. 在...的下面"
unstable,a. 不稳定的
vertebrate,"n. 脊椎动物
a. 有椎骨的, 有脊椎的"
viewpoint,n. 观点
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
wilderness,"n. 荒野, 荒地, 大量"
advent,"n. 来到, 来临"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
appetite,"n. 食欲, 欲望, 爱好
"
ascension,"n. 上升, 耶稣升天"
assess,"vt. 估定, 对...征税, 评定
"
assistance,"n. 协助, 援助
"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
buyback,"n. 回购, 回买协议"
carbonic,"a. 碳的, 由碳得到的
"
carving,"n. 雕刻品, 雕刻, 雕刻术"
certify,"v. 证明, 保证"
circular,"a. 圆形的, 循环的, 间接的
"
circulation,"n. 流通, 循环, 发行量
"
classification,"n. 分类, 分级
"
cliff,"n. 悬崖, 绝壁"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
colonist,"n. 殖民地居民, 移民"
coma,"n. 昏迷, 麻木, 彗发
"
compensate,"v. 偿还, 补偿, 付报酬"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
curriculum,"n. 课程
"
deciduous,"a. 每年落叶的, 非永久性的
"
deprive,"vt. 剥夺, 使丧失
"
devastate,"vt. 毁坏
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
displace,"vt. 移置, 替换, 转移"
divert,"vt. 转移, 使欢娱
vi. 转移"
drawback,"n. 缺点, 退税
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
elliptical,"a. 椭圆的
"
expertise,"n. 专家意见, 专门技术
"
explicit,"a. 详述的, 清楚的, 直言的"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
fate,"n. 命运, 运气
vt. 注定"
feasible,"a. 能实行的, 可行的, 适宜的
"
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
firewood,n. 木柴
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
gender,"n. 性
vt. 产生"
genius,"n. 天才, 天赋, 精神, 神魔
"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
heliocentric,a. 以太阳为中心的
hereditary,"a. 世袭的, 遗传的
"
hominid,n. 人科的动物
horseshoe,"n. 马蹄铁
vt. 装蹄铁于"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
improvise,"vt. 即席创作, 临时做"
inhospitable,"a. 冷淡的, 不适于居住的, 不相容的"
interplay,"n. 互相作用, 互相影响
vi. 互相作用"
intersect,"vt. 贯穿, 横穿
vi. 交错, 相交"
irrational,"n. 无理数
a. 无理性的, 不合理的"
lade,"vt. 装满, 装载
vi. 装货"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
lengthy,"a. 冗长的, 漫长的"
likewise,"adv. 同样地, 也"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
longevity,"n. 长命, 长寿, 寿命
"
maize,"n. 玉蜀黍, 黄色
a. 玉蜀黍色的, 黄色的"
markedly,"adv. 显著地, 醒目地, 明显地"
maturation,"n. 化脓, 成熟
"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
memorize,"vt. 记住, 熟记, 背熟"
modification,"n. 修正, 修饰, 修改
"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
mudflats,"n. （涨潮时被海水淹没的）海边淤泥地, 潮泥滩"
mutation,"n. 变化, 突变, 元音变化
"
mutoscope,n. (早期的)电影放映机
naturalist,n. 自然主义者
navigable,"a. 可航行的, 可通船的, 适于航行的
"
neonate,"n. 婴儿
"
nouveau,"a. 新近到达的,新近产生的"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
ostrich,n. 鸵鸟
outcome,"n. 结果, 出口"
outdated,"a. 旧式的, 落伍的, 过时的"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
pant,"n. 喘息, 悸动
vi. 喘息, 渴望
vt. 气喘吁吁地说"
papermaking,"n. 造纸, 造纸业, 造纸学"
partnership,"n. 合伙, 合股, 合作关系
"
peripheral,"a. 周边的, 周围的, 圆周的, 无关紧要的, 肤浅的
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
planetarium,"n. 行星仪, 天文馆, 天象图"
plume,"n. 羽毛, 羽毛装饰, 羽状的
vt. 用羽毛装饰, 整理羽毛, 使成羽毛状"
potter,"n. 陶工, 制陶工人"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
proton,"n. 质子
"
punishment,"n. 处罚, 刑罚, 惩罚
"
putrefy,"v. (使)化脓, (使)腐烂, (使)堕落"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
radioactivity,"n. 放射性
"
realm,"n. 王国, 领土, 领域
"
rebellion,"n. 谋反, 叛乱, 反抗
"
reed,"n. 芦苇, 芦笛, 簧舌, 纤弱的人
vt. 用芦苇盖, 用小凸嵌线装饰"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
"
regiment,"n. （军队）团, 大量（人或物）
v. 组编成团，组织，严格管制"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
reindeer,n. 驯鹿
renewable,"a. 可更新的, 可恢复的, 可继续的, 可换新的, 可重复的, 可重说的
"
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
respiratory,"a. 呼吸的
"
restoration,"n. 恢复, 归还, 复位
"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
richness,"n. 富裕, 丰富, 肥沃"
rodent,"a. 咬的, 啮齿类的
n. 啮齿动物"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
satire,"n. 讽刺文学, 讽刺"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
semiskilled,a. 半熟练的
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
shellfish,"n. 贝, 甲壳类水生物
"
shorten,"vt. 弄短, 缩短, 减少
vi. 缩小, 变短"
silicon,"n. 硅
"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
soften,"v. (使)变柔软, (使)变柔和"
solitary,"n. 独居者
a. 孤独的, 独居的"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
speculation,"n. 沉思, 推测, 投机
"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
steadily,"adv. 稳定地, 无变化地, 有规则地"
sticky,"a. 粘的, 有粘性的, 顽固的"
stimulation,"n. 刺激, 激励, 鼓舞
"
straighten,"vt. 弄直, 整顿, 清理, 使改正
vi. 直起来, 改正, 好转"
sunrise,"n. 日出, 黎明, 拂晓"
supposedly,"adv. 想象上, 看上去像, 被认为是, 恐怕, 按照推测"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
surroundings,"n. 环境, 周围的事物
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
syllable,"n. 音节
vt. 分成音节
"
symbiosis,"n. 共栖, 共同生活
"
symphony,"n. 交响乐, 交响曲"
toddler,"n. 蹒跚行走的人, 学步的小孩, 学步的幼儿, (非正式)信步走的人"
topography,"n. 地志, 地形学, 地势, 局部解剖学
"
troubadour,n. 行吟诗人
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
unrelated,[法] 无关的
uproot,"vt. 连根拔起, 根除"
vanish,"vi. 消失, 不见, 成为零"
vase,"n. 花瓶, 瓶"
vastly,"adv. 广大地, 许多, 巨大"
venom,"n. 毒液, 恶意
vt. 放毒, 使有毒"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
weakness,"n. 虚弱, 薄弱, 弱点
"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
zoologist,"n. 动物学家
"
absorption,"n. 吸收, 专心, 全神贯注
"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
amphibian,"a. 两栖类的, 水陆两用的
n. 两栖动物, 水旱两生植物, 水陆两用飞机"
analogy,"n. 相似, 类似
"
angiosperm,"n. 被子植物
"
aquarium,"n. 水族馆, 养鱼池, 水草缸
"
asphalt,"n. 柏油
a. 用柏油铺成的
vt. 以柏油铺"
astonish,vt. 使惊讶
astronomical,"a. 天文学的, 庞大的"
audio,"a. 音频的, 声音的
"
autonomous,"a. 自治的
"
barn,"n. 谷仓
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
bide,"vt. 等候, 住, 忍耐, 等待"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
cessation,"n. 停止
"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
chlorosis,"n. 萎黄病, 短绿病
"
coastline,n. 海岸线
cognition,"n. 认识, 认识力, 认识的结果
"
cohesion,"n. 结合, 黏聚, 内聚
"
commensalism,"n. 共生, 共栖
"
comprise,"vt. 包含, 构成"
conception,"n. 观念, 概念
"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
cooperate,"vi. 合作, 协力, 配合
"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
cooperate,"vi. 合作, 协力, 配合
"
corona,"n. 冠, 冠状物, 副冠, 根颈, 头顶, 牙冠, 檐板, 日冕, 月华, 日华, 电晕, 光圈
"
cortex,"n. 皮层
"
council,"n. 会议, 委员会
"
courtship,"n. 求爱, 求婚, 求爱时期"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
daylight,"n. 白昼, 日光
vt. 使沐浴于日光
vi. 享有日光"
decibel,"n. 分贝
"
decipher,"vt. 译解, 解释
n. 密电译文"
degrade,"v. (使)降级, (使)退化"
democratic,"a. 民主的
"
deposition,"n. 免职, 作证, 沉淀
"
destination,"n. 目的地, 目标, 目的
"
deteriorate,v. (使)恶化
differential,"a. 差别的, 特异的, 微分的
n. 差别, 两路线运费差额, 工资差额"
disprove,"vt. 证明...是不对的, 提出...的反证, 反驳
"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
district,"n. 区域, 地方
"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
diversify,"vt. 使多样化, 使变化"
dormant,"a. 睡眠状态的, 静止的
"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
durable,"a. 持久的, 耐用的"
dwell,"vi. 居住, 居住(于), 存在(于)"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
empathy,"n. 移情作用, 共鸣
"
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
entity,"n. 实体, 实存物, 存在
"
entrepreneur,"n. 企业家, 主办人
"
erase,"vt. 抹去, 擦掉
"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
ethnology,"n. 人种学
"
eusocial,"a. (昆虫)完全社会性的,完全群居的"
evergreen,"n. 常绿树, 常绿植物
a. 常绿的"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
fatty,"a. 肥胖的, 脂肪的, 含脂肪的
"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
fluke,"v. 侥幸成功
n. 锚爪, 侥幸, 偶然事故"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
garrison,"n. 守备队, 驻军, 要塞
vt. 守备, 派兵驻守"
glassy,"a. 玻璃质的, 玻璃状的, 如镜的
"
grassland,"n. 牧草地, 草原"
handful,"n. 少数, 一把, 棘手事"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
hub,"n. 毂, 木片, 中心
"
hypothetical,"a. 假设的, 有待证实的, 假定的, 有前提的
"
icebox,"n. 冷藏库, 冰箱, 冷冻室
"
illustration,"n. 例证, 插图
"
immense,"a. 极广大的, 无边的, 非常好的"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
imprint,"vt. 印, 铭刻
n. 印, 印记, 特征, 痕迹, 版本说明"
inefficient,"a. 无效率的, 无能的
"
inference,"n. 推论
"
innovative,"a. 革新的, 创新的, 富有革新精神的"
inscription,"n. 题字, 碑铭
"
institution,"n. 机构, 惯例, 制度
"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
intentionally,"adv. 故意地, 有意地"
interconnect,vt. 使互相连接
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
ion,"n. 离子
"
isle,"n. 小岛, 群岛
vt. 使成为岛状
vi. 住在岛屿上"
laryngeal,"a. 喉头的, 喉头治疗用的
n. 喉部, 喉音"
leafy,"a. 叶茂盛的, 多叶的, 叶状的"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
locomotion,"n. 运动, 移动, 旅行
"
lord,"n. 统治者, 阁下, 上帝
vi. 称王, 作威作福
vt. 使成贵族"
loyalty,"n. 忠贞, 忠诚, 忠实
"
magnesium,"n. 镁
"
maroon,"n. 逃亡黑人奴隶, 褐紫红色, 爆竹
a. 褐紫红色的
vt. 放逐到无人岛上, 使孤立
vi. 闲荡, 带帐篷旅行"
maze,"n. 迷宫, 迷惘
vt. 使迷惘, 使混乱, 迷失"
measurable,"a. 可测量的, 不久的, 重要的"
mercury,"n. 水银, 汞, 使者
"
metabolism,"n. 新陈代谢, 变态
"
meticulously,"adv. 过细地, 细致地"
millet,"n. 稷, 粟, 黍
"
minimal,"a. 最小的, 极微的, 最小限度的
"
modem,"n. 调制解调器
"
modernize,"vi. 现代化
vt. 使现代化"
mollusk,"n. 软体动物
"
navigational,
necessitate,"vt. 迫使, 使成为必需, 需要"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
obligatory,"a. 义务的, 必须的, 强制性的
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
ooze,"n. 渗流, 分泌物
v. 渗出, 泄漏"
optional,"a. 可选择的, 随意的
"
orchid,"n. 兰花, 淡紫色
"
oyster,"n. 牡蛎, 蚝, 沉默者"
pale,"n. 栅栏, 界线, 范围
a. 苍白的, 暗淡的, 无力的
vi. 变苍白, 变暗, 失色
vt. 使变苍白, 使失色, 用栅栏围"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
parasitism,"n. 寄生, 寄生习惯, 寄生状态, 寄生现象
"
passageway,"n. 通道, 走廊"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
patron,"n. 赞助人, 顾客, 保护人
"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
photocopy,"n. 影印, 复印件
v. 影印"
phytoremediation, 植物修复
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
plateau,"n. 高地, 高原, (上升后的)稳定水平
"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
pollute,"vt. 污染, 弄脏, 玷污
"
prehistory,"n. 史前学, 史前史, 历史背景
"
preindustrial,"a. 未工业化的, 工业化前的"
preschooler,n. 学龄前儿童
presently,"adv. 目前, 不久"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
puppet,"n. 傀儡, 木偶
"
radium,"n. 镭
"
rag,"n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服
vt. 责骂, 揶揄, 戏弄
vi. 喧闹"
rainforest,[生态]雨林
rational,"a. 理性的, 合理的
n. 有理数"
reasonably,"adv. 适度地, 相当地"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
refute,"vt. 反驳, 驳斥；驳倒"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
relic,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物"
relocate,"vt. 重新安置, 再配置, 放在新地方
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
reschedule,
rewrite,"vt. 重写, 改写, 改写新闻, 书面答复
vi. 修改旧作
n. 改写的作品
"
rival,"n. 对手, 竞争者
a. 竞争的"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
rut,"n. 辙迹, 凹槽, 常规, 惯例, 发情期
vi. 交尾, 发情
vt. 挖槽于"
sailor,"n. 水手, 船员, 海员
"
seaway,[经] 海运航线
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
sedimentation,"n. 沉淀, 沉积
"
sensible,"a. 有感觉的, 敏感的, 明智的
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
silkworm,n. 蚕
simultaneous,"a. 同时的, 同时发生的
"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
smother,"vt. 使喘不过气, 使窒息, 闷熄, 忍住, 抑制, 覆盖
vi. 窒息, 被抑制
n. 浓烟, 窒息状态, 杂乱无章"
sonar,"n. 声纳
"
spearhead,"n. 矛尖, 先锋队, 先头部队
vt. 做先锋, 带头"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
starve,"v. (使)饿死, (使)挨饿"
statistic,"n. 统计量
a. 统计的, 统计学的"
stratigraphy,"n. 地层学, 地层情况
"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
sub,"n. 补充人员, 部下, 潜水艇, 胶层, 订户, 傻子
a. 附属的, 次级的
vt. 替代, 转包
vi. 替代
"
substrate,"n. 底层, 地层, 衬底, 基底, 基质, 酶作用物, 酶解物
"
superiority,"n. 优越, 高傲
"
supervise,"v. 监督, 管理, 指导"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
talent,"n. 天才, 才能, 有才干的人, 天资"
tape,"n. 带子, 录音带, 磁带, 窄带, 卷尺
vt. 以带子绑起, 测量, 录音
"
territorial,"a. 领土的, 土地的, 地方的, 区域性的
n. 本土自卫队队员"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
translocate,改变...的位置
transmission,"n. 传输, 传送, 变速器
"
tribal,"a. 部落的, 宗族的"
trillion,"n. 大量
"
twig,"n. 小枝, 细枝
v. 懂得, 了解"
unaffected,"a. 不矫揉造作的, 自然的, 未受影响的, 未被感动的
"
unaware,"a. 未认识到的, 不知道的
"
unchanging,a. 不变的
uncommon,"a. 不寻常的, 非凡的, 罕有的
adv. 不平常地"
unconsolidated,"a. 松散的,疏松的,非层状的"
understory,林下叶层
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
urn,"n. 瓮, 缸, 坟墓"
versus,"prep. 对...
"
visibility,"n. 可见性, 能见度, 能见距离
"
warrior,"n. 战士, 勇士, 武士, 鼓吹战争的人, 战斗, 尚武"
wetter,n. 湿润剂
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
accumulator,"n. 积聚者, 蓄能器, 蓄电池
"
album,"n. 粘贴簿, 唱片套
"
ample,"a. 大量的, 充足的, 丰富的"
angular,"a. 有角的, 消瘦的, 有尖角的, 生硬的
"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
arithmetic,"n. 算术, 算术知识
"
auditory,"a. 听觉的, 听觉器官的
"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
awesome,"a. 引起敬畏的, 可怕的"
biotic,"a. 生命的, 生物的
"
bivalve,"n. 双壳类动物
"
blacksmith,"n. 铁匠
"
blubber,"n. 鲸脂, 哭泣
v. 又哭又闹"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
buddy,"n. 好朋友, 伙伴"
canopy,"n. 天篷, 遮篷, 苍穹
vt. 用天蓬遮盖"
caravan,"n. 旅行队, 有篷顶的大车
"
carnivore,"n. 食肉动物
"
celebrate,"v. 庆祝, 祝贺, 举行"
chairperson,n. 主席
chart,"n. 图表, 海图
vt. 制成图表
"
chemosynthesis,"n. 化学合成
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
chondrite,"n. 球粒状陨石
"
choreography,"n. 舞蹈艺术, 舞台舞蹈"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
client,"n. 客户, 顾客, 委托人
"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
