disastrous,"a. 损失惨重的, 悲伤的"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
catastrophe,"n. 大灾难, 大祸
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
recently,adv. 最近
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
innumerable,"a. 无数的, 数不清的"
clamp,"n. 夹钳
vt. 夹紧, 强加"
suffice,"vi. 足够, 有能力
vt. 满足"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
seam,"n. 缝合线, 衔接口, 接缝, 线缝, 伤疤
vt. 缝合, 接合, 焊合, 使留下伤痕
vi. 裂开, 发生裂痕"
inlet,"n. 进口, 插入物
"
grin,"n. 露齿笑
v. 露齿而笑"
honorary,"a. 荣誉的, 无报酬的, 道义上的
"
fright,"n. 惊骇, 吃惊
"
operative,"a. 动作的, 运转的, 有效的, 关键的, 手术的
n. 技工, 侦探"
tumble,"n. 跌倒, 摔跤, 翻斤斗
vi. 翻倒, 摔倒, 倒塌, 滚动, 翻斤斗, 仓促地行动
vt. 使摔倒, 使滚翻, 弄乱"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
portfolio,"n. 皮包, 公文包, 部长职务, 有价证券财产目录, 艺术代表作选辑
"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
artifact,"n. 人工制品
"
arrogance,"n. 傲慢态度, 自大"
maternity,"n. 母性, 怀孕, 妇产科医院
a. 产妇的"
conformity,"n. 遵照, 适合, 一致, 相似
"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
omission,"n. 省略, 遗漏, 疏忽
"
avert,"vt. 转开, 避免, 防止"
astray,"adv. 迷途地, 入歧途地
"
confide,"vt. 吐露, 委托
vi. 信赖"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
dew,"n. 露珠, 露水
vt. (用露水)沾湿
vi. 结露水"
digit,"n. 数字, 位数, 指头
"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
hectic,"a. 脸上发红, 发热的, 潮热的, 肺病的
n. 脸红, 潮热病人"
counterfeit,"n. 赝品, 伪造品
a. 假冒的, 假装的
v. 仿造, 伪装, 假装"
cleanse,"vt. 使清洁, 净化, 使纯净
"
stigma,"n. 耻辱, 污名, 烙印
"
aptitude,"n. 资质, 才能, 自然倾向
"
meticulous,"a. 一丝不苟的, 精确的, 过细的"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
eyebrow,"n. 眉毛
"
indict,"vt. 起诉, 控告, 指控
"
hygiene,"n. 卫生保健, 卫生学, 保健法
"
downgrade,"vt. 降低, 贬低
n. 下坡
a. 下坡
adv. 下坡"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
whisky,"n. 威士忌酒, 轻便马车
"
old-fashioned, 古典鸡尾酒
aide,"n. 助手, 副官
"
dough,"n. 生面团
"
repress,"vt. 镇压, 抑制, 压制
vi. 压制"
shipyard,"n. 造船厂
"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
tertiary,"a. 第三的, 第三位的, 第三产业的
n. 第三修道会会员, 第三纪
第三的; 三代的(指无机盐)"
beware,"v. 小心, 谨防"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
confidence,"n. 信心
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
reasonable,"a. 合理的, 明理的, 适当的
"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
dwell,"vi. 居住, 居住(于), 存在(于)"
eliminate,"vt. 除去, 排除, 剔除, 消除"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
headache,"n. 头痛, 令人头痛之事
"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
depend,"vi. 靠, 视...而定, 信赖"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
conservation,"n. 保护, 保存
"
concede,"vt. 承认, 退让
vi. 让步"
suitable,"a. 适当的, 相配的
"
belong,"vi. 属于, 合适"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
talent,"n. 天才, 才能, 有才干的人, 天资"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
colonial,"a. 殖民的, 殖民地的
"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
album,"n. 粘贴簿, 唱片套
"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
disappoint,vt. 使失望
connect,"v. 连接, 联合, 联系"
negotiation,"n. 谈判, 磋商, 交涉
"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
probable,"a. 很可能的, 大概的, 可信的
n. 很有希望的候选人, 很可能的事情"
impressive,"a. 给人深刻印象的, 威严的"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
confess,"v. 承认, 坦白, 忏悔, 供认"
imply,"vt. 暗示, 意味
"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
aspect,"n. 外观, 方面, 面貌, 方向
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
aware,"a. 知道的, 有觉悟的"
breadth,"n. 宽度
"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
diverse,"a. 不同的, 变化多的"
tremendous,"a. 巨大的, 非常的, 可怕的"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
indicate,"vt. 显示, 象征, 指示, 指出
"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
significance,"n. 重要性, 意义, 意味
"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
competitive,"a. 竞争的
"
liability,"n. 责任, 债务, 倾向
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
comply,"vi. 顺从, 依从
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
analyse,"vt. 分析, 细察, 分解
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
dart,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
solidarity,"n. 团结, 团结一致, 共同一致
"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
illicit,"a. 不法的, 不正当的, 禁止的
"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
luminous,"a. 发光的, 明亮的
"
dole,"n. 救济品, 失业救济金
vt. 发放救济"
magistrate,"n. 长官, 法官, 推事
"
pact,"n. 契约, 协定, 条约
"
decree,"n. 法令, 判决, 天意
vt. 颁布, 判决
vi. 发布命令"
humidity,"n. 湿气, 潮湿, 湿度
"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
aesthetics,n. 美学
resultant,"a. 结果的, 合成的
n. 结果, 合力, 生成物"
victorious,"a. 胜利的, 得胜的, 战胜的"
arrogant,"a. 自大的, 傲慢的"
hitherto,"adv. 迄今, 至今"
pastry,"n. 油酥点心, 面粉糕饼"
accountancy,"n. 会计工作, 会计学
"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
bumper,"n. 缓冲器, 满杯
a. 大胜利的"
biotechnology,n. 生物工艺学；生物技术
hereby,"adv. 因此, 据此"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
predominate,"vt. 掌握, 控制, 支配
vi. 占主导地位, 占优势"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
abreast,"adv. 并肩地, 并列地"
grandchild,"n. 孙, 外孙女, 外孙, 孙女, 孙子"
encyclopaedia,n. 百科全书
crocodile,n. 鳄鱼
gospel,"n. 福音, 信仰, 真理"
mindset,n. 心态；倾向；习惯；精神状态
greed,"n. 贪欲, 贪婪"
plaintiff,"n. 原告, 起诉人
"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
snob,"n. 势利的人, 假内行"
wilderness,"n. 荒野, 荒地, 大量"
stark,"a. 僵硬的, 完全的, 刻板的, 明显的, 荒凉的, 结实的
adv. 突出地, 简直, 全然"
ape,"n. 无尾猿
"
steward,"n. 管理人, 招待员, 管家, 乘务员
"
etiquette,"n. 礼仪, 礼节, 成规
"
ail,"vt. 使苦恼
vi. 生病, 处境困难
"
detriment,"n. 损害, 损害物
"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
monarchy,"n. 君主政体, 君主国, 君主政治
"
knowhow,"n. 情报；实际的能力；专门技术；诀窍, 技巧"
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
cyberspace,"[计] 空间, 网控空间"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
forbid,"vt. 禁止, 不准, 妨碍
"
generalise,"vt.vi. (使)一般化, 从...引出一般性结论, 泛论, 概括出, 归纳出, 使广义化"
defect,"n. 缺点
"
definite,"a. 明确的, 一定的
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
orderly,"a. 有秩序的, 整齐的, 值班的
n. 护理员, 清道夫, 传令兵, 勤务兵
adv. 依次地, 顺序地"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
folklore,"n. 民俗学, 民间风俗, 民间传说"
underneath,"adv. 在下面
prep. 在...的下面"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
insure,"vt. 保险, 确保
vi. 投保"
drown,"vi. 淹死
vt. 把...淹死, 淹没"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
ambition,"n. 野心, 志向"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
exist,"vi. 存在, 生存, 发生"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
mainstream,n. 主流
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
chaotic,"a. 混乱的, 无秩序的
"
permission,"n. 许可, 允许
"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
transaction,"n. 交易, 办理, 学报, 和解协议
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
humanity,"n. 人性, 人类, 博爱"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
primarily,"adv. 主要地, 首先地"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
muscle,"n. 肌肉, 臂力
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
adapt,"vt. 使适应, 改编
vi. 适应"
portray,"vt. 描绘, 描写, 描绘...的肖像"
desirable,"a. 令人想望的, 可取的"
productive,"a. 能生产的, 有生产价值的, 多产的
"
skilful,"a. 灵巧的, 熟练的, 制作精巧的"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
furnish,"vt. 供给, 提供, 装设
"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
economic,"a. 经济上的, 实用的, 节省的
"
seemingly,"adv. 看来似乎, 表面上看来"
refute,"vt. 反驳, 驳斥；驳倒"
migrate,"vi. 移动, 移往, 随季节而移居
"
obstacle,"n. 障碍, 妨害物, 阻碍"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
sensible,"a. 有感觉的, 敏感的, 明智的
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
naive,"a. 天真的, 纯真的, 幼稚的"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
malpractice,"n. 不当治疗, 不端行为, 渎职
"
appraise,"vt. 评价, 估价
"
excerpt,"n. 摘录
v. 引用, 摘录"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
academician,"n. 学会会员, 院士, 学究, 大学生, 学者"
defective,"a. 有缺陷的, 欠缺的
n. 有缺陷的人, 不完全变化词"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
formality,"n. 礼节, 拘谨, 正式手续
"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
sturdy,"a. 强健的, 健全的
"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
redundant,"a. 多余的, 过多的, 冗长的
"
interrogation,"n. 审问, 疑问句, 问号
"
minimal,"a. 最小的, 极微的, 最小限度的
"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
ideological,"a. 意识形态的, 空想的
"
distracted,a. 心烦意乱的
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
inertia,"n. 惯性, 惰性, 迟钝
"
ivory,"n. 象牙, 乳白色
a. 象牙制的, 乳白色的"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
tutorial,"n. 个别指导, 论文, 学习指南, 指导手册
a. 个别指导的, 家庭教师的, 辅导的
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
devour,"vt. 吞食, 挥霍, 吞没"
crave,"v. 渴望, 热望, 恳求"
dissent,"n. 异议
vi. 持异议, 不同意"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
upload,"[计] 上装, 加载, 储入"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
poise,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码
vt. 使平衡, 使悬着, 保持...姿势
vi. 平衡, 悬着, 准备好"
buddy,"n. 好朋友, 伙伴"
buckle,"n. 皮带扣, 扣子
vt. 扣住, 使弯曲
vi. 扣住, 变弯曲, 屈服"
warrior,"n. 战士, 勇士, 武士, 鼓吹战争的人, 战斗, 尚武"
bass,"n. 低沉的声音, 男低音, 椴树
a. 低音的"
chef,n. 厨师
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
fingerprint,"n. 指纹
vt. 采指纹"
aristocrat,n. 贵族
inmate,"n. 同住者, 被收容者
"
intake,"n. 入口, 吸入, 吸入量
"
zoology,"n. 动物学, 动物区系
"
loophole,"n. 枪眼, 小窗, 换气孔"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
metaphor,n. 隐喻
akin,"a. 同类的, 同族的, 同源的"
shit,"vi. 拉屎
vt. 欺骗, 在...拉屎
n. 粪, 屎
interj. 狗屁"
hijack,"vt. 抢劫, 劫持, 敲诈
"
pottery,"n. 陶器, 陶器厂
"
stool,"n. 凳子, 大便, 粪便, 厕所
vi. 长新枝
vt. 引诱, 诱捕"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
lime,"n. 石灰, 粘鸟胶, 酸橙
vt. 以石灰处理, 粘鸟胶于, 撒石灰"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
corporate,"a. 社团的, 合伙的, 公司的
"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
mood,"n. 心情, 气氛, 生气, 基调
"
preference,"n. 偏爱, 优先, 喜爱物
"
differ,"vi. 不一致, 不同
"
virtually,adv. 事实上
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
funeral,"n. 葬礼, 出殡"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
consultant,"n. 顾问, 征询意见者
"
degree,"n. 程度, 度数, 学位, 度
"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
deputy,n. 副手，代理人
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
coward,"n. 懦弱的人, 胆小的人"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
delete,"vt. 删除
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
reality,"n. 实在, 事实, 实体, 逼真
"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
viewer,"n. 观察者, 看电视者, 视察员, 观察器
"
outbreak,"n. 爆发, 暴动
"
allege,"vt. 宣称, 主张, 提出, 断言
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
normally,"adv. 正规地, 合规则, 正常地"
privacy,"n. 隐私, 隐居, 秘密
"
destiny,"n. 命运, 定数"
facilitate,"vt. 使容易, 促进, 帮助
"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
status,"n. 状态, 情形, 地位, 要人身份
"
doctrine,"n. 教条, 学说
"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
distinct,"a. 清楚的, 显著的, 不同的"
ascertain,"vt. 确定, 查明
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
enthusiasm,"n. 巨大的热情, 热心"
symptom,"n. 症状, 征候, 征兆
"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
intensity,"n. 强烈, 紧张, 强度
"
output,"n. 输出, 产品, 产量
"
formula,"n. 客套语, 公式, 准则
"
inherent,"a. 固有的, 与生俱来的
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
aggravate,"vt. 使恶化, 使更严重, 加重"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
elderly,"a. 过了中年的, 稍老的"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
obedient,"a. 服从的, 顺从的, 孝顺的
"
theme,"n. 主题, 话题, 题目"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
lane,"n. 小路, 巷, 弄, 单行道"
malicious,"a. 怀恶意的, 恶毒的"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
