able,"a. 能干的, 能够的"
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
fitting,"a. 适宜的
n. 试穿, 试衣, 装配, 装置"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
dreamlike,"a. 梦一般的, 梦幻的"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
skyrocket,"vi. 飞涨, 突升
n. 焰火"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
civilisation,"n. 文明, 文明世界, 文化, 开化, 教化"
civilization,"n. 文明, 教化
"
certain,"a. 确定的, 某一个的, 必然的
"
certainly,adv. 确定地
uncertainty,"n. 不确定, 不可靠, 不确定的事物
"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
analysis,"n. 分析
"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
athlete,"n. 运动员, 运动选手
"
sportsman,"n. 运动员, 冒险家"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
attention,"n. 注意, 注意力
"
attentive,"a. 注意的, 留心的"
attitude,"n. 态度, 看法, 姿势
"
opinion,"n. 意见, 评价, 主张
"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
atom,"n. 原子, 核能, 微粒, 微量
"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
minibus,"n. 中客车, 小型公共汽车"
minify,"vt. 使变小, 使缩小, 使降低
"
miniskirt,n. 超短裙
audio,"a. 音频的, 声音的
"
documentary,"n. 记录片
a. 文件的"
video,"n. 影像, 电视
a. 图像的, 电视的"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
uncle,"n. 叔父, 伯父, 姨丈"
brother,n. 兄弟
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
grandmother,"n. 祖母, 女祖先"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
parent,"n. 父母, 父母亲, 根源
"
parental,"a. 父母亲的, 做双亲的, 作为渊源的
"
daughter,"n. 女儿
a. 女儿的"
son,"n. 儿子, 女婿, 子孙
"
wife,"n. 妻子, 太太, 夫人
"
husband,"n. 丈夫, 管理人, 节俭的人
vt. 节俭, 使成丈夫, 持有"
family,"n. 家庭, 家人, 族
a. 家庭的"
autumn,"n. 秋天, 成熟期"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
away,adv. 离去
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
along,"adv. 平行地, 向前
prep. 沿着"
backbone,"n. 脊椎, 志气, 骨干, 支柱
"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
waist,"n. 腰部, 腰
"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
hair,"n. 头发, 毛发, 些微
"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
brain,"n. 脑
vt. 打碎脑部"
neck,"n. 脖子, 衣领, 颈
vi. 拥抱, 拥吻, 收缩
vt. 割颈"
cheek,"n. 颊, 厚颜, 脸蛋
"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
eyebrow,"n. 眉毛
"
eyesight,"n. 视力, 目力"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
lip,"n. 唇, 口缘, 唇状构造
vt. 以嘴唇碰, 轻轻说出
a. 口头上的
"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
mouthful,"n. 一口, 满口"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
lung,"n. 肺, 肺脏, 空地
"
heart,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿
vt. 鼓励"
soul,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂
a. 黑人的"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
skin,"n. 皮肤, 皮
vt. 剥皮, 在...植皮
vi. 长皮, 愈合, 蜕皮"
handkerchief,"n. 手帕, 头巾, 围巾"
glove,"n. 手套
vt. 给...戴手套"
handbook,"n. 手册
"
handful,"n. 少数, 一把, 棘手事"
handwriting,n. 笔迹
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
fist,"n. 拳头, 手
vt. 拳打, 握成拳, 紧握"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
football,"n. 足球, 橄榄球"
soccer,n. 英式足球
tennis,n. 网球
basketball,n. 篮球
basket,"n. 篮, 篮子
vt. 装入篮"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
bad,"a. 坏的
n. 坏
adv. 坏地"
badly,"adv. 严重地, 恶劣地, 极度地"
worse,"n. 更坏的事, 更恶劣的事, 败局
a. 更坏的, 更恶劣的
adv. 更坏地, 更恶劣地"
worst,"n. 最坏, 最坏的时候
a. 最坏的, 最恶劣的, 最不利的
adv. 最坏, 最糟"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
well-known, 众所周知的; 出名的
better,"a. 较好的
adv. 比较好"
best,"a. 最好的
adv. 最好地
n. 最好的人"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
excellent,"a. 优良的, 杰出的, 出色的"
excellence,"n. 优秀, 卓越, 优点"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
supermarket,"n. 超级市场
"
superstar,n. 超级明星
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
bakery,n. 面包店
fry,"n. 油炸食物, 鱼苗
v. 油炸, 煎"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
bank,"n. 银行, 堤, 岸
"
banker,"n. 银行家, 庄家
"
banking,"n. 银行业务
"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
coastline,n. 海岸线
seaside,"a. 海边的, 海滨的
n. 海滨"
shore,"n. 海岸, 海滨, 斜撑柱
vt. 把...送上岸, 支撑, 支持"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
beach,n. 海滩
banquet,n. 宴会
dinner,"n. 晚餐, 正餐, 宴会"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
association,"n. 协会
"
cooperate,"vi. 合作, 协力, 配合
"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
barrel,"n. 桶
vt. 装入桶内"
bucket,"n. 桶
"
basin,"n. 盆, 盆地
"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
accordance,"n. 一致, 和谐"
baseline,"n. 基线, 基准
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
batter,"v. 连续猛打（尤其指妇女），猛击
n. 面糊（食物），击球员，打击手"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
knock,"n. 敲, 敲打, 敲门
v. 敲击, 互撞, 攻击"
bath,"n. 沐浴, 浴室
"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
bathroom,"n. 浴室, 厕所"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
postwar,a. 战后的
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
conquest,"n. 战胜, 征服, 战利品
"
colonial,"a. 殖民的, 殖民地的
"
defence,"n. 防卫, 防卫设备
"
defense,"n. 防卫, 防卫物
"
independence,"n. 独立, 自立, 自主
"
democracy,"n. 民主政治, 民主主义
"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
standstill,"n. 停止, 停顿
"
beautiful,a. 美丽的
beauty,"n. 美, 美人"
beautification,n. 美化
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
lovely,"a. 可爱的, 有趣的"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
clever,"a. 聪明的, 精明的"
wise,"a. 明智的, 慎虑的, 聪明的, 博学的, 狡猾的, 机灵的
vi. 知道
vt. 教导, 告诉, 劝导
n. 方法, 方式
"
ugly,"a. 丑陋的, 邪恶的, 险恶的, 不祥的
n. 丑陋的人(或物)"
foolish,"a. 愚蠢的, 傻的"
fool,"n. 愚人, 受骗者, 奶油拌水果
vt. 愚弄, 欺骗, 浪费
vi. 干傻事, 开玩笑, 游荡
a. 傻的"
silly,"a. 愚蠢的, 糊涂的"
stupid,"a. 愚蠢的, 麻木的"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
because,conj. 因为
therefore,"adv. 因此, 所以"
thus,"adv. 如此, 因此, 到如此程度
"
consequently,adv. 所以
if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
"
or,"conj. 或, 或者
"
otherwise,"adv. 否则, 不同地, 别的方式"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
become,"vi. 变成, 变得
vt. 适合"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
pork,"n. 猪肉
"
chicken,"n. 小鸡, 鸡肉"
meat,"n. 肉, 餐, 食物
"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
beg,"v. 乞求, 乞讨, 请求"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
require,"vt. 需要, 命令, 要求
"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
congratulation,"n. 祝贺, 恭喜"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
hopeful,"n. 有希望之人, 有前途之人
a. 有希望的, 怀抱希望的, 保持乐观的"
unexpected,"a. 料想不到的, 突然的, 意外的
"
begin,"v. 开始
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
beginning,n. 开始
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
ending,"n. 终止, 终了, 收场
"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
completion,"n. 完成
"
wholly,"adv. 完全地, 整个, 统统, 全部
"
behavior,"n. 行为, 举止
"
behaviour,"n. 行为, 举止
"
behavioral,a. 行为的
deed,"n. 行为, 实行, 契约
vt. 立契转让"
believe,v. 相信
belief,"n. 信念, 相信, 信仰"
unbelieving,"a. 不相信的, 不信教的, 多疑的"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
confident,"a. 有信心的, 有把握的"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
undoubtedly,"adv. 无疑, 必定, 确实地"
bell,"n. 铃, 钟
"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
belt,"n. 带子, 地带
"
tape,"n. 带子, 录音带, 磁带, 窄带, 卷尺
vt. 以带子绑起, 测量, 录音
"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
bench,"n. 长椅子
"
shelf,"n. 架子, 搁板
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
biographer,n. 传记作者
bioethics,n. 生物伦理学
biologist,"n. 生物学家
"
biomedical,a. 生物医学
physics,"n. 物理学, 物理过程, 物理现象
"
chemistry,"n. 化学, 化学过程
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
geography,"n. 地理学, 地理
"
geology,"n. 地质学, 地质情况"
geological,"a. 地质学的, 地质的"
mathematics,"n. 数学
"
mathematician,n. 数学家
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
historian,"n. 历史学家, 记事者"
prehistoric,"a. 历史以前的, 史前的"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
psychology,"n. 心理学, 心理状态
"
psychoactive,"a. 对神经起显著作用的, 对神经起特殊作用的"
psychological,"a. 心理学的, 精神上的, 心灵的
"
psychologist,"n. 心理学家
"
sociology,"n. 社会学
"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
sociologist,"n. 社会学家
"
socioeconomic,a. 社会经济学的
medicine,"n. 药, 医学, 内科
vt. 给...用药"
medical,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
medicalize,vt.用医学方法处理(非医学问题等)
medication,"n. 药物治疗, 药物处理, 医药
"
robotics,"[计] 机器人学, 自动机工程学"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
genetics,"n. 遗传学
"
gene,"n. 基因
"
clone,"n. 无性系
"
science,"n. 科学, 学科, 学问, 自然科学
"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
prescientific,"a. 科学发展以前的, 近代科学出现以前的"
future,"n. 未来, 将来
a. 将来的, 未来的"
futurologist,n. 未来学家
futurist,"n. 未来派画家, 未来主义者"
billion,"num. 十亿, 十亿个"
billionaire,n. 亿万富翁
million,"n. 百万, 无数
num. 百万"
millionaire,"n. 百万富翁, 大富豪
"
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
twice,"adv. 两次, 两倍"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
zero,"n. 零, 零点, 零度, 无, 乌有, 最低点
a. 零的, 没有的
vt. 调零, 对(炮火等)作协调校正
"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
two,"num. 二, 二个"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
three,"num. 三, 三个"
thirteen,"num. 十三, 十三个"
thirty,"num. 三十, 三十个"
four,"num. 四, 四个
"
forty,"num. 四十, 四十个"
five,"num. 五, 五个"
fifteen,"num. 十五, 十五个"
fifty,"num. 五十, 五十个"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
seven,"num. 七, 七个"
eight,"num. 八, 八个"
eighty,"num. 八十, 八十个"
nine,"num. 九, 九个"
ninety,"num. 九十, 九十个"
eleven,"num. 十一, 十一个"
twelve,"num. 十二, 十二个"
twenty,"num. 二十, 二十个"
dozen,"n. 打, 十二个
a. 一打的"
ten,"num. 十, 十个"
fourteen,"num. 十四, 十四个"
eighteen,"num. 十八, 十八个"
nineteen,"num. 十九, 十九个"
bike,"n. 自行车, 脚踏车"
bus,"n. 公共汽车
"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
car,"n. 汽车, 客车
"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
trucking,n. 货车运输业；货车运输；以货易货
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
railroad,"n. 铁路, 铁路公司
vt. 铺设铁路, 用铁路运输
vi. 在铁路工作"
trainee,"n. 实习生, 新兵, 受培训者
"
trainer,"n. 训练员, 驯马师
"
training,"n. 训练, 培养
"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
