abolish,"vt. 废止, 革除, 消灭
"
coupon,"n. 息票, 赠券
"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
cozy,"a. 舒适的, 安逸的, 惬意的
n. (茶壶等的)保暖罩, 舒适的座位
vt. 以假话使安心"
coziness,"n. 舒适, 安逸, 畅快"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
crisp,"a. 脆的, 新鲜的, 活泼的
v. (使)烘脆, (使)拳曲, (使)起皱
n. 松脆物"
cruelty,"n. 残酷, 野蛮, 残酷行为
"
crumble,"v. (使)粉碎, (使)成为碎屑, 瓦解, 崩溃, 败落"
cucumber,"n. 黄瓜
"
cute,"a. 可爱的, 聪明的, 伶俐的
"
cutely,"adv. 精明地, 伶俐地"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
dart,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
darter,"n. 突进者, 突进物"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
dazzling,"a. 眼花缭乱的, 耀眼的"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
decree,"n. 法令, 判决, 天意
vt. 颁布, 判决
vi. 发布命令"
deem,"v. 认为, 相信"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
defaulter,"n. 不履行义务者, 缺席者, 违反军规者
"
denial,"n. 否认
"
deniable,"a. 可否认的, 可否定的, 可拒绝的"
derivation,"n. 推论, 推导, 来历
"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
destined,"a. 预定的, 注定的, 命定的"
destiny,"n. 命运, 定数"
destine,"vt. 注定, 预定"
diligent,"a. 勤勉的, 用功的"
diligence,n. 勤奋
diploma,"n. 文凭, 毕业证书
"
diplomat,"n. 外交官, 有外交手腕的人
"
diplomatic,"a. 外交的, 老练的
"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
disability,"n. 无力, 无能, 残疾
"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
dispatch,"vt. 派遣
n. 派遣, 急件
"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
dissipation,"n. 消散, 分散, 浪费
"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
dodge,"v. 避开, 躲避
n. 诡计, 躲藏"
dodger,"n. 躲闪者, 用诡计逃脱者, 蒙骗者, 推托者
"
dole,"n. 救济品, 失业救济金
vt. 发放救济"
domain,"n. 领域, 领土, 产业, 范围
"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
drainage,"n. 排水
"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
dreadful,a. 可怕的
dreadfully,"adv. (非正式)非常, 可怕地, 令人惊骇地"
drought,"n. 干旱, 缺乏"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
dwarfish,"a. 象侏儒的, 矮小的"
dwell,"vi. 居住, 居住(于), 存在(于)"
endow,"vt. 捐赠, 捐助, 赋予
"
endowment,"n. 捐助, 天赋, 才能
"
enhance,"vt. 提高, 加强, 增加"
enhancement,"n. 提高, 美化, 增进, 增强, 增加
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
entailment,"[法] 限定继承, 世袭财产"
epoch,"n. 新纪元, 时代, 时期"
eternal,"a. 永恒的, 永远的, 不灭的"
execution,"n. 实行, 完成, 执行, 死刑
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
feeble,"a. 微弱的, 衰弱的, 无效的
"
fitting,"a. 适宜的
n. 试穿, 试衣, 装配, 装置"
flank,"n. 侧面, 侧腹, 胁, 腰窝肉
vt. 攻击侧面, 守侧面
vi. 侧面与...相接"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
foamy,"a. 全是泡沫的, 起泡沫的, 泡沫的"
foremost,"a. 最初的, 最重要的
adv. 在最前"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
forgery,"n. 伪造, 伪造罪, 伪造物
"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
forsake,"vt. 放弃, 断念, 抛弃
"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
fossilize,"vt. 使成化石, 使陈腐
vi. 变成化石, 变陈腐"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
fosterage,"n. 领养, 收养, 养子身份"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
fragrance,"n. 芬芳, 香味"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
frantic,"a. 狂乱的, 疯狂的"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
frequency,"n. 频率, 频数
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
fricative,"a. 由摩擦产生的, 摩擦音的
n. 摩擦音"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
furious,"a. 狂怒的, 激烈的, 吵闹的"
furiously,adv. 狂暴地；猛烈地
fury,"n. 愤怒, 狂暴, 狂怒的人
"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
fusible,"a. 熔解的, 可熔的
"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
gangster,"n. 流氓, 歹徒
"
gangsterism,"n. 强盗行为, 强盗行径"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
gigantic,"a. 巨人般的, 巨大的"
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamorous,"a. 富有魅力的, 迷人的"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
glittery,"a. 闪光的, 闪烁的"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
gorgeous,"a. 华丽的, 灿烂的"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
grimly,"adv. 严格地, 冷酷地, 可怕地"
grin,"n. 露齿笑
v. 露齿而笑"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
grope,"v. 摸索
n. 摸索"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
grumble,"n. 怨言, 满腹牢骚
vi. 抱怨, 发牢骚, 发隆隆声
vt. 抱怨"
grumpy,"a. 性情乖戾的, 脾气暴躁的, 生气的"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
handbook,"n. 手册
"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
hardiness,"n. 强壮, 胆子, 勇气, 耐寒(性), 耐劳(性)"
hasty,"a. 匆匆的, 轻率的, 性怠的"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
hatred,"n. 憎恨, 仇恨, 憎恶
"
hatefully,"adv. 可憎地, 憎恨地"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
hazardous,"a. 危险的, 冒险的, 碰运气的
"
heir,"n. 继承人, 嗣子, 后嗣
"
herb,"n. 药草, 香草
"
herbal,"a. 草药的
"
hinder,"a. 后面的
v. 阻碍, 打扰"
hindrance,"n. 妨害, 障碍, 阻碍物"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
hitherto,"adv. 迄今, 至今"
hoarse,"a. 沙哑的, 嘶哑的
"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
hose,"n. 水管, 橡皮软管, 长统袜
vt. 用水管浇"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
humidity,"n. 湿气, 潮湿, 湿度
"
humidify,vt. 使潮湿
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
hurricane,"n. 飓风, 暴风, 暴风雨"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
indulgent,"a. 纵容的, 任性的, 宽容的"
inevitably,adv. 不可避免地
inevitability,"n. 无法逃避之事, 不可逃避, 必然性
"
ingredient,"n. 成分, 因素
"
inland,"a. 内陆的, 国内的
n. 内地"
inlet,"n. 进口, 插入物
"
input,"n. 输入, 输入电路
vt. 输入
"
insight,"n. 察看, 洞察力, 见识
"
insightful,"a. 有深刻见解的, 富有洞察力的"
intake,"n. 入口, 吸入, 吸入量
"
intrinsic,"a. 本质的, 原有的, 真正的
"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
ironic,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的"
isle,"n. 小岛, 群岛
vt. 使成为岛状
vi. 住在岛屿上"
jerk,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干
vi. 痉挛, 急拉, 急推
vt. 猛拉"
jerky,"a. 急动的, 抽筋的, 不平稳的
n. 牛肉干"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
"
kit,"n. 装备, 工具箱, 成套工具
"
knit,"v. 编织, 结合"
knob,"n. 把手, 瘤, 旋钮, 球形突出物
vt. 使有球形突出物
vi. 鼓起"
lace,"n. 饰带, 花边, 缎带, 鞋带
vt. 结带子, 饰以花边
vi. 系带子
"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
layman,"n. 俗人, 门外汉, 凡人
"
leaflet,"n. 小叶, 传单
"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
liability,"n. 责任, 债务, 倾向
"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
likelihood,"n. 可能, 可能性"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
limpness,"n. 柔弱, 疲倦"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
loftily,"adv. 高尚地, 傲慢地"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
magnetize,"vt. 使带磁力, 吸引
vi. 受磁"
maiden,"n. 年轻未婚女子, 少女, 处女
a. 未婚的, 处女的, 初次的, 无经验的"
mall,n. 林荫路
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
majestic,"a. 宏伟的, 庄严的"
marsh,"n. 沼泽, 湿地
a. 沼泽的"
marshy,"a. 多沼地的, 湿地的, 沼地的"
marshal,"n. 元帅, 陆空军高级将官, 典礼官, 执法官
vt. 整理, 引领, 统率
vi. 排列, 各就各位"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
massive,"a. 大而重的, 宽大的, 宏伟的
"
massiveness,"n. 沉重；巨大, 大块；大量"
masterpiece,"n. 杰作, 名著"
meadow,"n. 草地, 牧场"
membership,"n. 会员的资格, 全体会员, 会员数目
"
mercury,"n. 水银, 汞, 使者
"
mercurous,"a. 水银的, 含水银的, 亚汞的
"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
mingle,v. (使)混合
mistress,"n. 主妇, 女主人, 情妇"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
monetary,"a. 货币的, 金钱的
"
monetarism,[经] 货币主义
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
muscular,"a. 强壮的, 肌肉发达的, 有力的
"
muscularity,"n. 肌肉发达, 强壮, 力大
"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
naive,"a. 天真的, 纯真的, 幼稚的"
naivety,n. 无邪的行为；天真烂漫（等于naivete）
napkin,"n. 餐巾, 餐巾纸, 尿布"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
narration,"n. 叙述, 故事, 叙述文
"
necessitate,"vt. 迫使, 使成为必需, 需要"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
nickname,"n. 绰号, 昵称
vt. 给...取绰号, 叫错名字
"
nil,"n. 无, 全无, 零
"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
oath,"n. 誓约, 誓言, 咒骂
"
obscene,"a. 淫秽的, 猥亵的, 讨人厌的, 可憎的
"
obscenity,"n. 淫秽, 淫秽的语言(或行为、动作), 可憎的事
"
odor,"n. 气味, 香味, 名声, 意味
"
odorous,"a. 芬芳的, 臭的, 有气味的"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
offspring,"n. 子孙, 后代, 产物
"
olive,"n. 橄榄, 橄榄树, 橄榄色, 橄榄枝
a. 黄绿色的, 黄褐色的, 橄榄色的"
orchestra,"n. 管弦乐队, 乐队演奏处"
outlaw,"n. 被剥夺法律保护的人, 罪犯
vt. 使...失去法律保护, 将...逐出社会, 宣告非法, 取缔"
outlawry,n. 逍遥法外
outbreak,"n. 爆发, 暴动
"
outlet,"n. 出口, 发泄方法, 市场
"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
overhear,"vt. 无意中听到, 偷听"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
overwhelming,"a. 压倒性的, 无法抵抗的"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
overpass,"n. 天桥, 旱桥, 立交桥
vt. 超越, 胜过, 通过, 忽略, 侵犯"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
pact,"n. 契约, 协定, 条约
"
pamphlet,"n. 小册子, 活页文选"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
paperback,"n. 平装本, 纸面本"
paradise,"n. 天堂, 乐园, 伊甸园"
pastime,"n. 消遣, 娱乐, 游戏"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
peg,"n. 钉, 桩, 栓, 藉口, 销子, 借口
vt. 钉木钉, 固定, 限制, 使受约束
vi. 坚持不懈地奋力于, 疾行"
penguin,"n. 企鹅, 空军地勤人员"
periodic,"a. 周期的, 定期的, 间歇(性)的, 循环的, 用完整句的, 高碘的
"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
perishable,"a. 易腐坏的, 会枯萎的, 易毁灭的, 不经久的
n. 易腐坏的东西"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
pilgrim,"n. 旅行者, 朝圣者, 香客
vi. 朝圣"
pilgrimage,"n. 朝圣, 漫游, 人生的一段经历
vi. 朝拜, 朝圣, 漫游"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
piracy,"n. 海盗行为, 海上劫掠, 剽窃, 著作权侵害, 非法翻印
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
plaguy,"a. 麻烦的, 讨厌的, 极端的
adv. 非常地, 极度"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
pope,"n. 罗马教皇, 主教"
popery,n. 罗马天主教
porch,"n. 门廊, 走廊"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
practicable,"a. 可实行的, 可做的, 可用的"
practicality,"n. 实际性, 实用性, 实际事物"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
preacher,"n. 传道士, 讲道者, 牧师"
premier,"n. 总理, 首相
a. 首位的, 最初的"
premiership,"n. 总理职位, 首相职权, 首相职位, 总理职权
"
presentation,"n. 赠与, 描述, 介绍
"
prestige,"n. 声望, 威望, 威信
"
prestigious,a. 享有声望的
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
prick,"vt. 刺, 戳, 刺痛, 使竖起
vi. 刺, 竖起
n. 扎, 一刺, 刺痛
a. 竖起的"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
prune,"n. 洋李, 李子干, 深紫红色, 傻瓜
vt. 修剪, 砍掉, 删除
vi. 删除, 删节"
pumpkin,n. 南瓜
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
quarterly,"a. 季度的, 按季度的, 每季的
adv. 按季, 每三个月, 每季一次
n. 季刊"
qualitative,"a. 性质的, 质的, 定性的"
quartz,"n. 石英
"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
quenchless,"a. 难熄灭的, 难镇静的, 难压制的
"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
rackety,"a. 喧扰的, 喧闹的, 寻欢作乐的"
radioactive,"a. 放射性的, 有放射能的
"
radiation,"n. 辐射
"
radius,"n. 半径, 范围, 辐射光线
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
rap,"n. 轻敲, 拍击, 责骂, 无价值的东西
vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷
vi. 敲击, 发敲击声, 交谈, 同情
"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
rating,"n. 等级, 额定功率, 责骂
"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
reaper,"n. 收割者, 收割机"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
realism,"n. 写实主义, 现实, 实在论
"
rebuke,"n. 指责, 谴责, 非难
vt. 斥责, 指责, 制止"
recipe,"n. 食谱, 处方, 秘诀
"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
regulation,"n. 规则, 管理, 调整
"
regulatory,"a. 受控制的, 统制的, 调整的
"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
rehearse,"vt. 预演, 排演, 使熟练掌握, 练习, 复述
vi. 排练, 练习, 演习"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
repay,"v. 偿还, 报答, 报复"
repayment,"n. 付还, 偿还, 报复, 付还的钱
"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
repealable, 撤消的; 废止的
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
rig,"n. 装备, 帆装
vt. 装配, 装扮, 给船装帆, 垄断, 操纵"
rigger,n. 装配工
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
ritualistic,"a. 仪式的, 遵守仪式的"
roam,"v. 漫游, 闲逛, 徜徉
n. 漫步, 漫游"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
scandalous,"a. 不体面的, 可耻的, 诽谤性的, 爱传播丑闻的"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
scoff,"n. 嘲笑, 愚弄, 笑柄, 食品
v. 嘲笑, 嘲弄, 贪吃, 狼吞虎咽地吃"
scoffer,n. 嘲笑者
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
scornful,a. 轻蔑的
