precise,"a. 精确的, 严谨的, 明确的
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
juicy,"a. 多汁液的, 生动的, 多水分的"
apartment,"n. 房间, 公寓"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
consist,"vi. 组成, 存在于, 一致"
actual,"a. 真实的, 实际的, 现行的
"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
electric,"a. 电的, 导电的, 电动的
"
spade,"n. 铲子, 锄, 铲刀, 黑桃
vt. 以锄掘, 把...弄实抹平
vi. 铲"
prescription,"n. 处方, 命令, 指定
"
media,"n. 媒体
"
adequate,"a. 适当的, 足够的
"
merry,"a. 快乐的, 愉快的, 嬉戏作乐的"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
semicircle,n. 半圆形
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
ashamed,"a. 惭愧的, 羞耻的"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
skilled,"a. 熟练的
"
boycott,"n. 联合抵制
vt. 联合抵制"
workmate,"n. 共同工作者, 同事"
explorer,"n. 探险家, 探测者, 勘探器
"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
restrict,"vt. 限制, 限定, 约束
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
reviewer,"n. 评论者, 书评作者, 评论家, 剧评家, 报刊评论家"
audience,"n. 听众, 观众, 读者
"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
energy,"n. 精力, 精神, 活力, 能量
"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
committee,"n. 委员会
"
eventually,"adv. 最后, 终于"
salad,n. 色拉
drawback,"n. 缺点, 退税
"
battery,"n. 电池, 殴打
"
knowledge,"n. 知识, 学问, 认识, 知道"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
convenient,"a. 方便的, 合宜的
"
international,"a. 国际的
n. 国别设定
"
scenery,"n. 风景, 景色, 舞台布景"
appropriate,"a. 适当的
"
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
founding,[计] 铸造
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
predict,"v. 预知, 预言, 预报"
discrimination,"n. 差别, 岐视, 辨别力
"
disgusting,a. 令人厌恶的
excite,"vt. 刺激, 使兴奋, 激励"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
legal,"a. 法律的, 法定的, 合法的
"
flaming,"a. 燃烧的, 热烈的, 色彩鲜明的"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
aware,"a. 知道的, 有觉悟的"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
psychology,"n. 心理学, 心理状态
"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
statue,"vt. 以雕像装饰
n. 雕像"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
excellent,"a. 优良的, 杰出的, 出色的"
amuse,"vt. 消遣, 娱乐, 使发笑"
intend,"vt. 计划, 打算, 意思是
"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
handy,"a. 便利的, 敏捷的, 容易取得的
"
declare,"v. 宣布, 声明, 申报, 断言"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
scissors,"pl. 剪刀
"
blouse,n. 宽松的上衣
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
daylight,"n. 白昼, 日光
vt. 使沐浴于日光
vi. 享有日光"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
rewind,"vt. 重绕
n. 重绕
"
swift,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒
a. 迅速的, 快的, 敏捷的, 立刻的
adv. 迅速地, 敏捷地
"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
disturbing,"a. 引起烦恼的, 令人不安的"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
lively,"a. 活泼的, 鲜明的, 生动的"
sigh,"n. 叹息
vi. 叹息, 渴望
vt. 叹息着说"
discovery,"n. 发现, 被发现的事物
"
manner,"n. 样子, 礼貌, 风格
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
ambassador,"n. 大使
"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
mutton,n. 羊肉
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
aircraft,"n. 航空器, 飞机
"
eager,"a. 热心的, 渴望的, 热望的"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
punctuation,"n. 标点, 标点符号
"
disagreement,"n. 不合, 争论, 不一致
"
belief,"n. 信念, 相信, 信仰"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
procedure,"n. 程序, 过程, 手续
"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
dusty,"a. 灰尘多的, 无聊的, 含糊的, 粉末状的"
republic,"n. 共和国, 共和政体, 团体, 界"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
astronaut,"n. 太空旅行者, 宇航员
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
identification,"n. 识别, 身份证明, 认同
"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
systematic,"a. 有系统的, 分类上的, 体系的
"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
"
invitation,"n. 邀请, 请柬, 引诱
"
cell,"n. 单元, 细胞, 电池
"
mountainous,"a. 多山的, 如山的, 巨大的"
separately,adv. 
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
permission,"n. 许可, 允许
"
yard,"n. 码, 庭院, 工场
"
resemble,"vt. 相似, 类似"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
sunburnt,"a. 晒黑的, 有晒斑的, 日炙的"
nationality,"n. 国籍, 国家, 民族性
"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
outcome,"n. 结果, 出口"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
crossroads,"n. 十字路口, 交叉路口, 聚会的中心地点, (喻)需作抉择的重要关头, 紧要关头"
reservation,"n. 保留, 预定, 保留品, 保留地
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
minimum,"a. 最小的, 最低的
n. 最小值
"
understanding,"n. 理解, 谅解
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
session,"n. 期间, 开庭期, 会议, 学期
"
fortunate,"a. 幸运的, 幸福的"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
pray,"v. 祈祷, 恳求, 请"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
supermarket,"n. 超级市场
"
rainfall,"n. 降雨, 降雨量
"
chat,"n. 闲谈
vi. 闲谈, 聊天"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
damage,"n. 损害, 伤害
v. 损害"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
ambition,"n. 野心, 志向"
rag,"n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服
vt. 责骂, 揶揄, 戏弄
vi. 喧闹"
musician,"n. 音乐家, 乐师, 作曲家"
omelette,"n. 煎蛋卷, 炒蛋"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
handful,"n. 少数, 一把, 棘手事"
unhealthy,a. 不健康的
motto,"n. 箴言, 座右铭, 警句"
drown,"vi. 淹死
vt. 把...淹死, 淹没"
academy,"n. 学院, 院校, 学会"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
radioactive,"a. 放射性的, 有放射能的
"
literature,"n. 文学, 文艺, 著作
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
compensate,"v. 偿还, 补偿, 付报酬"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
dessert,n. 餐后甜点
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
indeed,"adv. 的确, 实在, 真正地, 甚至"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
guidance,"n. 指导, 领导
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
criterion,"n. 标准, 准则, 规范
"
acquaintance,"n. 认识, 相识者"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
troublesome,"a. 麻烦的, 令人讨厌的"
circulate,"v. (使)流通, (使)循环, (使)传播"
quake,"vi. 颤抖, 地震
n. 颤抖, 地震"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
vertical,"a. 垂直的, 直立的
"
sailing,"n. 航行, 航海术, 启航
a. 航行的"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
hibernation,"n. 过冬, 冬眠, 避寒
"
greeting,"n. 祝贺, 问候"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
deadline,"n. 最后期限, 截止期限
"
rely,"vi. 信赖, 依赖, 信任"
peasant,"n. 农夫, 乡下人"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
balcony,"n. 阳台, 戏院楼厅"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
roller,"n. 滚筒, 滚轴, 压路机
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
pity,"n. 遗憾, 同情, 怜悯, 憾事, 可惜
vt. 同情, 怜悯
vi. 觉得可怜, 有同情心"
foresee,"vt. 预见, 预知"
unpleasant,"a. 使人不愉快的, 使人厌恶的, 煞风景的"
disability,"n. 无力, 无能, 残疾
"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
achievement,"n. 完成, 成就, 功业"
practical,"a. 实际的, 现实的, 实用性的
"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
activity,"n. 活动, 行动, 活跃, 活力
"
architect,"n. 建筑师, 设计者, 缔造者"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
racial,"a. 人种的, 种族的
"
generation,"n. 一代, 一世, 产生
"
ecology,"n. 生态学, 社会生态学
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
applicant,"n. 申请者
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
warm-hearted,"a. 热烈的, 热心的, 富有同情心的, 热情的"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
distant,"a. 远的, 疏远的
"
extraordinary,"a. 非常的, 特别的, 非凡的
"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
secondhand,"a. 间接获得的, 旧的, 二手的, 做旧货买卖的
adv. 间接地, 间接听来, 以旧货"
opera,n. 歌剧
kindergarten,n. 幼稚园
insurance,"n. 保险, 保险业, 保险费
"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
dignity,"n. 尊严, 高贵
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
suffering,"n. 苦难, 受苦"
attention,"n. 注意, 注意力
"
assumption,"n. 假定, 自负, 担任, 假装
"
describe,"vt. 描述, 描绘, 画"
regardless,"a. 不管, 不注意, 不顾"
consensus,"n. 合意, 一致, 同感
"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
pronounce,"v. 发音, 宣告, 断言"
university,n. 大学
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
artificial,"a. 人造的, 假的, 非原地产的
"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
starvation,"n. 饥饿, 饿死
"
environment,"n. 环境, 外界, 围绕
"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
announcement,"n. 公告, 发表, 告知
"
data,"pl. 资料, 数据
"
talent,"n. 天才, 才能, 有才干的人, 天资"
belong,"vi. 属于, 合适"
communication,"n. 交流, 交通, 通讯
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
hardly,"adv. 刚刚, 几乎不, 勉强是"
electronic,"a. 电子的
"
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
ski,"n. 滑雪橇
vi. 滑雪"
agriculture,"n. 农业
"
workplace,"n. 工作场所, 工厂, 车间"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
occur,"vi. 发生, 被想到, 存在"
technology,"n. 技术, 工业技术, 术语
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
appoint,"vt. 任命, 指定, 下令
"
confident,"a. 有信心的, 有把握的"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
terror,"n. 恐怖, 可怕的人
"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
sunlight,"n. 日光
"
beneficial,"a. 有益的, 受益的
"
vocabulary,"n. 词汇(量), 词汇表
"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
curriculum,"n. 课程
"
composition,"n. 作文, 创作, 组成
"
grey,"n. 灰色
a. 灰色的, 阴沉的
v. (使)成灰色"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
sidewalk,n. 人行道
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
divorce,"n. 离婚
vt. 与...离婚"
react,"vi. 起反应, 起作用, 反攻
"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
cigarette,"n. 香烟, 纸烟"
altitude,"n. 高度, 海拔, 高处
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
amaze,vt. 使吃惊
furniture,"n. 家具, 帆具"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
beancurd,n. 豆腐
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
disturb,"vt. 扰乱, 妨碍, 使不安
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
wag,"vt. 摇摆, 摇动, 饶舌
vi. 摆动, 喋喋不休
n. 摇摆, 爱说笑打趣的人"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
