finale,"n. 结局, 最后乐章, 终曲"
patriarchal,"a. 家长的, 族长的, 由族长统治的
"
handicapped,"a. 残疾的
"
outdated,"a. 旧式的, 落伍的, 过时的"
kosher,"a. 合犹太人戒律的, 清净的, 合适的"
coastline,n. 海岸线
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
foray,"vi. 侵略, 劫掠, 袭击
n. 侵掠, 侵略, 攻击"
accreditation,"n. 委派, 信托, 鉴定合格
"
analogous,"a. 类似的, 相似的
"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
first-round,前一单轮
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
scold,"n. 好骂街的人, 责骂
v. 责骂"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
torque,"n. 扭转力, 转矩, 项圈
"
installment,"n. 就职, 装设, 分期付款
"
necessitate,"vt. 迫使, 使成为必需, 需要"
slug,"n. 鼻涕虫, 刺蛾, 懒汉, 弹丸, 金属小块, 重击
vi. 偷懒, 动作迟缓
vt. 重击"
ho,"interj. 嗬(表示惊讶或引人注意)
"
rebuilding,n. 重建
curricular,a. 课程的
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
understandably,"adv. 可懂, 可了解, 可理解"
slowdown,"n. 降低速度, 减速"
sectarian,"a. 宗派的, 党派的, 偏狭的
n. 宗派成员, 闹宗派的人"
nourish,"vt. 滋养, 使健壮, 怀有"
upbringing,n. 教养
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
sixteenth,"num. 第十六, 十六分之一"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
"
strategically,"adv. 在战略上, 颇策略地"
minivan,n. 小型货车
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
festivity,"n. 节日, 喜庆日, 欢宴, 欢庆"
likeness,"n. 相象, 相似物, 样子"
barrage,"n. 弹幕, 掩护炮火
vt. 以密集炮火进攻"
drinker,"n. 饮者, 酒徒"
inspiring,a. 鼓舞人心的
savior,"n. 救助者, 救世主, 救星"
hacker,"[计] 计算机窃贼, 计算机新技术挑战者, 黑客"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
polymer,"n. 聚合物, 聚合体
"
thrift,"n. 节约, 茂盛, 海石竹"
subgroup,"n. 小群, 隶属的小组织, 子群
"
reflex,"n. 反射, 反射光, 映像
a. 反射的, 折转的
vt. 使折转, 使折回"
consolation,"n. 安慰, 令人安慰的事物
"
Spaniard,n. 西班牙人
intolerance,"n. 不宽容, 偏狭, 不容许相反的言论
"
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
dispatch,"vt. 派遣
n. 派遣, 急件
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
nicotine,"n. 烟碱, 尼古丁
"
insulate,"vt. 使绝缘, 隔离
"
conglomerate,"a. 聚成球形的, 砾岩性的
n. 集成物, 混合体, 砾岩
v. (使)凝聚成团"
honorary,"a. 荣誉的, 无报酬的, 道义上的
"
receptionist,n. 接待员
transmitter,"n. 传送者, 传达人, (疾病的)传播者
"
ivy,"n. 常春藤
a. 学院的, 抽象的"
cheerleader,n. 啦啦队长
sealed,"a. 未知的, 密封的
"
disproportionate,a. 不成比例的
bailout,跳伞
audition,"n. 听, 听力, 试听
"
All-American, [体]全美国的
Portuguese,"n. 葡萄牙人, 葡萄牙语
a. 葡萄牙的, 葡萄牙人的, 葡萄牙语的"
anti-war,adj. [军] 反战的
operative,"a. 动作的, 运转的, 有效的, 关键的, 手术的
n. 技工, 侦探"
township,"n. 小镇, 镇区
"
dissatisfied,"a. 不满的, 显出不满的"
anthology,"n. 选集, 诗选"
notoriously,"adv. 臭名昭著的, 声名狼藉的"
herring,"n. 青鱼, 鲱"
vacancy,"n. 空, 空白, 空缺, 空虚, 空闲
"
regiment,"n. （军队）团, 大量（人或物）
v. 组编成团，组织，严格管制"
unbearable,"a. 无法忍受的, 承受不住的"
imprint,"vt. 印, 铭刻
n. 印, 印记, 特征, 痕迹, 版本说明"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
supplemental,"a. 补足的, 追加的
"
addictive,a. 上瘾的
packing,"n. 包装, 填垫材料, 封函, 行李
"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
ion,"n. 离子
"
seedling,"n. 秧苗, 树苗
"
wares,"n. 货物, 商品
"
quaint,"a. 古雅的, 离奇有趣的, 奇怪的"
nigger,"n. 黑人, 社会地位低下的人, 深棕色
"
time-consuming,adj. 耗费时间的，旷日持久的
skid,"vt. 刹住, 滚滑
vi. 打滑
n. 刹车, 滑动垫木"
prehistoric,"a. 历史以前的, 史前的"
two-story, 两层的
tofu,n. 豆腐
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
ascent,"n. 上升, 提高, 攀登, 上坡路"
federation,"n. 联邦, 联合, 联盟
"
abuser,n. 滥用者
hospice,"n. 旅客住宿处, 收容所"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
globally,[计] 全局地
beta,"n. 希腊字母表的第二个字母
"
outlaw,"n. 被剥夺法律保护的人, 罪犯
vt. 使...失去法律保护, 将...逐出社会, 宣告非法, 取缔"
brilliance,"n. 卓越, 光辉
"
oasis,"n. 绿洲, 舒适的地方
"
underwater,"a. 在水中的
adv. 在水下"
thirsty,"a. 口渴的, 渴望的, 干燥的"
misfortune,"n. 不幸, 灾祸, 坏运气
"
anecdotal,"a. 轶事的, 爱谈奇闻轶事的, 多轶事的"
reverence,"n. 尊敬, 敬重, 敬礼, 尊严, 威望
vt. 崇敬, 敬畏, 尊敬"
smoked,a. 熏制的
tapestry,"n. 挂毯, 绒绣
vt. 用挂毯装饰"
telling,"a. 有效的, 显著的, 显露内心活动的"
obese,"a. 肥胖的
"
hostess,"n. 女主人, 女房东, 女老板"
bath,"n. 沐浴, 浴室
"
balk,"n. 障碍, 错误, 失败
vt. 阻止, 错过, 推诿
vi. 逡巡不前"
thoughtfully,"adv. 沉思地；体贴地, 亲切地"
estimation,"n. 判断, 估计, 尊重
"
clad,"vt. 在金属外包上另一种金属
a. 包层金属的
clothe的过去式和过去分词"
monstrous,"a. 巨大的, 畸形的, 怪异的
"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
aquarium,"n. 水族馆, 养鱼池, 水草缸
"
scarlet,"n. 猩红色, 绯红色, 红衣
a. 绯红色的, 鲜红色的"
adjective,"n. 形容词
a. 形容词的, 从属的"
inception,"n. 起初, 获得学位"
jihad,"n. 讨伐异教徒, 拥护运动"
brother-in-law, 姐夫，妹夫
rosemary,"n. 迷迭香
"
unintended,"a. 不是存心的, 无心的, 非故意的"
feud,"n. 不和, 封地, 争执
vi. 长期不和, 擦亮"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
squirm,"vi. 蠕动, 辗转不安
n. 蠕动"
lecturer,"n. 演讲者, 讲师
"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
beaten,"a. 被打败了的, 筋疲力竭的, 敲平的, 踏平的
beat的过去分词"
moratorium,"n. 延期偿付, 暂停
"
sprig,"n. 小树枝, 无头钉
vt. 用小树枝装饰, 用钉子钉上, 使蔓生"
embryonic,"a. 萌芽的, 初期的, 未成熟
"
contaminant,"n. 污染物, 沾染物
"
resurgence,"n. 再起, 复活, 再现"
brilliantly,"adv. 辉煌地, 光亮地, 灿烂地"
convertible,"a. 可改变的, 可交换的
n. 有活动篷的汽车"
winery,n. 葡萄酒厂
anew,"adv. 重新, 再"
grad,n. 毕业生；校友
fledgling,"n. 羽毛初长的雏鸟, 刚会飞的幼鸟, 无经验的人"
audible,"a. 听得见的
"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
disapproval,n. 不赞成
fabricate,"vt. 制造, 建造, 装配, 伪造"
year-old,[网络] -岁
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
modernize,"vi. 现代化
vt. 使现代化"
pharmacist,"n. 药师, 药品商, 药商, 药剂师
"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
pantry,"n. 餐具室, 食品室"
avocado,"n. 鳄梨, 鳄梨树"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
brandy,"n. 白兰地酒
"
getaway,"n. 逃走, 起步"
trusted,a. 可信的；受信任的
unused,"a. 不用的, 不在使用的, 从未用过的"
casserole,"n. 餐桌上用有盖的焙盘, 砂锅菜
"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
predictive,"a. 预言性的, 成为前兆的"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
sublime,"a. 高尚的, 壮观的, 卓越的
v. 提高, (使)变高尚, (使)纯化, (使)升华
n. 庄严, 崇高, 顶点"
complexion,"n. 肤色, 情况, 局面
"
decency,"n. 得体, 礼貌, 正派
"
plaid,"n. 格子花呢披风, 格子花呢, 格子图案"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
internship,"n. 实习医师的职务
"
forestry,"n. 林学, 森林地
"
infiltrate,"vt. 使浸润, 使潜入, 使渗入
vi. 渗入
n. 渗透物"
testosterone,"n. 睾丸激素
"
paramedic,"n. 伞兵军医, 伞降急救人员"
wrench,"n. 扳钳, 扳手, 扭伤, 歪曲, 痛苦
vt. 猛扭, 扭伤, 曲解, 折磨
vi. 猛扭, 猛绞"
tendon,"n. 腱
"
accessibility,"n. 易接近, 可进入
"
pixel,"n. 像素
"
enlightened,"a. 有知识的, 进步的, 文明的"
interrogate,"vt. 质问, 讯问, 审问
vi. 质问, 讯问"
zucchini,n. 绿皮密生西葫芦
ecstatic,"n. 狂喜的人
a. 狂喜的"
grieving,"v. 感到悲痛, 伤心( grieve的现在分词 ); 使…伤心"
waive,"vt. 不坚持要求, 放弃, 推迟考虑, 丢弃
"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
chatter,"n. 饶舌, 啁啾, 喋喋不休
vi. 喋喋不休地谈, (鸟)啭鸣"
disintegrate,"vt. (使)分解, (使)碎裂
"
Headnote,"[法] 眉批, 顶批, 批注"
conceivable,"a. 想得到的, 可想象的, 可理解的"
obliterate,"vt. 擦去, 冲刷(掉), 消灭, 忘掉, 盖销(邮票等)
"
hanging,"n. 绞死, 绞杀, 悬挂
"
thaw,"n. 融解, 融化, 解冻时期
vt. 使融解, 使缓和
vi. 融化, 解冻"
visitation,"n. 访问, 探望, 视察"
hypertension,"n. 高血压, 过度紧张
"
zipper,n. 拉链
detach,"vt. 使分离, 分遣
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
rover,"n. 漂泊者, 流浪者, 海盗
"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
biopsy,"n. 活组织检查
"
Belgian,"n. 比利时人
a. 比利时的"
exploratory,"a. 探究, 探查, 探察(伤处), 探险, 探测, 勘探, 考察, 钻研, 探索
"
clientele,"n. 诉讼委托人, 客户
"
snore,"n. 鼾声, 打鼾
vi. 打鼾
vt. 打鼾度过"
slate,"n. 板岩, 页岩, 提名名单, 人选, 记录, 石板
a. 石板色的
vt. 铺石板, 责骂, 痛打"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
zinc,"n. 锌
vt. 镀锌于"
mediocre,"a. 不好不坏的, 通常, 平凡的"
heartland,"n. 心脏地区, 中心地带"
entrust,"vt. 信托, 交托, 委托
"
adrenaline,"n. 肾上腺素
"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
endowment,"n. 捐助, 天赋, 才能
"
cutback,"n. 情节倒叙, 减少, 短截植物
"
present-day, 当代；现代；当今
beacon,"n. 烽火, 灯塔
v. 照亮"
reorganization,"n. 改组, 再编制, 改造
"
aye,"n. 赞成票, 投赞成票者
adv. 永远
interj. (表决时说)赞成"
sacrament,"n. 圣礼, 圣事, 誓言
vt. 使立誓, 使宣誓"
incremental,"a. 增加的, 增值的
"
remedial,"a. 治疗的, 补救的, 矫正的
"
narrate,"v. 说故事, 说明, 叙述"
inflammatory,"a. 激动的, 煽动的, 炎症性的
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
excerpt,"n. 摘录
v. 引用, 摘录"
taut,"a. 拉紧的, 整洁的, 紧张的"
caste,"n. 印度的种姓制度, (排他的)社会团体"
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
outright,"a. 率直的, 完全的, 总共的, 直率的
adv. 完全地, 率直地, 立刻地, 一直向前"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
speck,"n. 斑点, 有斑点的东西, 污点, 缺点, 微粒, 肥肉
vt. 使有斑点"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
unanimously,"adv. 全体一致, 无异议, 一致同意"
gymnastics,"n. 体操, 体育
"
gritty,"a. 有砂砾的, 坚韧不拔的"
completed,a. 完整的；完全的
pleasantly,"adv. 和蔼地, 亲切地；友好地；愉快地"
saloon,"n. 大厅, 沙龙, 酒吧, 会客室"
rift,"n. 裂口, 空隙
vi. 裂开
vt. 使分开, 使割开"
curfew,"n. 晚钟, 打晚钟时刻, 宵禁
"
tattered,"a. 破烂的, 褴褛的"
courtship,"n. 求爱, 求婚, 求爱时期"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
rendition,"n. 译文, 施舍, 表演
"
orgasm,"n. 极度兴奋, 兴奋的高潮, (感情等的)爆发
"
objectivity,"n. 客观, 客观现实, 客观性
"
undecided,"a. 未定的, 不明确的"
gracefully,adv. 优雅地；温文地
slick,"a. 光滑的, 熟练的, 聪明的, 华而不实的, 老套的, 陈腐的
adv. 灵活地, 聪明地
vt. 使光滑, 使漂亮
vi. 打扮整洁
n. 光滑平面, 平滑器, 修光工具"
Kuwaiti,"a. 科威特的, 科威特人的
n. 科威特人"
encyclopedia,n. 百科全书
preseason,"a. 活跃季节前的,旺季前的"
shortfall,"n. 不足, 不足量
"
Pentagon,"n. 五角形, 五边形
"
cellphone,n. 蜂窝式便携无线电话；大哥大
progressively,"adv. 进步, 先进, 向前进, 不断前进, 累进, 渐进, 逐渐, 渐次, 主张进步, 进行性"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
melting,"a. 熔化的, 温柔的, 令人感动的, 甜美的
"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
satire,"n. 讽刺文学, 讽刺"
biomass,"n. 生物量
"
victimization,"n. 牺牲, 欺骗"
dues,"n. 税, 应付款, 该缴之款
"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
extraction,"n. 抽出, 取出, 拔出术, 抽出物
"
affidavit,"n. 宣誓书, 书面陈述
"
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
bloody,"a. 血腥的, 嗜杀的, 有血的"
principally,"adv. 主要地, 大部分"
behold,"vt. 看到, 注视
vi. 看"
beforehand,adv. 预先
cubicle,"n. 小卧室
"
proportional,"a. 比例的, 相称的
n. 比例项"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
dart,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
remorse,"n. 懊悔, 良心不安, 自责, 同情
"
wring,"n. 扭绞, 拧, 挤
vt. 拧, 绞, 扭, 勒索, 折磨, 使痛苦
vi. 蠕动, 扭动, 绞, 扭, 感到痛苦"
yen,"n. 日元(日本货币单位), 渴望, 嗜好
vi. 渴望"
margarine,"n. 人造黄油
"
lookout,"n. 注意, 前途, 了望台, 景色
"
pew,"n. 教堂长椅, 会众, 座位
vt. 为(教堂)安装座位, 把...围在一起"
neural,"a. 神经的, 神经系统的, 神经中枢的, 背的
"
Austrian,"n. 奥地利人
a. 奥地利的, 奥地利人的"
sewing,"n. 缝制品, 缝纫"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
pedestal,"n. 支柱, 基架, 基座, 基础
vt. 加座, 搁在台上, 支持, 提高...的地位"
batting,"n. 击球, 球棒的使用, 棉絮
"
tedious,"a. 沉闷的, 冗长乏味的"
cot,"n. 行军床, 小屋, (家畜等的)棚, (家畜等的)栏
"
nostalgic,"a. 乡愁的, 怀旧的
"
dignified,"a. 有尊严的, 高尚的"
relentlessly,"adv. 不仁慈, 严酷, 无情, 坚韧, 不懈, 不屈不挠"
folded,v. 折叠；交叉合拢；失败垮台；把牲畜关在栏中（fold的过去分词）
scroll,"n. 卷轴, 画卷, 名册, 条幅, 滚动
v. (使)成卷形
"
scripture,"n. 圣经, 圣经的一节, 圣经的一句, 铭文"
makeover,n. 化妆美容；大转变
humanities,n. 人文学科
omission,"n. 省略, 遗漏, 疏忽
"
turbulence,"n. 混乱, 动荡, 骚乱, 紊流
"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
emeritus,"a. 名誉退休的, 退休后保留头衔的"
collective,"a. 集体的, 聚集的, 共同的
"
confound,"vt. 使混淆, 使狼狈, 挫败"
parody,"n. 打油诗文, 诙谐的模仿诗文, 拙劣的模仿
vt. 拙劣模仿, 作模仿诗文"
nation-state, 单一民族国家
alternatively,adv. 非此即彼
holding,"n. 把持, 支持, 保持
"
mathematician,n. 数学家
rebate,"n. 部分退款, 折扣
vt. 退还, 打折扣
vi. 退还部分付款"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
Ethiopian,"a. 埃塞俄比亚的
n. 埃塞俄比亚人"
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
annoyance,"n. 烦恼, 打扰, 可厌之事
"
diarrhea,"n. 腹泻
"
paranoia,"n. 偏执狂, 多疑症
"
cadre,"n. 框架, 干部
"
abdominal,"a. 腹部的, 有腹鳍的
"
differentiation,"n. 区别, 分化, 变异
"
insecure,"a. 不安全的, 不牢靠的, 不坚固的, 不稳定的"
biographer,n. 传记作者
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
relocation,"n. 再布置, 变换布置
"
halfway,"a. 中途的, 不彻底的, 部分的
adv. 半路地, 在中途, 在半途"
modern-day,a. 现代的；当代的
spew,"vi. 呕吐, 喷涌
vt. 呕出, 喷
n. 呕吐物, 喷涌物"
born,"a. 天生的
bear的过去分词"
majestic,"a. 宏伟的, 庄严的"
cleanse,"vt. 使清洁, 净化, 使纯净
"
surreal,a. 超现实主义的；离奇的；不真实的
identifiable,"a. 可辨认的
"
blue-collar,"[法] 蓝领阶级的, 工人阶级的"
adopted,"a. 被收养的, 被采用的"
individualism,"n. 个人主义, 个人特征
"
amnesty,"n. 大赦, 赦免"
disgusted,a. 厌恶的；厌烦的
delineate,"vt. 描绘...的轮廓, 描绘, 描写"
commend,"vt. 嘉奖, 委托给, 推荐"
rink,"n. 溜冰场, 室内溜冰场
vi. 溜冰"
confiscate,"vt. 没收, 把...充公, 查抄
a. 被没收的"
neuron,"n. 神经原, 轴索, 神经细胞
"
rafter,"n. 椽, 筏夫
vt. 装椽于"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
paradoxically,"adv. 反论, 荒谬, 自相矛盾, 似非而可能是"
deli,n. 熟食店；熟食品（等于delicatessen）
resilience,"n. 弹回, 有弹力, 恢复力
"
encircle,"vt. 环绕, 围绕, 包围"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
generously,adv. 宽大地；慷慨地；丰盛地
hydraulic,"a. 与水有关的, 水力的, 水压的
"
coroner,"n. 验尸官
"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
measured,"a. 整齐的, 慎重的, 基于标准的"
boldly,"adv. 大胆地, 显眼地"
lotion,"n. 洗液
"
delicately,adv. 优美地；微妙地；精致地
impediment,"n. 妨碍, 障碍, 阻止, 口吃
"
burglary,"n. 夜盗行为, 盗窃, 盗窃行为
"
dynasty,"n. 朝代, 王朝"
rediscover,vt. 重新发现
watery,"a. 水的, 湿的, 平淡的, 稀薄的, 水淋淋的"
disco,"n. 夜总会, 迪斯科, 的士高"
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
buttocks,n. 臀部
forcefully,adv. 激烈地；强有力地；有说服力地
bewildered,"a. 困惑的; 晕眩的; 混乱的; 不知所措的
v. 使困惑"
resurrect,"vi. 复活
vt. 使复活, 复兴, 恢复, 盗掘"
