economy,"n. 经济, 理财, 节约
"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
sorrowful,a. 悲伤的
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
crowd out,"挤出, 排挤"
overcrowd,"vt. 容纳过多的人, 使过度拥挤"
nation,"n. 国家, 民族
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
nationality,"n. 国籍, 国家, 民族性
"
nationalist,"n. 国家主义者, 民族主义者"
nationalism,"n. 民族主义, 民族特性"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
stationery,"n. 文具, 信纸
"
situation,"n. 情形, 境遇, 位置
"
situate,"vt. 使位于, 使处于"
create,"vt. 创造, 建造, 引起, 任命"
creation,"n. 创造, 创作物, 发明
"
creative,"a. 有创造力的, 创作的, 产生的"
creator,"n. 上帝, 创造者, 创作者"
creature,"n. 人, 动物, 创造物, 生物"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
recreational,"a. 消遣的, 娱乐的"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
heated,"a. 热的, 激昂的, 兴奋的"
heating,"n. 加热, 供热, 暖气设备, 供暖系统, 暖气装置
a. 加热的, 供暖的"
neat,"a. 整洁的, 巧妙的, 匀称的, 简洁的
n. 牛"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
showy,"a. 艳丽的, 炫耀的"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
sew,"vt. 缝纫, 缝合, 缝
vi. 缝纫"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
innumerable,"a. 无数的, 数不清的"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
numerous,"a. 很多的, 数目众多的, 多数的
"
outnumber,"vt. 数目超过, 比...多"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
ending,"n. 终止, 终了, 收场
"
endless,"a. 不停的, 无穷尽的, 无尽的
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
blend,"vt. 混合
n. 混合"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
plow,"n. 犁
v. 犁, 耕"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
provided,"conj. 倘若, 以...为条件"
province,"n. 省, 地方, 职权, 领域
"
provincial,"n. 外地人, 粗野的人
a. 省的, 外地的, 偏狭的"
proverb,"n. 谚语, 格言, 箴言
vt. 使众所周知, 用谚语表达"
proverbial,"a. 谚语的, 谚语式的, 闻名的"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
in the long run,"长远, 最后"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
approval,"n. 赞成, 批准
"
disapproval,n. 不赞成
disapprove,v. 不赞成
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
improvement,"n. 进步, 改善, 利用
"
require,"vt. 需要, 命令, 要求
"
requirement,"n. 需求, 必要条件, 要求
"
acquire,"vt. 获得, 学到
"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
acquisition,"n. 获得, 获得物
"
inquire,"v. 询问, 问明, 查究"
inquiry,"n. 质询, 探索, 调查, 询盘
"
inquisitive,"a. 好问的, 想知道的, 好追根究底的"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
exquisite,"a. 精致的, 细腻的, 敏锐的"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
shortage,"n. 不足, 缺乏
"
shortly,"adv. 不久, 简短, 唐突地"
shortcoming,"n. 缺点, 短处"
shorthand,"n. 速记
"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
unpaid,"a. 未付款的, 不支薪水的
"
prepaid,a. 先付的
repay,"v. 偿还, 报答, 报复"
repayment,"n. 付还, 偿还, 报复, 付还的钱
"
payroll,"n. 工资名单, 饷金名单, 发放的工资总额
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
systematic,"a. 有系统的, 分类上的, 体系的
"
systematically,"adv. 有系统地, 有组织地, 有条理地"
item,"n. 项目, 条款, 一则, 项
"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
technology,"n. 技术, 工业技术, 术语
"
technological,"a. 技术的
"
technique,"n. 技巧, 技术, 方法
"
technician,"n. 技师
"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
biotechnology,n. 生物工艺学；生物技术
polytechnic,"a. 各种工艺的, 工艺教育的
n. 工艺专科学校, 理工专科学校"
high-tech,高技术
able,"a. 能干的, 能够的"
ability,"n. 能力, 才干
"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
disabled,"a. 残废的, 有缺陷的, 失效的
"
disability,"n. 无力, 无能, 残疾
"
enable,"vt. 使能够
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
instability,"n. 不安定, 不稳定
"
stabilize,"vt. 使安定, 使稳固
vi. 稳定, 安定"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
stapler,"n. 主要物产商, 把羊毛分级的人, 订书机
"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
become,"vi. 变成, 变得
vt. 适合"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
comedy,"n. 喜剧, 有趣的事情"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
comma,"n. 逗点, 逗号"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
serving,"n. 服务, 招待, 上菜, 一份食物"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
observation,"n. 观察, 注意, 观测, 观察力
"
observer,"n. 观察者, 遵守者, 观察员
"
observant,"a. 严格遵守...的, 留心的, 当心的, 观察力敏锐的, 注意观察的
"
observatory,"n. 天文台, 气象台, 了望台"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
conservation,"n. 保护, 保存
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
preservation,"n. 保存, 保藏, 保护
"
preservative,"a. 有助于保存的, 有保存力的
n. 预防药, 防腐剂"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
reservation,"n. 保留, 预定, 保留品, 保留地
"
reserved,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
nervous,"a. 神经紧张的, 不安的, 神经的
"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
kick in, 向里踢进去; 踢坏; <非正>缴付
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
affectionate,"a. 深情的, 充满情爱的"
defect,"n. 缺点
"
defective,"a. 有缺陷的, 欠缺的
n. 有缺陷的人, 不完全变化词"
defection,"n. 背叛, 缺乏, 毛病
"
infect,"vt. 传染, 感染
"
infection,"n. 传染, 影响, 传染病
"
infectious,"a. 有传染性的, 易传染的
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
perfection,"n. 完美, 完成, 极端
"
perfectly,"adv. 完全地, 无瑕疵地, 完整地"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
owner,"n. 拥有者, 物主, 所有人
"
ownership,"n. 所有权, 物主身份
"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
drown,"vi. 淹死
vt. 把...淹死, 淹没"
clown,"n. 小丑, 乡下人"
renown,"n. 名声, 声望
vt. 使有声望"
renowned,"a. 有名的, 有声誉的"
fall for," 上当, 听信; 爱上"
well-known, 众所周知的; 出名的
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
marketing,"n. 行销, 买卖
"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
landmark,"n. 陆标, 划时代的事, 地界标
"
trademark,"n. 商标
"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
choosy,"a. 慎重选择的, 好挑剔的"
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
loosen,"vt. 放松, 松开, 解除
vi. 变松, 松弛"
person,"n. 人, 人身, 人称
"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
reason,"n. 理由, 原因, 理智, 道理, 前提, 理性
vt. 说服, 推论, 辩论
vi. 推论, 劝说, 思考"
reasonable,"a. 合理的, 明理的, 适当的
"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
seasonal,"a. 季节的, 依照季节的, 周期性的
"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
gradually,adv. 逐渐地
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
downgrade,"vt. 降低, 贬低
n. 下坡
a. 下坡
adv. 下坡"
degrade,"v. (使)降级, (使)退化"
degradation,"n. 降格, 堕落, 退化
"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
homeland,"n. 本国, 故国"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
domestic,"a. 家庭的, 国内的, 驯养的
"
energy,"n. 精力, 精神, 活力, 能量
"
energetic,"a. 精力充沛的, 积极的"
energetically,"adv. 精力充沛地, 积极地"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
enthusiasm,"n. 巨大的热情, 热心"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
enthusiastically,"adv. 热心地, 狂热地"
enthusiast,"n. 热心家, 狂热者, 爱好者"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
publicize,vt. 宣传
publicity,"n. 名声, 宣传, 公开场合
"
publicly,"adv. 公然地, 以公众名义"
republic,"n. 共和国, 共和政体, 团体, 界"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
spring up,出现
publication,"n. 出版物, 出版, 公布
"
publisher,"n. 出版者, 发行人
"
pub,"n. 酒馆, 客栈"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
rating,"n. 等级, 额定功率, 责骂
"
ratio,"n. 比, 比率
"
crate,"n. 板条箱, 装货箱
"
narrate,"v. 说故事, 说明, 叙述"
narrator,"n. 讲述者, 叙述者
"
narration,"n. 叙述, 故事, 叙述文
"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
piracy,"n. 海盗行为, 海上劫掠, 剽窃, 著作权侵害, 非法翻印
"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
vibration,"n. 振动, 颤动
"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
heel-dragging,"n. 迟疑不决, 延滞"
kneel,vi. 跪下
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
supportive,"a. 支撑, 支承, 资助, 赞助, 支援, 经受, 忍受, 扶养, 证实, 鼓励, 维持, 伴奏"
supporter,"n. 支持者, 后盾, 迫随者, 护身织物
"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
transportation,"n. 运输, 输送, 交通车辆
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
importation,"n. 进口, 输入品
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
exportation,"n. 输出, 出口物, 输出品, 出口
"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
"
portable,"a. 可携带的, 可搬运的, 可移动的
"
portfolio,"n. 皮包, 公文包, 部长职务, 有价证券财产目录, 艺术代表作选辑
"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
reporter,"n. 记者, 报告者
"
deport,"vt. 举止, 驱逐出境
"
deportation,"n. 驱逐出境, 放逐
"
opportunity,"n. 机会, 时机"
believe,v. 相信
belief,"n. 信念, 相信, 信仰"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
achievement,"n. 完成, 成就, 功业"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
make ends meet,"量入为出,使收支相抵"
grievous,"a. 痛苦的, 严重的, 充满悲伤的
"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
retrieval,"n. 取回, 恢复, 检索
"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
trainer,"n. 训练员, 驯马师
"
trainee,"n. 实习生, 新兵, 受培训者
"
training,"n. 训练, 培养
"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
drainage,"n. 排水
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
restrain,"vt. 抑制, 阻止, 束缚
"
restraint,"n. 抑制, 克制, 束缚
"
constrain,"vt. 强迫, 限制, 关押"
constraint,"n. 强制, 约束
"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
freedom,"n. 自由, 坦率, 特权
"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
frozen,"a. 冻结的, 冰冷的, 严寒的, 冻伤的, 冷酷的
freeze的过去分词"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
frosty,"a. 霜冻的, 严寒的, 冷淡的"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
