technology,"n. 技术, 工业技术, 术语
"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
solitude,"n. 孤独, 单独, 孤寂"
specialty,"n. 专业, 专长, 特产, 特制品, 特性, 特点
a. 专门的, 独立的"
spectator,"n. 观众, 目击者, 旁观者"
spectrum,"n. 光谱, 范围, 系列
"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
stump,"n. 残株, 树桩, 烟蒂, 讲演台
vt. 砍断, 挑战, 难住
vi. 蹒跚而走"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
subscription,"n. 捐献, 订金, 订阅, 签署, 同意
"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
suffice,"vi. 足够, 有能力
vt. 满足"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
surveillance,"n. 监视, 监督
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
swap,"n. 以货易货
v. 交换, 替换, 交易
"
testify,"v. 证明, 作证, 声明, 表明"
tract,"n. 大片土地, 地带, 小册子
"
trek,"vi. 牛拉货车, 艰苦跋涉
n. 牛车旅行, 艰苦跋涉"
trillion,"n. 大量
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
turmoil,"n. 骚动, 混乱"
unleash,"vt. 解开...的皮带, 发出, 发动"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
abort,"vi. 流产, 中途失败
vt. 使流产, 使失败, 使中止"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
affix,"vt. 使附于, 署名, 粘贴, 盖印于
n. 附加物, 词缀"
agony,"n. 极大的痛苦, 挣扎
"
ail,"vt. 使苦恼
vi. 生病, 处境困难
"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
allergic,"a. 对...过敏的, 极反感的
"
allocate,"vt. 分派, 分配
"
allot,"vt. 分配, 分摊指定
"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
arena,"n. 角斗场, 舞台, 场地
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
ascribe,"vt. 归因于, 归咎于
"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
besiege,"vt. 围攻, 包围"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
brink,"n. 边缘, 陡岸"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
canvas,"n. 帆布, 画布, 油画
"
cape,"n. 岬, 海角, 披肩, 斗蓬"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
carving,"n. 雕刻品, 雕刻, 雕刻术"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
commend,"vt. 嘉奖, 委托给, 推荐"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
concede,"vt. 承认, 退让
vi. 让步"
concise,"a. 简洁的, 简明的"
coral,"n. 珊瑚, 珊瑚色
"
credible,"a. 可信的, 可靠的
"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
denote,"vt. 指示, 表示"
denounce,"vt. 告发, 抨击, 谴责
"
derail,"vt. 使出轨
n. 脱轨器
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
destiny,"n. 命运, 定数"
detach,"vt. 使分离, 分遣
"
deter,"vt. 制止, 吓住, 威慑"
devour,"vt. 吞食, 挥霍, 吞没"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
displace,"vt. 移置, 替换, 转移"
divert,"vt. 转移, 使欢娱
vi. 转移"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
dressing,"n. 调味品, 穿衣, 化妆
"
dub,"vt. 配音, 轻点, 授予称号, 击
n. 一下击鼓声, 笨蛋"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
ego,"n. 自我
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
elicit,"vt. 引出, 推导出, 引起"
eminent,"a. 显赫的, 杰出的, 有名的"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
envelop,"vt. 包封, 遮盖, 包围
n. 信封"
equation,"n. 相等, 等式, 平衡
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
etiquette,"n. 礼仪, 礼节, 成规
"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
flatter,"vt. 奉承, 阿谀, 使高兴
"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
fragile,"a. 易碎的, 脆的
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
grope,"v. 摸索
n. 摸索"
herald,"n. 使者, 传令官, 先驱
vt. 预报, 宣布, 传达, 欢呼"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
humidity,"n. 湿气, 潮湿, 湿度
"
hurricane,"n. 飓风, 暴风, 暴风雨"
ignite,"vt. 点燃, 使灼热, 使兴奋"
immerse,"vt. 沉浸, 使陷入
"
impetus,"n. 动力, 推动力, 动量
"
inertia,"n. 惯性, 惰性, 迟钝
"
insulate,"vt. 使绝缘, 隔离
"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
jack,"n. 插座, 千斤顶, 男人
vt. 抬起, 提醒, 扛举, 增加, 提高, 放弃
a. 雄的
"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
lottery,"n. 奖券, 彩票, 运气
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
mar,"vt. 损毁, 损伤, 糟蹋
n. 三月"
maritime,"a. 海的, 海上的, 海事的, 沿海的, 海员的
"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
mindset,n. 心态；倾向；习惯；精神状态
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
monarch,"n. 帝王, 统治者, 元首
"
morale,"n. 士气, 道德"
mow,"n. 草堆, 皱眉, 怪脸
vt. 割草
vi. 割草, 做怪脸"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
naive,"a. 天真的, 纯真的, 幼稚的"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
oath,"n. 誓约, 誓言, 咒骂
"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
oppress,"vt. 压迫, 压抑, 使烦恼"
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
"
overhaul,"vt. 分解检查, 翻修, 精细检查, 彻底革新
n. 分解检查, 精细检查, 大检修"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
pant,"n. 喘息, 悸动
vi. 喘息, 渴望
vt. 气喘吁吁地说"
patron,"n. 赞助人, 顾客, 保护人
"
pending,"a. 未决定的, 待决的, 行将发生的, 向外伸出的
prep. 在等待...之际, 直到...时为止, 在...期间, 在...过程中"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
pharmacy,"n. 药房, 配药学, 制药业
"
plateau,"n. 高地, 高原, (上升后的)稳定水平
"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
ponder,"v. 沉思, 考虑"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
prop,"n. 支柱, 支持者, 倚靠人, 道具, 螺旋桨
vt. 支撑, 维持"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
reassure,"vt. 使...安心, 向...再保证
"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
refute,"vt. 反驳, 驳斥；驳倒"
renowned,"a. 有名的, 有声誉的"
repress,"vt. 镇压, 抑制, 压制
vi. 压制"
reshuffle,"vt. 重新洗牌, 改组, 撤换
n. 重新洗牌, 改组, 撤换"
restless,"a. 不安静的, 慌张的, 休息不充分的
"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
rig,"n. 装备, 帆装
vt. 装配, 装扮, 给船装帆, 垄断, 操纵"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
salmon,"n. 鲑鱼, 大麻哈鱼
"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
sensation,"n. 感觉, 轰动
"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
shepherd,"n. 牧羊人, 牧羊犬, 牧师, 保护者
vt. 看守, 领导, 指导, 牧羊"
showcase,"n. 陈列橱
"
shred,"n. 碎布条, 细片, 少量
v. 撕碎"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
sodium,"n. 钠
"
solicit,"v. 请求, 乞求, 招揽, 征求"
soothe,"vt. 缓和, 使安静, 安慰, 奉承
vi. 起安慰作用"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
stark,"a. 僵硬的, 完全的, 刻板的, 明显的, 荒凉的, 结实的
adv. 突出地, 简直, 全然"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
tack,"n. 平头钉, 大头钉, 粗缝针脚, 行动方针, 食物
vt. 以大头针钉住, 附加"
tan,"n. 黄褐色, 鞣料, 马戏团
a. 黄褐色的, 鞣皮的
vi. 晒成棕褐色
vt. 把...晒黑, 鞣(革), 狠狠鞭打"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
thermal,"a. 热的, 热量的, 温泉的
n. 上升温暖气流"
thrift,"n. 节约, 茂盛, 海石竹"
trauma,"n. 外伤, 损伤
"
tribe,"n. 宗族, 部落, 一群人
"
trickle,"n. 滴, 细流
vi. 滴, 细细地流
vt. 使滴, 使小量流动
"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
trophy,"n. 战利品, 奖品
vt. 用战利品装饰"
tub,"n. 桶, 浴盆
vt. 装入桶, 洗澡
vi. 洗盆浴, 被放在桶里洗"
ultra,"a. 过分的, 极端的
n. 极端主义者, 过激论者, 急进论者"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
vaccinate,v. 预防接种
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
versatile,"a. 多才多艺的, 万用的, 万向的"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
yearn,"vi. 渴望, 想念, 怀念, 同情"
zip,"n. 尖啸声, 拉链, 活力
vt. 给...以速度, 使增加活力, 拉(拉链)
vi. 有力而迅速地行动, 嘘嘘地响, 拉拉链"
