absence,"n. 缺席, 缺乏, 没有
"
flawless,"a. 无瑕疵的, 无缺点的
"
flawed,a. 有缺陷的；有裂纹的；有瑕疵的
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
flexibility,"n. 弹性, 适应性
"
flexibly,"adv. 易曲地, 柔软地"
flop,"n. 砰然落下, 拍击声, 失败
vi. 笨重地摔, 猛落
vt. 笨拙地抛下
adv. 噗通"
floppy,"a. 叭嗒叭嗒响的, 松软的"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
flourishing,"a. 繁茂的, 隆盛的, 繁荣的"
forage,"n. 粮草, 饲料, 搜寻粮草
vt. 喂, 掠夺, 搜寻粮秣
vi. 搜寻粮草, 掠夺"
forager,"n. 粮秣征收员, 抢劫者"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
foundation,"n. 基础, 根据, 建立
"
fragile,"a. 易碎的, 脆的
"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
freezer,"n. 冰库, 冰箱, 冷冻库"
freezing,"a. 冰冻的, 冷冻用的, 严寒的
"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
freighter,"n. 租船人, 承运人, 托运人, 货船, 运输机
"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
fulfilment,"n. 履行, 结束, 完成, 实现, 满意, 称心
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
fundamentally,"adv. 基础, 首要, 主要, 十分重要, 基本, 根本, 原始, 基频, 基音, 基谐波"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
gender,"n. 性
vt. 产生"
gene,"n. 基因
"
generate,"vt. 产生, 发生, 导致
"
generation,"n. 一代, 一世, 产生
"
generator,"n. 产生器, 发电机, 生产者
"
generative,"a. 生殖的, 生产的, 有生殖力的
"
genius,"n. 天才, 天赋, 精神, 神魔
"
germinate,"vi. 发芽, 萌芽, 开始发育
vt. 使发芽, 使发育"
germination,"n. 发芽, 萌芽, 发育
"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
gradually,adv. 逐渐地
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
grinding,"a. 刺耳的, 沉重的, 剧烈的
"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
grossly,"adv. 非常, 很, 粗"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
guideline,"n. 指导路线, 方针, 指标
"
guidance,"n. 指导, 领导
"
guidebook,"n. 指南, 手册, 要览"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
habitable,"a. 适于居住的, 可居住的"
habitation,"n. 居住, 住所"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
harshness,"n. 粗糙事物, 刺耳, 严肃"
harshly,"adv. 粗糙地, 粗暴地, 刺耳地"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
herb,"n. 药草, 香草
"
herbal,"a. 草药的
"
herbalist,"n. 草药医生
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
horizontally,[计] 水平置中
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
identical,"a. 同一的, 恒等的, 完全相同的
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
ignorance,"n. 无知, 愚味
"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
illegal,"a. 违法的, 不合规定的
"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
illustration,"n. 例证, 插图
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illustrator,"n. 插画家, 图解者, 说明者"
imbalance,"n. 不平衡, 不均衡
"
imbalanced,a. 失衡的；失调的
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
imposition,"n. 征收, 课税, 强加, 欺骗
"
imposing,"a. 令人难忘的, 壮丽的, 威风的"
incentive,"n. 动机
a. 激励的"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
incidental,"a. 附带的, 偶然的, 容易发生的
n. 附带事件"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
incorporation,"n. 包含, 结合, 编入, 团体组织
"
indication,"n. 指示, 象征, 暗示
"
indicate,"vt. 显示, 象征, 指示, 指出
"
indicator,"n. 指示器, 指示剂, 指标
"
indicative,"a. 指示的, 象征的, 表示...的
"
indigenous,"a. 本土的, 国产的, 固有的
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
induction,"n. 归纳法, 感应, 就职, 入门
"
inductive,"a. 归纳的, 感应的
"
industrialise,vi.vt. (使)工业化
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
industrially,adv. 企业（工业）地
industrialisation,n. 工业化
infection,"n. 传染, 影响, 传染病
"
infect,"vt. 传染, 感染
"
infectious,"a. 有传染性的, 易传染的
"
infrastructure,"n. 基础结构, 基础设施
"
ingredient,"n. 成分, 因素
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
innovative,"a. 革新的, 创新的, 富有革新精神的"
innovate,"vi. 改革, 创新"
innovation,"n. 改革, 创新
"
innovator,"n. 改革者, 创新者"
insight,"n. 察看, 洞察力, 见识
"
insightful,"a. 有深刻见解的, 富有洞察力的"
insist,"v. 坚持, 坚决主张, 强调"
insistent,"a. 坚持的, 迫切的"
insistence,"n. 坚持, 坚决主张"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
inspirational,"a. 凭灵感的, 鼓舞人心的, 神感的"
install,"vt. 安装, 安置, 使就职
"
installation,"n. 安装, 装置, 就职
"
instantly,"adv. 立即地, 即刻地"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
institution,"n. 机构, 惯例, 制度
"
institutional,"a. 制度的, 公共机构的, 学会的
"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
insurance,"n. 保险, 保险业, 保险费
"
insurer,"n. 保险公司
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integration,"n. 综合, 与环境协调的行为, 集成
"
integrative,"a. 综合的, 一体化的"
intelligent,"a. 聪明的, 智能的, 了解的"
intelligence,"n. 智力, 情报, 信息
"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
intensely,adv. 强烈地; 极度; 剧烈地
intensity,"n. 强烈, 紧张, 强度
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
intensify,"vt. 加强
vi. 强化"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interaction,"n. 交互作用, 交感
"
interactive,"a. 相互作用的, 相互影响的
"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
internal,"a. 内在的, 国内的
"
internally,[计] 内部的
interval,"n. 间隔, 距离, 间歇, 间隙
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
judgement,"n. 审判, 判决, 判断
"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
junction,"n. 连接, 会合处, 交叉点
"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
landmark,"n. 陆标, 划时代的事, 地界标
"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
launcher,"n. 发射者, 发射台"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
layout,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
"
leaflet,"n. 小叶, 传单
"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
masterful,"a. 傲慢的, 主人派头的, 熟练的"
masterly,"a. 巧妙的, 熟练的
adv. 巧妙地, 熟练地"
mastery,"n. 征服, 统治权, 优势, 精通, 掌握
"
memorise,"vt. 记住, 熟记, 记录, 存储"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
memorable,"a. 值得纪念的, 难忘的"
migrate,"vi. 移动, 移往, 随季节而移居
"
migrant,"n. 候鸟, 移居者
"
migration,"n. 移民, 移往, 移动
"
migratory,"a. 迁移的, 流浪的"
millennium,"n. 千禧年, 一千年"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
minimal,"a. 最小的, 极微的, 最小限度的
"
minimum,"a. 最小的, 最低的
n. 最小值
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
modification,"n. 修正, 修饰, 修改
"
module,"n. 组件, 模数
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
monopolise,"vt. 垄断, 独占, 专营, 专利"
monopolistic,"a. 垄断性的, 专卖的, 垄断论者的"
monopolist,"n. 垄断者, 专卖者, 垄断论者
"
monument,"n. 纪念碑, 纪念物, 石碑"
monumental,"a. 纪念碑的, 做为纪念的, 不朽的"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
morality,"n. 道德, 教训, 品行
"
mortality,"n. 必死的命运, 死亡数目, 死亡率
"
motivation,"n. 动机, 刺激, 推动
"
motivational,"a. 激发性的
"
mould,"n. 模子, 模制品, 松软沃土, 霉
vt. 形成, 浇铸, 用泥土覆盖
vi. 发霉"
mystery,"n. 秘密, 神秘, 奥秘"
mysterious,"a. 神秘的, 难解的, 不可思议的"
myth,"n. 神话, 虚构的事, 虚构的人"
mythology,n. 神话
neuron,"n. 神经原, 轴索, 神经细胞
"
neurosis,"n. 神经症, 神经机能病
"
neurological,a. 神经病学上的
neuroscientist, [医]神经科学家：神经科学各分支的专家
neural,"a. 神经的, 神经系统的, 神经中枢的, 背的
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
notional,"a. 概念的, 想像的
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
nutrition,"n. 营养, 营养学
"
nutritious,"a. 滋养的, 营养的
"
nutritional,"a. 营养的, 滋养的
"
observer,"n. 观察者, 遵守者, 观察员
"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
observant,"a. 严格遵守...的, 留心的, 当心的, 观察力敏锐的, 注意观察的
"
observation,"n. 观察, 注意, 观测, 观察力
"
optimism,"n. 乐观主义, 乐观, 乐天
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
optimist,"n. 乐观者, 乐观主义者"
orchestra,"n. 管弦乐队, 乐队演奏处"
orchestrate,v. 编管弦乐曲
organic,"a. 器官的, 有机的, 组织的, 根本的
"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
organism,"n. 生物, 有机体, 社会组织
"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
organization,"n. 组织, 结构, 团体, 体制
"
organizer,"n. 组织者, 编制者, 创立者, 组织导体
"
orthodox,"a. 正统的, 传统的, 惯常的"
orthodoxy,"n. 正统说法, 正教, 信奉正教"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
perceptible,"a. 可察觉的, 能感觉得到的, 看得见的"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
perceptual,"a. 知觉的, 有知觉的"
permission,"n. 许可, 允许
"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
permissible,"a. 可允许的, 可容许程度的
"
permissibly,"adv. 得到许可地, 获准地"
permissive,"a. 许可的, 获准的, 宽容的, 放任的, 放纵的, 允许选择的, 自由的
"
permissibility,n. 可容许性
permissiveness,n. 许可
personnel,"n. 人员, 人事部门, 人事科(处)
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
pharmaceutical,"a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的
n. 药品, 成药, 药剂"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
photosynthesis,"n. 光合作用
"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
phrasal,"a. (含有)短语的, 成语的, 惯用语的, 用语上的, 乐句的"
physically,"adv. 按自然规律, 完全地, 实际上, 真正地, 身体上地"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
pleasurable,"a. 快乐的, 愉快的, 舒适的, 心情舒畅的"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
plough,"n. 犁, 犁过的地
vi. 用犁耕田, 开路
vt. 耕, 犁, 开路"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
potentially,"adv. 可能地, 潜在地"
premier,"n. 总理, 首相
a. 首位的, 最初的"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
presumable,"a. 可推测的, 可能有的, 似真的
"
presumption,"n. 专横, 放肆, 假定, 推测
"
presumably,"adv. 推测上, 大概"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
printer,"n. 印刷工, 打印机
"
priority,"n. 优先权, 优先
"
prioritize,"vt. 按优先次序列出, 优先考虑"
productive,"a. 能生产的, 有生产价值的, 多产的
"
productivity,"n. 生产力
"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
property,"n. 财产, 所有权, 性质, 属性
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
proposal,"n. 提议, 计划, 求婚
"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
prospective,"a. 预期的, 将来的
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
psychologist,"n. 心理学家
"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
qualified,"a. 有资格的
"
qualification,"n. 资格, 条件, 限制
"
quantity,"n. 量, 数量, 总量
"
quantify,"vt. 定量, 用数量表示, 测量"
quantitative,"a. 数量的, 定量的
"
questionnaire,"n. 调查表, 问卷
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
randomly,"adv. 偶然, 胡乱, 无目的, 任意, 随便, 任取, 无规则, 机遇, 胡乱地, 任意地, 随便地
"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
recreational,"a. 消遣的, 娱乐的"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
registrar,"n. 记录者, 登记者, 登记官员
"
registration,"n. 登记, 挂号, 注册
"
registered,"a. 注册的, 登记过的, 记名的, 挂号的
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
regulation,"n. 规则, 管理, 调整
"
regulator,"n. 调整者, 校准者, 校准器, 调整器, 标准钟
"
regulatory,"a. 受控制的, 统制的, 调整的
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
reinforcement,"n. 加强, 增援, 补充, 援军, 加固物
"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
remedial,"a. 治疗的, 补救的, 矫正的
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
renowned,"a. 有名的, 有声誉的"
renown,"n. 名声, 声望
vt. 使有声望"
rental,"n. 租费, 租金收入
a. 租赁的, 收取租金的"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
repeatedly,"adv. 重复地, 再三地"
repetitive,"a. 重复的, 反复性的"
replace,"vt. 代替, 替换, 放回, 归还
"
replacement,"n. 归还, 更换, 代替者
"
replaceable,"a. 可替换的, 可代替的, 可放在原处的
"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
