appropriate,"a. 适当的
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
auction,"n. 拍卖
vt. 拍卖"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
subtlety,"n. 微妙, 精明"
tedious,"a. 沉闷的, 冗长乏味的"
tedium,"n. 单调乏味, 沉闷"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
inexhaustible,"a. 用不完的, 无穷尽的, 不知疲倦的"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
superfluous,"a. 多余的, 过剩的"
migrate,"vi. 移动, 移往, 随季节而移居
"
migrant,"n. 候鸟, 移居者
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
accentuate,"vt. 以重音念, 强调, 重读"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
stance,"n. 准备击球姿势, 站立的姿势, 位置, 姿态
"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
imprint,"vt. 印, 铭刻
n. 印, 印记, 特征, 痕迹, 版本说明"
infuse,"vt. 注入, 使充满, 泡制, 鼓舞
vi. 泡"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
stark,"a. 僵硬的, 完全的, 刻板的, 明显的, 荒凉的, 结实的
adv. 突出地, 简直, 全然"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
sweeping,"n. 扫除, 垃圾
a. 扫荡的, 彻底的, 广泛的"
evacuate,"v. 疏散, 撤出, 排泄"
avert,"vt. 转开, 避免, 防止"
shun,"vt. 避开, 规避, 避免"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
stampede,"v. (使)惊跑, (使)蜂拥
n. 惊跑, 蜂拥"
inescapable,"a. 逃不掉的, 不可避免的"
infrastructure,"n. 基础结构, 基础设施
"
underlie,"vt. 位于...之下, 成为...的基础"
supplant,"vt. 排挤掉, 代替"
demean,"vt. 贬低身分, 贬损"
decry,"vt. 反对, 责难, 诽谤, 诋毁"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
agile,"a. 敏捷的, 灵活的, 机敏的"
artful,"a. 巧妙的, 狡猾的"
dexterity,"n. 灵巧, 机敏"
artisan,"n. 工匠, 技工
"
knowhow,"n. 情报；实际的能力；专门技术；诀窍, 技巧"
novice,"n. 新手, 初学者"
inept,"a. 不适当的, 不理智的, 笨拙的
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
proponent,"n. 建议者, 支持者
"
exponent,"n. 说明者, 倡导者, 说明物, 指数
a. 说明的
"
countenance,"n. 面容, 面部表情, 支持, 镇定"
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
egalitarian,"a. 平等主义的
n. 平等主义"
elite,"n. 精华, 精锐, 中坚分子"
protagonist,"n. 主人公, 主角, 领导者"
emissary,"n. 密使, 间谍, 使者
a. 充当密使的, 充当间谍的"
compatriot,"n. 同国人
a. 同国的, 同胞的"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
namesake,"n. 同名人, 同名物"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
enshrine,"vt. 入庙祀奉, 铭记"
piety,"n. 虔诚, 孝敬, 虔诚的行为"
scribe,"n. 文书, 抄写员, 划线器
vi. 担任抄写员
vt. 用划线器划"
consecrate,"vt. 把...供祭祀用, 奉献, 使神圣
a. 被献给神的, 神圣的"
charismatic,"a. 魅力, 能吸引大众的非凡能力, 神授的能力, 领袖人物感人的超凡魅力"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
stupendous,"a. 惊人的, 巨大的"
phenomenal,"a. 现象的, 能知觉的, 异常的, 显著的, 惊人的"
hypothesis,"n. 假设
"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
prominence,"n. 突起, 突出, 显著, 突出物, 凸出
"
prowess,"n. 英勇, 勇敢, 超凡技术"
mediocre,"a. 不好不坏的, 通常, 平凡的"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
indigenous,"a. 本土的, 国产的, 固有的
"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
bizarre,a. 奇异的
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
outlandish,"a. 外国气派的, 偏僻的, 古怪的"
quirk,"n. 古怪举动, 俏皮话, 急转"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
disparity,"n. 不一致
"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
scrutinise,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
sobriety,"n. 节制饮酒, 戒酒, 节制, 一本正经, 庄重"
perfunctory,"a. 敷衍的, 随随便便的, 得过且过的"
impetuous,"a. 冲动的, 猛烈的, 轻率的, 狂暴的"
pompous,"a. 爱炫耀的, 虚夸的, 盛大的"
assorted,"a. 各种各样的, 分类的"
assortment,"n. 分类, 各种各样
"
intermingle,"vi. 混入, 渗入, 掺杂
vt. 使混合"
asylum,"n. 庇护, 收容所
"
bazaar,"n. 集市, 市场, 义卖市场"
cyberspace,"[计] 空间, 网控空间"
futuristic,a. 未来派的
dated,"a. 有日期的, 陈旧的"
dog-eared,"un. 卷边
"
vogue,"n. 时尚, 时髦, 流行
a. 流行的, 时髦的"
prevalent,"a. 普遍的, 流行的"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
legislate,"vi. 制定法律
vt. 用立法规定"
legislative,"n. 立法机构
a. 立法的, 有立法权的"
lawsuit,"n. 诉讼
"
proceeding,"n. 进行, 程序, 行动, 诉讼程序, 事项
"
proceedings,"n. 诉讼, 事项, 行径, 事件, 活动, 项目, 会议录, 记录汇编, 活动记录"
plaintiff,"n. 原告, 起诉人
"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
arbitrate,"vt. 仲裁, 公断
vi. 进行仲裁"
ruling,"n. 判决, 裁定, 统治
a. 统治的, 支配的, 普遍的"
revoke,"vt. 撤回, 废除
vi. 藏牌
n. 藏牌
"
parole,"n. 假释, 誓言, 释放宣言
vt. 宣誓后释放, 使假释出狱"
cumulative,"a. 累积的
"
pungent,"a. 刺激性的, 尖刻的, 苦痛的
"
pristine,"a. 太古的, 原来的, 古时的, 原始的"
prototype,"n. 原型
"
variant,"n. 变体, 异体
a. 不同的, 有差别的
"
malformed,"a. 变形的, 畸形的"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
curd,"n. 凝乳
"
colossal,"a. 巨大的, 巨像似的"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
"
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
tentative,"n. 试验
a. 试验性的, 暂时的"
unsuspecting,"a. 不怀疑的, 无疑虑的, 信任的
"
unfailing,a. 可靠的；经久不衰的；无穷尽的
problematic,"a. 成问题的, 未定的, 疑难的, 有疑问的, 盖然性的, 或然性的"
problematical,"a. 成问题的, 未定的, 疑难的, 有疑问的, 盖然性的, 或然性的"
misgiving,"n. 疑虑, 不安, 害怕, 担扰, 疑惧"
credibility,"n. 可信用, 确实性, 可靠
"
erotic,"a. 性爱的, 性欲的, 色情的
n. 好色之徒, 色情诗"
sensuous,"a. 感觉上的, 使感官以快感的, 敏感的"
lust,"n. 贪欲, 欲望, 色欲
vi. 贪求, 渴望, 动淫念"
flirt,"n. 卖弄风骚的人, 急动, 急扔
vt. 忽然弹出, 轻快摆动, 挥动
vi. 调情, 玩弄, 摆动, 轻率地对待"
daunt,"vt. 威吓, 难倒, 使气馁"
daunting,a. 使人畏缩的
intimidate,"vt. 威胁, 恐吓
"
aspire,"vi. 渴望, 立志于"
ascribe,"vt. 归因于, 归咎于
"
causal,"a. 原因的, 因果关系的, 表示原因或理由的
n. 表示原因的连词"
resultant,"a. 结果的, 合成的
n. 结果, 合力, 生成物"
majestic,"a. 宏伟的, 庄严的"
grandeur,"n. 庄严, 伟大, 壮丽"
interlock,"v. (使)连结, (使)连锁
n. 连锁, 连结
"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
adjoin,"v. 邻接, 毗连"
juncture,"n. 接合, 连接, 接缝"
proximity,"n. 接近, 亲近"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
differentiate,"v. 区别, 区分"
disassociate,v. (使)分离
discrete,"a. 不连续的, 离散的
"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
visualize,"vt. 使看得见, 使具体化, 想象, 设想
vi. 想象, 显形"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
contrive,"v. 发明, 设计, 图谋"
brainstorming,"自由讨论, 发表独创[创造]性意见, 智力爆发"
rationalize,"vt. 使合理, 合理地处理, 使有理化
vi. 合理地思考"
rationale,"n. 基本原理
"
overt,"a. 明显的, 公然的, 蓄意的
"
overly,"adv. 过度地, 极度地"
unduly,"adv. 不适当地, 过度地
"
cram,"vt. 塞满, 填满, 猛吃
vi. 贪吃
n. 极度拥挤, 死记硬背"
encumber,"vt. 妨害, 阻塞, 拖累
"
sip,"n. 啜饮, 小口喝, 抿
vi. 啜饮
vt. 啜
"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
hype,n. 大肆宣传；皮下注射
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
enhance,"vt. 提高, 加强, 增加"
propel,"vt. 推进, 驱使
"
energize,"vt. 使活跃, 激励, 供给...能量
"
impetus,"n. 动力, 推动力, 动量
"
verve,"n. 热情, 气魄, 神韵, 活力"
embody,"vt. 具体表达, 使具体化
"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
exemplify,"vt. 例证, 例示
"
exemplary,"a. 可仿效的, 可做模范的, 惩戒性的, 示范的
"
epitomise,"vt. 对...作摘要, 集中体现, 成为...的化身, 成为...的缩影, 概括"
epitomize,"vt. 摘要, 概括"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
intangible,"a. 难以明了的, 无形的
"
untouchable,"a. 达不到的, 碰不着的, 管不到的, 不可批评的, 碰不得的, 不可捉摸的, 无形的"
existential,a. 有关存在的
terrestrial,"n. 地球上的人
a. 地球的, 陆生的, 陆地的, 人间的"
entity,"n. 实体, 实存物, 存在
"
repress,"vt. 镇压, 抑制, 压制
vi. 压制"
irrepressible,"a. 约束不住的, 抑制不住的"
repression,"n. 抑制, 压抑, 制止
"
constrain,"vt. 强迫, 限制, 关押"
barricade,"n. 路障, 障碍
vt. 设路障于, 阻碍"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
counteract,"vt. 抵消, 阻碍, 中和
"
deterrent,"a. 制止的, 威慑的, 遏制的
n. 威慑力量(或因素), 制止物"
unleash,"vt. 解开...的皮带, 发出, 发动"
banish,"vt. 驱逐, 消除
"
venerable,"a. 庄严的, 值得尊敬的"
venerate,"vt. 尊敬, 崇敬, 崇拜"
paradoxical,"a. 似非而是的, 矛盾的, 诡论的
"
precarious,"a. 不稳定的, 不安的, 危险的"
scanty,"a. 缺乏的, 仅有的, 不够的, 狭小的, 吝啬的"
personify,"vt. 看做人, 赋与人性, 使人格化, 体现, 是...的化身"
impersonate,"vt. 模仿, 扮演, 体现, 使人格化
"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
woo,"vt. 追求, 向...求爱, 恳求
vi. 求爱, 央求"
ruckus,"n. 喧闹, 骚动"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
remittance,"n. 汇款
"
invoice,"n. 发票, 发货单
v. 开发票, 记清单"
perk,"vi. 昂首, 振作, 举止高傲, 神气活现, 滤煮
vt. 竖起, 打扮, 使振作, 滤煮
n. 小费"
broker,"n. 掮客, 经纪人
"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
retainer,"n. 家臣, 侍从, 保持者
"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
beckon,"v. 招手示意, 召唤, 吸引
n. 表召唤的点头(或手势)"
disband,"vt. 解散, 遣散
vi. 被解散"
portfolio,"n. 皮包, 公文包, 部长职务, 有价证券财产目录, 艺术代表作选辑
"
underwrite,"vt. 签名于下, 给...保险
vi. 经营保险业"
undersell,"vt. 以低于市价售出, 抛售
"
understate,"v. 不完全地陈述, 保守地说, 有意轻描淡写"
underdone,underdo的过去分词
turnout,"n. 聚集的人群, 出席者, 产量
"
throughput,"n. 生产量, 通过量
"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
figurehead,"n. 装饰船头的人像, 傀儡领袖"
empower,"vt. 授予权力, 允许, 使能够
"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
devolve,"vt. 转移, 下放(权力等), 委托
vi. 被移交"
hegemony,"n. 霸权, 领导权, 支配权, 拥有支配权的政府
"
colonize,"vi. 开拓殖民地
vt. 殖民于, 移植于"
suffrage,"n. 投票, 选举权, 参政权, 代祷
"
franchise,"n. 公民权, 特权, 特许经营权, 免赔额
vt. 给以特权, 给以...公民权"
consign,"vt. 交付, 储蓄, 委托, 寄存
"
accountable,"a. 负有责任的, 可说明的, 可解释的
"
opt,vi. 选择
obsess,"vt. 迷住, 使困扰"
muddle,"vt. 混合, 使微醉, 使咬字不清晰
vi. 胡乱对付
n. 困惑, 混浊状态"
bemused,"a. 困惑的, 发呆的"
repute,"n. 名望, 名气, 声望
vt. 认为, 以为"
renown,"n. 名声, 声望
vt. 使有声望"
anonymity,"n. 匿名, 姓氏不明
"
aggravate,"vt. 使恶化, 使更严重, 加重"
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
martial,"a. 战争的, 军事的, 尚武的, 威武的
"
truce,"n. 停战, 休战
vi. 停战, 休止
vt. 以休战结束"
foray,"vi. 侵略, 劫掠, 袭击
n. 侵掠, 侵略, 攻击"
onslaught,"n. 突击, 猛击, 猛攻"
rampart,"n. 垒, 壁垒, 防御土墙
vt. 用壁垒围绕, 防卫, 守卫"
bastion,"n. 棱堡, 阵地工事"
layoff,"n. 临时解雇, 操作停止, 活动停止期间"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
sickening,"a. 引起疾病的, 引起呕吐的, 令人厌恶的, 使人作呕的"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
ecstatic,"n. 狂喜的人
a. 狂喜的"
glee,"n. 欢乐, 高兴"
buoyancy,"n. 浮力, 弹性, 快活, 轻快, (股票市场)保持高价
"
distaste,"n. 讨厌, 嫌恶"
attest,"vi. 证明, 表明, 作证
vt. 为...作证"
disprove,"vt. 证明...是不对的, 提出...的反证, 反驳
"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
sliver,"n. 裂片, 薄片, 梳毛
vt. 切成长片
vi. 剖开, 分裂"
cleave,"vt. 劈开, 分开
vi. 劈开, 分开, 粘着, 依恋"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
wreckage,"n. 残骸, 失事, 破坏
"
wane,"n. 减少, 衰微, 败落, 亏缺, 月亏
vi. 变小, 亏缺, 衰落, 消逝, 退潮"
subside,"vi. 沉淀, 沉降, 平息"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
impoverish,"vt. 使贫穷, 耗尽...的力气"
innate,"a. 先天的, 天生的
"
intrinsic,"a. 本质的, 原有的, 真正的
"
substantive,"a. 表示实在的, 有实质的, 独立存在的, 大量的, 重大的, 坚实的, 名词的
n. 名词性实词, 名词"
evince,"vt. 表明(感情等), 表示出(特性等)"
connote,"vt. 含蓄着, 内涵着, 意味着"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
itinerary,"n. 旅程, 旅行指南, 游记
a. 巡回的, 旅程的"
furnishings,n. 家具；供应；穿戴用品（furnishing的复数）
fitting,"a. 适宜的
n. 试穿, 试衣, 装配, 装置"
harmonise,"vi.vt. 以和声歌唱/演奏, (使)协调, (使)一致, (使)相称, (使)调和"
harmonize,"vi. 协调, 以和声唱
vt. 使一致, 使和谐"
homogeneous,"a. 同种的, 同质的, 齐性的
"
homogenise,vt. 使均匀
homogenize,"vi. 变均匀
vt. 使均匀"
mesh,"n. 网孔, 网丝, 网眼, 网状物, 圈套, 陷阱, 啮合
vt. 以网捕捉, 啮合, 使缠住
vi. 落网, 相啮合"
concur,"vi. 同意, 一致, 同时发生
"
consensus,"n. 合意, 一致, 同感
"
concede,"vt. 承认, 退让
vi. 让步"
contour,"n. 轮廓
vt. 画轮廓
a. 显示轮廓的
"
upkeep,"n. 维持, 维修费
"
scour,"vt. 擦亮, 洗涤, 清洗, 冲刷成, 急速穿过
vi. 擦, 洗, 冲刷, 腹泻, 急速穿行
n. 擦, 洗, 腹泻, 洗涤剂"
beautify,"vt. 美化, 变美, 修饰"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
laborious,"a. 艰苦的, 费劲的, 勤劳的"
arduous,"a. 费力的, 努力的, 险峻的"
trek,"vi. 牛拉货车, 艰苦跋涉
n. 牛车旅行, 艰苦跋涉"
trudge,"n. 沉重的步伐, 长途跋涉
vi. 步履艰难地走, 蹒跚地走
vt. 跋涉"
teeter,"vi. 步履不稳地走动, 踉跄, 摇晃, 摇摆不定, 摇摇欲坠, 玩跷跷板
n. 踉跄, 摇摆, 跷跷板"
shuffle,"n. 拖着脚走, 曳步, 混乱, 蒙混, 洗纸牌
v. 拖曳, 马虎地做, 笨手笨脚地穿(脱)衣, 推诿, 洗牌
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
withstand,"vt. 抵住, 顶住, 经得起"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
disuse,"n. 不被使用, 废弃
vt. 停止使用, 废止"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
console,"vt. 安慰, 藉慰
n. 控制台
"
grievous,"a. 痛苦的, 严重的, 充满悲伤的
"
trauma,"n. 外伤, 损伤
"
deliberation,"n. 熟虑, 熟思, 审议
"
irrespective,"a. 不顾的, 无关的, 没关系的"
regarding,prep. 关于
collude,"vi. 共谋, 串通, 勾结"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
juggle,"vi. 玩戏法, 行骗, 篡改
vt. 耍弄, 歪曲, 篡改
n. 玩戏法, 魔术, 欺骗"
sabotage,"n. 怠工, 破坏活动, 破坏
vi. 从事破坏活动
vt. 妨害, 破坏"
devastate,"vt. 毁坏
"
derail,"vt. 使出轨
n. 脱轨器
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
self-preservation,自我保护
accomplice,"n. 共犯, 同谋
"
fugitive,"a. 逃亡的, 短暂的, 难捉摸的
n. 逃亡者, 亡命者, 难捕捉之物"
loot,"n. 赃物, 洗劫, 抢夺
v. 洗劫, 抢夺"
covet,"v. 妄想, 垂涎"
manageable,"a. 易办的, 易管理的, 易控制的"
managerial,"a. 管理的
"
coax,"vt. 哄, 诱骗, 耐心地摆弄
vi. 哄骗
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
frantic,"a. 狂乱的, 疯狂的"
frenzied,"a. 狂热的, 狂乱的, 激怒的"
fractious,"a. 易怒的, 倔强的, 脾气不好的"
fret,"n. 烦躁, 磨损, 焦急, 网状饰物
vi. 烦恼, 不满, 磨损
vt. 使烦恼, 腐蚀, 使磨损, 使起波纹"
unsettle,"vt. 使移动, 搅乱, 使动摇, 使不安宁
vi. 动荡不定, 离开固定位置"
doleful,"a. 悲哀的, 忧郁的, 阴沉的"
heck,int. 真见鬼（hell的委婉说法）
benevolence,"n. 善意, 慈悲, 善行
"
