abscissa,"n. 横坐标
"
obedience,"n. 服从, 顺从, 忠实
"
submission,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见
"
succumb,"vi. 屈从, 屈服, 死"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
deferential,"a. 恭敬的
"
ductile,"a. 易延展的, 韧性的, 易教导的
"
pliant,"a. 易弯的, 柔韧的, 柔顺的"
disobey,"v. 违反, 不服从"
sturdy,"a. 强健的, 健全的
"
tenacious,"a. 紧握的, 固执的, 不屈不挠的, 黏着力强的
"
bestow,"vt. 授予, 使用, 贮藏, 留宿"
confer,"vt. 授予, 带来
vi. 协商"
donate,v. 捐赠
enfranchise,"vt. 给予自治权, 给予选举权, 解放
"
impart,"vt. 给予, 传授, 告知"
oversupply,"vt. 过度供给
n. 过多的供应品"
provenance,"n. 起源, 出处"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
stockpile,"n. 储蓄, 积蓄, 库存
vt. 储蓄, 贮存"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
circumscribe,"vt. 在...周围画线, 限制"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
constraint,"n. 强制, 约束
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
imprisonment,"n. 监禁, 下狱, 坐牢
"
incarcerate,"vt. 下狱, 监禁, 禁闭
"
restrain,"vt. 抑制, 阻止, 束缚
"
restriction,"n. 限制, 限定, 约束
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
intervene,"vi. 插入, 调停, 干涉
"
optional,"a. 可选择的, 随意的
"
category,"n. 种类, 类项
"
classify,"vt. 分类, 归类, 分等
"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
compensate,"v. 偿还, 补偿, 付报酬"
countervail,"vt. 补偿, 抵销
vi. 抵销"
liquidation,"n. 偿还, 偿付, 清算
"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
ransom,"n. 赎金, 赎身, 赎回
vt. 赎, 赎身, 赎回, 勒索赎金"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
reimburse,"vt. 付还, 偿还, 赔偿
"
repayment,"n. 付还, 偿还, 报复, 付还的钱
"
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
restitution,"n. 归还, 偿还, 赔偿
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
compulsory,"a. 被强制的, 强迫的, 义务的
"
embargo,"n. 封港令, 禁运
vt. 禁止出入港口, 禁运"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
injunction,"n. 命令, 禁令, 劝告
"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
concede,"vt. 承认, 退让
vi. 让步"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
testify,"v. 证明, 作证, 声明, 表明"
disavow,"vt. 否认, 否定, 拒绝对...承担责任
"
conceive,"vt. 构思, 认为
vi. 怀孕"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
proliferate,"vi. 增殖, 激增, 扩散
vt. 使激增"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
breeding,"n. 教养, 生育, 饲养
"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
incubation,"n. 抱蛋, 孵化, 酝酿
"
livelihood,"n. 生计, 营生, 生活"
sojourn,"n. 逗留, 旅居
vi. 逗留, 旅居"
subsist,"vt. 供给食物, 供养
vi. 生存, 存在"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
sterile,"a. 不毛的, 不孕的, 无菌的, 贫瘠的, 无效的, 枯燥的
"
unviable,"a. 不能独立生存的, 不可行的"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
conscious,"a. 有意识的, 知觉的, 觉察的
"
perceptible,"a. 可察觉的, 能感觉得到的, 看得见的"
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
sentient,"a. 有感觉力的, 意识到的
n. 有知觉的人"
hypersensitive,"a. 过敏的, 高灵敏度的
"
imperceptible,"a. 不能感知的, 微细的"
unwitting,"a. 不知情的, 没有意识到的, 不知不觉的"
intuition,"n. 直觉, 直觉的知识"
olfactory,"a. 嗅觉的, 味道的
n. 嗅觉器官, 嗅神经"
tactile,"a. 触觉的, 有触觉的
"
sensual,"a. 肉欲的, 感觉的, 感觉论的"
seductive,"a. 诱惑的, 引人注意的, 有魅力的"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
morale,"n. 士气, 道德"
psyche,"n. 灵魂, 精神, 普赛克(希腊神话中人类灵魂的化身)
"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
comprehend,"vt. 理解, 包括"
deem,"v. 认为, 相信"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
speculate,"vi. 深思, 推测, 投机
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
reflective,"a. 反射的, 反映的, 沉思的"
speculative,"a. 思索性的, 投机的, 推测的
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
"
filtration,"n. 过滤
"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
disposable,"a. 可任意处理的
"
decorate,v. 装饰
embellish,"vt. 修饰, 装饰, 润色"
intersperse,"vt. 散布, 点缀"
motif,"n. 主题, 基调, 动机, 基本图案
"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
ornate,"a. 装饰的, 华丽的"
spruce,"n. 云杉
a. 颇为干净的, 俏的, 整洁的
v. (使)显干净, 打扮整齐"
inscribe,"vt. 登记, 铭记于, 题写, 雕刻
"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
detach,"vt. 使分离, 分遣
"
detached,"a. 超然的, 分离的, 冷淡的
"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
jettison,"n. 投弃, 投弃货物
"
relinquish,"vt. 放弃, 撤回, 停止, 松开, 让与
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
retirement,"n. 退休, 隐居, 撤退
"
divulge,"vt. 泄露, 透露"
exposure,"n. 暴露, 揭发, 揭露
"
play off,"使出丑, 延长比赛以破平局, 使相斗, (用欺骗手段)使...脱手"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
dubious,"a. 可疑的, 不确定的"
questionable,"a. 可疑的
"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
skeptic,"n. 怀疑者, 怀疑论者, 不可知论者"
derive,"vt. 得自
vi. 起源"
elicit,"vt. 引出, 推导出, 引起"
genesis,"n. 发生, 起源, 创世记
"
traceable,"a. 可追踪的, 可描绘的
"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
outgrow,"vt. 过大而不适于, 长得比...高(或大、快), 成长得不再具有..."
outnumber,"vt. 数目超过, 比...多"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
surpass,"vt. 超越, 凌驾, 胜过"
enshrine,"vt. 入庙祀奉, 铭记"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
lionize,"vt. 将...以名人待之, 游览...的名胜
vi. 结交名流"
obeisance,"n. 敬礼, 鞠躬, 敬重"
revere,"vt. 崇敬, 敬畏, 尊敬"
venerable,"a. 庄严的, 值得尊敬的"
contagious,"a. 触染性的, 会蔓延的
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
transpire,"vt. 使蒸发, 使排出
vi. 蒸发, 散发, 泄露"
emancipate,"vt. 释放, 解放"
erupt,"vi. 爆发
vt. 喷出"
popularity,"n. 名声, 受大众欢迎, 流行"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
propaganda,"n. 宣传, 宣传活动
"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
publicity,"n. 名声, 宣传, 公开场合
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
customize,"vt. 定制, 按规格改制, 定做
"
fabricate,"vt. 制造, 建造, 装配, 伪造"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
generate,"vt. 产生, 发生, 导致
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
mold,"n. 模子, 模型, 霉
v. 形成, 塑造, 发霉"
spurious,"a. 假造的, 伪造的, 欺骗的
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
phony,"n. 假货, 假冒者, 赝品
a. 伪造的, 假的, 不可信的, 华而不实的"
replacement,"n. 归还, 更换, 代替者
"
replica,"n. 复制品
"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
supersede,"vt. 代替, 取代, 接替
"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
prototype,"n. 原型
"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
indicate,"vt. 显示, 象征, 指示, 指出
"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
propound,"vt. 提出供考虑
"
referent,n. 指示物
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
typify,"vt. 代表, 象征, 为...之典型"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
rotation,"n. 旋转, 循环, 轮流
"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
locomotion,"n. 运动, 移动, 旅行
"
migrate,"vi. 移动, 移往, 随季节而移居
"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
wiggle,"v. 扭动着行进, 摆动
n. 扭动, 摆动"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
incur,"vt. 招致, 蒙受, 遭遇
"
occurrence,"n. 发生, 事件, 出现
"
onset,"n. 开始, 攻击, 进攻
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
prevail,"vi. 获胜, 流行, 盛行
"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
anew,"adv. 重新, 再"
aperiodic,"a. 非周期性的
"
circulation,"n. 流通, 循环, 发行量
"
recapture,"n. 取回, 夺回
vt. 再捕获, 夺回, 重温"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
regain,"vt. 取回, 恢复, 重回, 复得
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
rehash,"vt. 重讲, 改头换面地重复
n. 改头换面的作品"
recast,"vt. 重铸, 重作, 改造
n. 重铸, 改换角色"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
resurgence,"n. 再起, 复活, 再现"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
advent,"n. 来到, 来临"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
germinate,"vi. 发芽, 萌芽, 开始发育
vt. 使发芽, 使发育"
indiscriminate,"a. 无差别的, 任意的, 杂乱的
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
preferable,"a. 更可取的, 更好的, 更合意的"
reluctant,"a. 不情愿的, 勉强的
"
selective,"a. 选择的, 选择性的
"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
interval,"n. 间隔, 距离, 间歇, 间隙
"
letup,"n. 停止, 中止, 放松"
intolerable,"a. 无法忍受的, 难耐的"
undergo,"vt. 遭受, 经历, 忍受
"
withstand,"vt. 抵住, 顶住, 经得起"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
absorbent,"a. 能吸收的
n. 吸收剂"
desirable,"a. 令人想望的, 可取的"
entice,"vt. 诱骗, 引诱, 怂恿"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
abstinence,"n. 节制, 禁欲, 戒酒
"
preventive,"a. 预防的, 防止的
n. 防止物, 预防方法, 预防药"
prohibitive,"a. 禁止的, 禁止性的
"
taboo,"n. 禁忌, 禁止接近, 禁止使用
a. 禁忌的, 忌讳的
vt. 禁忌, 忌讳, 禁止"
tamper,"vi. 干预, 拨弄, 贿赂, 损害, 篡改
vt. 篡改
n. 捣棒, 打夯机, 填塞者"
temperance,"n. 节欲, 戒酒, 禁酒, 节制
"
acquit,"vt. 无罪释放, 表现, 使履行
"
deregulate,[法] 解除管制
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
exonerate,"vt. 免除, 证明无罪
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
impunity,"n. 不受惩罚, 无事, 无患
"
authoritative,"a. 权威性的, 官方的, 命令式的
"
authorize,"vt. 授权, 批准, 委托
"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
allegiance,"n. 忠贞, 效忠"
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
espouse,"vt. 支持, 赞成, 嫁, 娶
"
admittance,"n. 进入, 进入权, 准许进入
"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
enrollment,"n. 登记, 注册, 入伍
"
input,"n. 输入, 输入电路
vt. 输入
"
installation,"n. 安装, 装置, 就职
"
intake,"n. 入口, 吸入, 吸入量
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
mingle,v. (使)混合
unionize,"vi.vt. (使)成立工会, (使)加入工会"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
controversial,"a. 争论的, 论争的, 被议论的"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
rival,"n. 对手, 竞争者
a. 竞争的"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
strife,"n. 争吵, 竞争, 冲突"
strive,"vi. 努力, 奋斗, 斗争"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
crusade,"n. 改革运动, 十字军东侵
vi. 从事改革运动, 加入十字军"
bombardment,"n. 炮击
"
alliance,"n. 联盟, 联合
"
conglomerate,"a. 聚成球形的, 砾岩性的
n. 集成物, 混合体, 砾岩
v. (使)凝聚成团"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
glean,"v. 拾落穗, 收集"
synthesize,"v. 综合, 合成"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
coalesce,"vi. 合并, 联合, 合生
"
centralized,a. 集中的；中央集权的
convergent,"a. 趋集于一点的, 会聚性的, 收敛的
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
bondage,"n. 奴役, 束缚
"
allocate,"vt. 分派, 分配
"
allot,"vt. 分配, 分摊指定
"
apportion,"vt. 分配, 分摊, 分派
"
assign,"vt. 分配, 指派, 赋值
"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
application,"n. 应用, 申请, 志愿书, 应用程序
"
invoke,"vt. 祈求, 恳求, 实行, 援引, 引起
"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
supplicant,"[法] 恳求者, 哀求者; 恳求, 哀求, 祈求"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
ascertain,"vt. 确定, 查明
"
assertion,"n. 断言, 主张
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identification,"n. 识别, 身份证明, 认同
"
assess,"vt. 估定, 对...征税, 评定
"
criterion,"n. 标准, 准则, 规范
"
evaluate,"vt. 评估, 评价, 赋值"
underestimate,"n. 低估
vt. 低估, 看轻"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
endowment,"n. 捐助, 天赋, 才能
"
extricate,"vt. 使解脱, 救出"
facilitate,"vt. 使容易, 促进, 帮助
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
motivation,"n. 动机, 刺激, 推动
"
ascribe,"vt. 归因于, 归咎于
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
causal,"a. 原因的, 因果关系的, 表示原因或理由的
n. 表示原因的连词"
available,"a. 可利用的, 可获得的, 有效的
"
feasible,"a. 能实行的, 可行的, 适宜的
"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
odds,"n. 可能性, 几率, 机会, 胜算, 不平等"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
utilize,vt. 利用
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
overuse,"vt. 使用过度
n. 过度使用, 任意驱使"
deplete,"vt. 耗尽, 使衰竭
"
expenditure,"n. 开支, 费用, 用光, 消费额
"
deploy,"v. 展开, 配置"
balk,"n. 障碍, 错误, 失败
vt. 阻止, 错过, 推诿
vi. 逡巡不前"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
blockade,"n. 阻塞
vt. 封锁"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
deter,"vt. 制止, 吓住, 威慑"
drawback,"n. 缺点, 退税
"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
hinder,"a. 后面的
v. 阻碍, 打扰"
impede,"vt. 妨碍, 阻碍, 阻止"
impediment,"n. 妨碍, 障碍, 阻止, 口吃
"
stunt,"n. 特技, 绝技, 花招, 噱头, 手腕, 发育不良
vt. 阻碍成长
vi. 表演特技"
beset,"vt. 围绕, 使苦恼, 镶嵌"
besiege,"vt. 围攻, 包围"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
incursion,"n. 侵入, 侵略, 奇袭"
infringe,"v. 破坏, 侵犯, 违反"
interloper,"n. 闯入者, 好事者, 无执照营业者
"
intrusion,"n. 闯入, 侵扰
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
captivity,"n. 囚禁, 被关
"
retaliate,"vt. 报复, 回敬
vi. 报复, 以牙还牙"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
reversible,"a. 可逆的, 可撤消的
n. 双面可用织物"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
demur,"vi. 提出异议, 反对, 抗辩
n. 异议, 反对"
deprecate,"vt. 声明不赞成, 抗议, 反对
"
dissent,"n. 异议
vi. 持异议, 不同意"
dissident,"a. 意见不同的, 持不同政见的
n. 意见不同的人, 持不同政见者"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
opposition,"n. 反对, 敌对, 相反, 在野党
"
rebut,"vi. 反驳
vt. 辩驳, 反驳, 揭露"
refute,"vt. 反驳, 驳斥；驳倒"
boycott,"n. 联合抵制
vt. 联合抵制"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
captivate,"vt. 迷住, 迷惑"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
delude,"vt. 迷惑, 蛊惑"
disorient,"vt. 使失去方向, 使迷惑"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
connote,"vt. 含蓄着, 内涵着, 意味着"
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
binding,"n. 装订
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
boundary,"n. 边界, 分界线
"
conditional,"a. 有条件的, 有前提的
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
liberalize,"vt. 宽大, 使自由主义化
vi. 自由主义化"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
protégé,无
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
coexist,vi. 共存
collaborate,"vi. 合作, 勾结
"
cooperative,a. 合作的；合作社的
interdependence,n. 互相依赖
interplay,"n. 互相作用, 互相影响
vi. 互相作用"
interrelate,v. (使)相互关联
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
drudgery,"n. 苦差事, 苦工"
credence,"n. 信任, 祭器台, 供桌, 凭证
"
credible,"a. 可信的, 可靠的
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
creed,"n. 宗教信条, 教义, 纲领"
reliable,"a. 可靠的, 可信赖的
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
despise,vt. 轻视
disparage,"vt. 蔑视, 贬损
"
debase,"vt. 贬低, 降低"
depreciate,"vi. 贬值
vt. 降价, 贬低"
