acrobatics,"n. 杂技, 杂技表演"
cabbage,"n. 卷心菜
"
pea,"n. 豌豆, 似豌豆的东西"
cucumber,"n. 黄瓜
"
pumpkin,n. 南瓜
tomato,"n. 番茄, 西红柿"
eggplant,n. 茄子
aubergine,n. 茄子
carrot,"n. 胡萝卜
"
asparagus,"n. 芦笋
"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
leek,n. 韭
garlic,"n. 大蒜
"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
spring onion,"n. 生吃的小洋葱, 葱"
ginger,"n. 姜, 精力, 姜黄色
a. 姜黄色的
vt. 用姜调味, 使活泼, 使有生气"
kidney bean,"菜豆,四季豆"
string bean,"n. 青豆, 菜豆"
green pepper,n. 青椒
hot pepper, 辣椒
lotus roots,莲藕
bamboo shoots,竹笋
biscuit,"n. 饼干
"
cracker,"n. 饼干, 爆竹
"
cookie,"n. 饼干, 小甜点
"
fruitcake,n. 掺有干果的糕饼
tart,"a. 酸的, 辛辣的, 尖酸的
vt. 妖艳打扮
n. 果馅饼, 妓女"
waffle,"vi. 胡扯, 闲聊
n. 华夫饼干, 胡扯
"
hot dog,"n. <口>热狗（一种中间夹有熏红肠并配有芥菜, 作料等的面包）"
birthday cake, 生日蛋糕
moon cake,月饼(中国食品)
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
crisp,"a. 脆的, 新鲜的, 活泼的
v. (使)烘脆, (使)拳曲, (使)起皱
n. 松脆物"
sunflower seeds,[网络] 葵花籽；葵花子；瓜子
ice cream,"冰淇淋
"
cream,"n. 乳酪, 奶油, 面霜
"
vanilla ice cream,"un. 香草冰淇淋
"
ice-cream cone,"un. 蛋卷冰淇淋；冰淇淋锥形杯；〔摄〕乳白色锥形散光灯
"
instant coffee,n. 即溶咖啡
whole milk,全脂奶
skim milk,"脱脂乳
"
nonfat milk,无脂奶
milk powder,奶粉
condensed milk,
cheese,"n. 乳酪
"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
dough,"n. 生面团
"
pancake,"n. 薄烤饼, 薄煎饼, 烙饼"
pasta,"n. 意大利面食
"
noodle,"n. 面条, 笨蛋"
macaroni,"n. 通心面, 纨绔子弟"
spaghetti,n. 意大利面条
lasagna,(=lasagne)烤宽面条(上浇肉末番茄汁)
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
vinegar,"n. 醋, 尖酸刻薄
vt. 加醋于"
sauce,"n. 酱油, 调味汁, 酱
vt. 给...调味, 使增加趣味"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
mustard,"n. 芥末, 芥菜, 强烈的兴趣
"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
condiments,n. 调味品（condiment的复数）
seasoning,"n. 调味品, 作料, 佐料, 锻练
"
ketchup,n. 蕃茄酱
salad,n. 色拉
vanilla,"n. 香草, 香子兰"
sugar,"n. 糖, 糖块, 甜言蜜语
vt. 加糖于, 使甜蜜, 粉饰, 美化
vi. 制成糖"
syrup,"n. 糖浆, 果汁
"
sugar candy,"冰糖, 甜蜜的东西"
rock candy,"冰糖
"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
cooking oil,[建] 厨用灯油
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
chocolate spread,[网络] 巧克力酱；朱古力酱；巧克力涂抹酱
peanut,"n. 花生, 小人物, 极小的数额
a. 渺小的, 微不足道的"
raisin,n. 葡萄干
pickle,"n. 盐卤, 腌汁, 泡菜, 困境, 讨厌鬼
vt. 腌制, 酸洗, 葬送(机会等), 泡"
salad dressing,"n. 生菜食品的调味汁, 色拉味调料"
refined sugar,
cube sugar, 方糖
refined oil,[经] 精制油
vegetable oil,[医] 植物油
bean oil,[化] 豆油
peanut oil,
salad oil,
olive oil,"橄榄油
"
sesame oil,
instant food,"速熟[速煮,即席]食品"
instant noodles, 方便面; 即食面
marmalade,n. (橘子等制成的)果酱
tomato sauce, 番茄汁
peanut butter,n. 花生酱
sesame paste, 芝麻酱
white fungus,n. 白木耳
black fungus,[黑]木耳
assorted pickles,什锦腌菜，什锦酱菜
colas,"[建] 沥青乳浊液, 沥青乳胶体"
soda water,"苏打水
"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
lemonade,"n. 柠檬水
"
lemon juice,
hot drink,[网络] 热饮；热饮类；热饮料
cold drink,清凉饮料
alcoholic drink,[化] 酒
non-alcoholic drink,无
fruit juice,
soda water,"苏打水
"
tonic water,"n. 奎宁水, 开胃水"
Coca-Cola, 可口可乐
Pepsi-Cola,"n. 百事可乐
"
soft drink,n. 不含酒精的饮料
mineral water,"na. 矿泉水, 矿质水"
pure water,纯水
orange juice,橘子汁
jasmine tea,茉莉花茶
green tea,
black tea,"红茶
"
Nestle coffee,无
beer,"n. 啤酒
"
ale,"n. 麦芽酒
"
alcohol,"n. 酒精, 酒
"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
champagne,"n. 香槟酒, 香槟酒色
"
spirits,"n. 情绪, 兴致, 心情, 烈酒, 酒精"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
whisky,"n. 威士忌酒, 轻便马车
"
vodka,"n. 伏特加酒
"
brandy,"n. 白兰地酒
"
cocktail,"n. 鸡尾酒, 开味品
a. 鸡尾酒会的"
cognac,"n. 科捏克上等白兰地
"
gin,"n. 杜松子酒, 轧棉机, 陷阱
vt. 轧棉, 用陷阱捕"
martini,"n. 马提尼（一种鸡尾酒, 等于Martini）"
rice wine,米酒
red wine, 红葡萄酒
white wine,[医] 白葡萄酒
shaohsing wine,n. 〈汉〉绍兴酒
yellow wine,n. 黄酒
Kaoliang spirit,n. 〈汉〉高粱酒
cutlery,"n. 刀剑制造业, 刃具制造业, 刀剑, 刃具, 刀叉餐具"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
teaspoon,"n. 茶匙
"
soupspoon,n. 汤匙
chopsticks,n. 筷子
ladle,"n. 勺子, 长柄勺
vt. 以勺舀取, 以勺掬, 不分对象予以赠送"
casserole,"n. 餐桌上用有盖的焙盘, 砂锅菜
"
teapot,n. 茶壶
teacup,"n. 茶杯, 满茶杯"
funnel,"n. 漏斗, 漏斗状的东西, 烟囱
"
frying pan,"煎锅, 长柄平底锅"
chopping board, 斩（剁）肉板
seaside,"a. 海边的, 海滨的
n. 海滨"
mainland,"n. 大陆, 本土
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
destination,"n. 目的地, 目标, 目的
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
souvenir,n. 纪念品
prosperous,"a. 成功的, 繁盛的, 幸运的
"
transportation,"n. 运输, 输送, 交通车辆
"
civilization,"n. 文明, 教化
"
scenic spots, 景点
historical sights,无
artificial scenery,无
natural landscape,天然景观
miniature landscape,盆景
holiday camp,n. 假日野营地
camping resort,无
seaside resort,[医] 海滨疗养地
public beach,无
private beach,无
sand beach,"沙滩, 沙滩，沙质海滩, 沙滩；沙质海滩"
natural beauties,无
famous resort,无
natural scene,自然景物
gentle breeze,微风
spectacular thing,无
fragrance of flowers,无
foreign exchange,"国际汇兑, 外汇
"
broaden one's view,无
cultures and customs,无
pleasant surprise,无
holiday inn,度假旅馆
develop the economy,无
be spoiled,[网络] 宠坏；宠坏的；惯坏
various activities,无
go to the seaside,无
enjoy barbeque,无
beach volleyball, 沙滩排球
go climbing, 去爬山
go boating, 划船；泛舟
lie on the beach,无
enjoy the sunshine,无
enjoy the flowers blooming,无
energetic and sunny,无
go to the countryside,无
organic food,有机食品
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
go camping,去野营
go for a trip,[网络] 去旅行；短途旅行；旅游
stay in the hut,无
listen to the chirping of birds,无
go outing,"去远足,去郊游"
construction style,无
minority nationalities,[网络] 少数民族
colorful nightlife,无
enjoy entertainment,无
emotion,"n. 情绪, 激动, 强烈的情感
"
clothes,n. 衣服
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
gadget,"n. 小配件, 小玩意, 诡计"
feeling and concern,无
flowers or cosmetics,无
pack gifts elegantly,无
supermarket,"n. 超级市场
"
hypermarket,"n. 大规模超级市场
"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
kiosk,"n. 亭, 凉亭, 报摊"
boutique,n. 专卖流行衣服的小商店
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
bazaar,"n. 集市, 市场, 义卖市场"
auction,"n. 拍卖
vt. 拍卖"
florist,"n. 花匠, 花商, 花卉研究者"
shopper,"n. 购物者
"
customer,"n. 消费者
"
shopkeeper,"n. 零售商, 店主, 老板"
salesman,"n. 售货员, 推销员
"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
shelf,"n. 架子, 搁板
"
trolley,"n. 电车, 手推车, 台车
vt. 用手推车运
vi. 乘电车"
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
sportswear,"n. 运动装, 休闲服"
yogurt,"n. 酸乳酪
"
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
department store,"百货公司
"
chain store,连锁商店
shopping center,"购物中心, 商业区
"
dry goods,"干货(如谷类), 纺织品
"
hardware store,n. 五金店
window shopping, 随便看看、看而不买
bargain shopping,无
shopping day,无
shopping list,n. 购物清单
shopping bag,n. （带挽手的）购物袋; 提包
shopping basket, 购物筐
shop assistant,n. 店员
cash-desk,n. 付款台
checkout,"n. 结帐台
"
a waste of time, 浪费时间
ask for advice, 讨教；请教；就教；求教
sunflower seeds,[网络] 葵花籽；葵花子；瓜子
shopping mall,n. 大型购物中心
sales assistants,[网络] 售货员；全职售货员
promote products,无
lower prices,低价
latest information,最新资料
digital camera,n. 数码相机
post-sale service,无
cute and fashionable,无
living standard,n. 生活标准; 生活水平
various brands,无
shop assistants,"na. 〈英〉店员
"
indifferent and arrogant,无
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
costly,"a. 昂贵的, 奢华的, 费用大的"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
low,"n. 低点, 低价, 低, 牛叫声
a. 低的, 消沉的, 低等的, 浅的, 卑贱的
adv. 低下地, 谦卑地, 低
vi. 牛叫"
inexpensive,"a. 便宜的, 不贵重的"
economical,"a. 节俭的, 经济的, 合算的
"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
priceless,"a. 无价的, 极贵重的"
a bargain,"na. 便宜
"
reduced price,"[经] 降低, 降低价格"
bargain price,"[经] 交易价格, 廉价"
sell at a high price,无
sell at a low price,低价出售
give full weight,无
give short weight,克扣分量
reputation,"n. 名誉, 名声, 声望
"
strict with the employees,无
make efforts,作出努力
set some policies,无
monitor or guide the development of the commerce,无
global view,[计] 全局观点
get better service,无
make a complaint,抱怨
have more customers,无
negative effect,n. 负面影响; 负效应
make rules and regulations for their employees,无
be supervised,无
trivial mistake,无
patience and special strategies,无
mechanic products,无
assembly line,"装配线
"
tolerate the bad service,无
strict law,[法] 严格的法律
mistreat consumers,无
guarantee their products,无
showcase,"n. 陈列橱
"
grocer,n. 食品商
greengrocer,"n. 蔬菜水果商, 菜贩"
baker,"n. 面包师
"
tobacconist,n. 烟草商
pharmacist,"n. 药师, 药品商, 药商, 药剂师
"
drugstore,"n. 药房, 杂货店"
shop front,店面，店堂
shop window,商店橱窗
sweet shop,n. 糖果店
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
counterfeit goods, 假冒商品
glassware,"n. 玻璃器具
"
enamelware,n. 搪瓷器
stationery,"n. 文具, 信纸
"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
lighter,"n. 点火者, 点灯工人, 打火机, 驳船
vt. 以驳船搬运"
flower vase,花瓶
gloves,n. 手套（glove的复数）
mitten,"n. 连指手套, 拳击手套"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
raincoat,n. 雨衣
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
thread,"n. 线, 丝, 纤维, 线索
vt. 穿线于, 穿过, 通过, 用线穿成
vi. 穿过
"
scissors,"pl. 剪刀
"
broom,"n. 扫帚, 金雀花
vt. 扫除"
refrigerator,"n. 电冰箱, 冷藏库
"
fridge,n. 电冰箱
torch,"n. 火把, 启发之物
"
flashlight,"n. 手电筒, 闪光信号灯"
battery,"n. 电池, 殴打
"
cell,"n. 单元, 细胞, 电池
"
candle,"n. 蜡烛
vt. 对着光检查"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
rug,"n. 小块地毯, 揭露某人"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
thermometer,"n. 温度计, 体温计
"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
detergent,"n. 清洁剂
"
washboard,n. 洗衣板
pail,"n. 桶, 提桶"
hairdryer,n. （吹干头发的）吹风机
cosmetic,"n. 化妆品
a. 化妆用的"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
lipstick,"n. 口红, 唇膏
"
eyeliner,n. 眼线膏
hairdye,n. 染发药水
bathrobe,n. 浴衣
bathtub,n. 浴缸
towel,"n. 手巾, 毛巾
v. 擦干身子"
toothbrush,n. 牙刷
toothpaste,"n. 牙膏
"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
swimsuit,n. 游泳衣
life buoy,救生圈
suitcase,n. 手提箱
stainless,"a. 无瑕疵的, 不锈的
"
stationer,"n. 文具商, 书商"
paintbrush,"n. 画笔, 漆刷
"
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
notebook,"n. 笔记本, 手册, 期票簿"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
abacus,"n. 算盘
"
calculator,"n. 计算者, 计算器
"
pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)
vt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于
a. 针的, 销子的, 闩的"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
stapler,"n. 主要物产商, 把羊毛分级的人, 订书机
"
hourglass,"n. 时漏, 砂漏, 水漏
n. 沙漏标
"
sandglass,n. 沙漏
sundial,"n. 日规, 日晷"
chronometer,"n. 天文钟, 航海用的精密时计, 精密的时钟
"
stopwatch,"n. 计时表, 码表"
timer,"n. 计时员, 计时器
"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
latch,"n. 门闩
vi. 上闩, 抓住, 占有
vt. 闩上
"
keyhole,"n. 键孔, 栓孔, 锁眼
a. 显示内情的"
knob,"n. 把手, 瘤, 旋钮, 球形突出物
vt. 使有球形突出物
vi. 鼓起"
pliers,"n. 钳子
"
saw,"n. 锯子, 谚语
vt. 锯, 锯开, 来回移动
vi. 拉锯, 移动
see的过去式"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
plastic goods,塑料商品
plastics,"n. 塑料制造学, 塑料学, 整形外科, 成形外科, 塑料, 塑料制品
"
popular articles,无
name brand,[法] 名牌
latest product,[网络] 最新产品
traditional goods,无
durable goods,[经] 耐用品
fancy goods,精美的小商品
bargain basement,廉价商品部
art supplies,无
cotton textiles,棉织品
cotton fabrics,棉织品
woollen textiles,无
woollen fabrics,无
silk fabrics, 建绒；绸缎；丝织品
knit goods,针织品
knitwear,n. 针织品
crochet work,[网络] 钩编花边；钩针制品
linen fabrics,无
musical instrument, 乐器
children's wear,童装总称
rubber gloves,n. 橡胶手套
nail clipper, 指甲钳；指甲夹；指甲刀
sanitary utensils,无
dry battery,"干电池
"
solar cell,
rechargeable battery,蓄电池组;可充电电池;可再充电电池
battery charger,[化] 电池充电器
table lamp,台灯
desk lamp,台灯
reading lamp,阅读用台灯
ceiling lamp,吊灯
wall lamp,灯
bedside lamp,n. 床头灯
electric bulb,n. 电灯泡
fluorescent lamp,
washing machine,"洗衣机
"
washing powder, 洗涤（剂）粉
paper napkin,[网络] 餐巾纸；纸餐巾；餐纸
face powder,[化] 香粉
powder puff,n. 粉扑; 粉扑儿
eyebrow pencil,[化] 眉笔
nail polish,"n. 指甲油, 趾甲油"
cleansing cream,[建] 清洁膏
talcum powder,"爽身粉
"
hair brush,毛刷
swimming costume,游泳衣
swimming trunks,n. 泳裤
swimming cap,n. 泳帽
canvas suitcase,无
leather suitcase, 皮箱
travelling case,旅行衣箱，手提箱
can opener,n. 开罐器
electric iron,熨斗
electric blanket,[医] 电毯
fountain pen,"钢笔, 自来水笔"
writing brush,毛笔
ball-point pen,[网络] 圆珠笔；原子笔；圆珠笔和笔芯
ball pen,圆珠笔
propelling pencil, 自动铅笔
felt-tip pen,[网络] 毡尖笔
high-lighter,"n. 萤光笔, 亮光笔；轮廓色"
four treasures of the study,[网络] 文房四宝；中国的文房四宝
diary book, 日记簿
loose-leaf note book,[网络] 活页笔记本
correction pen,无
correction fluid,"n. 修正液, 纠正液"
stationery case,文具匣
paper clip,回纹针
drawing pin,图钉
scotch tape,n. 透明胶带
twin adhesive,无
insect specimen,无
terrestrial globe,"n. 地球,地球仪"
alarm clock,闹钟
grandfather clock,n. 有摆的落地大座钟
quartz clock,石英钟(表)
desk clock, 台钟; 座钟
table clock,[仪] 台钟
wall clock, 挂钟
quartz watch,"n. 石英表,石英钟"
luxurious watches,无
gold watch,金表
a pair of watches,无
fancy watch,无
pocket watch,n. 表袋; 怀表; 挂表
digital watch, 数字显示式电子表
waterproof watch,游泳表
watch chain,表链
second hand,"中间人, 助手
"
minute hand,n. 分针; 长针
safety lock,[化] 安全锁; 保险锁
T-square,丁字尺
folding knife,"n. 摺刀
"
garden shears,园艺剪刀
electric razor," 电动刮胡刀, 电动剃刀"
birthday party shows,无
talent shows,n. 业余歌手演唱会( talent show的名词复数 ); 选秀节目，选秀比赛
theatrical production,[网络] 舞台制造
outdoor shows,无
restaurant shows,无
circus performance,无
competition,"n. 竞争, 竞赛
"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
talent,"n. 天才, 才能, 有才干的人, 天资"
motivation,"n. 动机, 刺激, 推动
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
management skill,[网络] 管理技能；管理技巧；技能技巧
quick response,[计] 快速响应
widen sights,无
develop children's intelligence,无
high academic records,无
neglect other skills,无
personal interest,个人利益
have more confidence,无
have strong drive,无
give children encouragement,无
guidance and support,无
technical and technological skills,无
ability to organize,无
persuasive skills,无
communication skills,通讯技能;思想交流技能
lost and found,[法] 失物招领
crime rate,[法] 犯罪率
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
pick-pocket,[网络] 扒手；偷窃；钱包被扒
shop lifter,冒充顾客的扒手
thief,"n. 小偷, 贼
"
popularity,"n. 名声, 受大众欢迎, 流行"
courage,"n. 勇气, 胆量"
community,"n. 社区, 公众, 共有, 共同体
"
stadium,"n. 露天大型运动场
"
contestant,"n. 竞争者
"
aerobics,n. 有氧运动法；增氧健身法
yoga,n. 瑜珈
treadmill,"n. 踏车, 令人厌倦的工作
"
rollerblading,[网络] 轮滑溜冰；直排轮；滑旱冰
go jogging, 慢跑; 去跑步
fierce competition, 竞争激烈
show their best,无
strong physique,无
fitness training,健身训练
training courses,[网络] 培训课程；训练课程；课程培训
in advance,"预先
"
car racing,[网络] 赛车；飙车；赛车玩家
sports events,[网络] 体育赛事；体育活动；体育项目
share the profits,无
keep good shape,无
have strong body,无
modern life,[网络] 现代生活；摩登生活；我在法国南部有间小屋
X-games,[网络] 极限运动；极限运动赛；极限运动会
rocking climbing,无
feel relaxed and refreshed,无
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
amateur,"n. 业余爱好者, 外行, 爱好者
"
bodybuilding,n. 健美
championship,"n. 冠军身份, 冠军称号, 捍卫"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
medal,"n. 奖牌, 勋章
vt. 授勋予"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
umpire,"n. 裁判员, 仲裁人
vt. 对...进行仲裁, 当...的裁判
vi. 当裁判"
stopwatch,"n. 计时表, 码表"
manager,"n. 经理, 管理员, 管理器
"
instructor,"n. 教员, 讲师
"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
trainer,"n. 训练员, 驯马师
"
contestant,"n. 竞争者
"
competitor,"n. 竞争者
"
player,"n. 竞赛者, 上场队员, 游戏者, 演员
"
professional,"n. 专业人才
a. 专业的, 职业的"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
international game,无
open tournament,公开赛
exhibition match,表演赛
invitational match,无
friendly match,n. 友谊赛
consolation match,安慰赛
world championship, [体]世界锦标赛
bronze medal,n. 铜（质）奖章
silver medal,[计] 银牌
gold medal,[计] 金牌
Olympic torch,(点燃奥林匹克圣火的)奥林匹克火炬
Olympic village,(奥运会运动员居住的)奥林匹克村
opening ceremony,开幕式
relay race,接力赛
record holder,n. 纪录保持者
Olympic Games,奥运会
Olympics,n. 奥林匹克运动会
Winter Olympics,"n. 【体】冬季奥林匹克运动会
"
swimming,"n. 游泳, 眩晕"
bikini,"n. 大爆炸, 比基尼泳装"
diving,"n. 潜水, 跳水"
kicking,n. 踢腿；反撞
hydroscope,n. 深水望远镜
surfing,n. 冲浪运动
surfrider,"n. 冲浪者,冲浪运动员"
surfer,n. 冲浪运动员
surfboard,"n. 冲浪板, 用冲浪板滑水"
swimming pool,n. 游泳池
open-air pool,无
indoor pool,室内游泳池
swimming facilities,无
changing room,n. 更衣室
locker room,衣帽间
dressing room,n. 更衣室; 化妆室; （舞台的）后台
swimming trunks,n. 泳裤
swimming suit,n. 泳装; 泳衣; [体]游泳衣
swim lane,"un. 水道
"
diving tower,跳台
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
free style,n. 自由式
breast stroke,"n. 蛙泳,俯泳"
dolphin stroke,无
back stroke,"[医] 反击, 反冲"
butterfly stroke,n. 蝶泳
side stroke,侧击
dog paddle,n. 狗爬式游泳; 狗刨
underwater swimming, 潜泳
life buoy,救生圈
motor-boat race,无
water skiing,水橇
water ski,滑水橇
water-skier, [体]滑水运动员
skating,n. 溜冰
sleigh,"n. 雪撬
vt. 用雪撬搬运
vi. 乘雪撬"
roller skates,n. 溜冰鞋
figure skating, 花样滑冰
roller skating, 滑旱冰
football,"n. 足球, 橄榄球"
soccer,n. 英式足球
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
charging,
bench,"n. 长椅子
"
teammate,n. 队友
halfback,n. (足球)前卫
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
trainer,"n. 训练员, 驯马师
"
linesman,"n. 常备步兵, 线路保养工, 边线裁判员"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
football field,n. [体]足球场
goal net,球订网
goal post,门桩
halfway line,中线
penalty area,罚球区
penalty spot,罚球点
free kick,n. （足球）任意球
penalty kick,"罚球, 罚点球"
corner kick area,角球区
corner flag,角旗
corner ball,角球
kick-off,"踢脱, 中线开球"
pass the ball, 传球
long passing,无
short passing,短路
head passing,头顶传球
inside foot passing,足内缘传球
outside foot passing,无
take a pass,接球
goal shooting,射门
make a feint,无
feinting,"v. 佯攻, 声东击西( feint的现在分词 )"
off-side,越位
fair charge,合理冲撞
shoulder charge, [体]肩膀撞击
dangerous play,危险动作
professional team, [体]专业队
amateur team,无
football player, [体]足球运动员
quarters player,无
left wing,"左翼,激进派;左边锋"
right wing,"右翼,保守派;右边锋"
left forward,左锋
right forward,右锋
centre forward,中锋
